編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPSNMLTKKHKGFAH68EA,6,64.27,住家用,鋼筋混凝土造,107年9月10日,二十四層,五層 陽台 雨遮,全筆移轉
RPSNMLTKKHKGFAH68EA,6,61.70,本共有部分之項目有店舖（附屬大廳、管委會空間）、集合住宅（附屬停車空間、防空避難室兼停車空間、機房、樓梯間、水箱）等項。,鋼筋混凝土造,107年9月10日,二十四層,,持分移轉
RPWQMLRKKHKGFBH56DA,22,113.70,住家用,鋼筋混凝土造,92年3月11日,十四層,十三層 陽台,全筆移轉
RPWQMLRKKHKGFBH56DA,22,21.01,共有部分,鋼筋混凝土造,92年3月11日,十四層,,持分移轉
RPWQMLRKKHKGFBH56DA,22,45.23,共有部分,鋼筋混凝土造,92年3月11日,十四層,,持分移轉
RPPRMLOJKHKGFBH18DA,45,100.27,住家用,鋼筋混凝土造,69年6月2日,四層,一層 騎樓 地下層,全筆移轉
RPQNMLSKKHKGFCH58EA,2,471.72,住宅、住宅（附屬停車空間）、梯間,鋼筋混凝土造,111年12月21日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
RPQNMLSKKHKGFCH58EA,2,15.31,共有部分：機房、住宅（警衛室）,鋼筋混凝土造,111年12月21日,二層,,持分移轉
RPQNMLSKKHKGFBH48EA,22,2.20,托兒所,鋼筋混凝土造,91年10月24日,五層,一層 二層 陽台 騎樓,持分移轉
RPQNMLSKKHKGFBH48EA,22,1.13,安親班、補習班,鋼筋混凝土造,91年10月24日,五層,三層 陽台,持分移轉
RPQNMLSKKHKGFBH48EA,22,1.21,住家用,鋼筋混凝土造,91年10月24日,五層,四層 陽台,持分移轉
RPQNMLSKKHKGFBH48EA,22,.73,樓梯間、機電設備,鋼筋混凝土造,91年10月24日,五層,,持分移轉
RPQNMLSKKHKGFBH48EA,22,.36,樓梯間、機電設備,鋼筋混凝土造,91年10月24日,五層,,持分移轉
RPQNMLSKKHKGFBH48EA,22,.36,樓梯間、機電設備,鋼筋混凝土造,91年10月24日,五層,,持分移轉
RPTSMLKKKHKGFBH38DA,,74.18,集合住宅,鋼筋混凝土造,113年12月20日,十一層,三層 陽台,全筆移轉
RPTSMLKKKHKGFBH38DA,,71.15,本建物共有部分項目有：集合住宅（附屬管委會空間）、樓梯間、機房、水箱、停車空間、防空避難室兼停車空間等６項,鋼筋混凝土造,113年12月20日,十一層,,持分移轉
RPUSMLKKKHKGFBH48DA,,74.18,集合住宅,鋼筋混凝土造,113年12月20日,十一層,四層 陽台,全筆移轉
RPUSMLKKKHKGFBH48DA,,71.15,本建物共有部分項目有：集合住宅（附屬管委會空間）、樓梯間、機房、水箱、停車空間、防空避難室兼停車空間等６項,鋼筋混凝土造,113年12月20日,十一層,,持分移轉
RPRSMLKKKHKGFBH18DA,,57.45,集合住宅,鋼筋混凝土造,113年12月20日,十一層,八層 陽台,全筆移轉
