編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSOMLRKKHKGFBH58DA,仁德段,49.22,都市：其他:農業區,144000,1500,持分移轉,02880000
RPSNMLTKKHKGFAH68EA,桃園段武陵小段,11.96,都市：其他:商業區,10000,22,持分移轉,01390000
RPWQMLRKKHKGFBH56DA,自立段,31.14,都市：其他:住宅區,100000,324,持分移轉,08420000
RPTNMLKKKHKGFDH08DA,上湖段,177.50,非都市：特定農業區 ; 非都市編定：農牧用地,16,1,持分移轉,23020000
RPUNMLOKKHKGFHH98DA,塔寮坑段,199.72,非都市：山坡地保育區 ; 非都市編定：國土保安用地,1,1,全筆移轉,09260000
RPUNMLOKKHKGFHH98DA,塔寮坑段,888.06,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,09330000
RPQNMLSKKHKGFGH98EA,西社段,8.70,都市：其他:住宅區,1,1,全筆移轉,08770006
RPUNMLQJKHKGFBH48DA,大路段,274.47,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03510000
RPPRMLOJKHKGFBH18DA,石頭段,11.00,都市：其他:住宅區,4,1,持分移轉,00420764
RPPRMLOJKHKGFBH18DA,石頭段,19.25,都市：其他:住宅區,4,1,持分移轉,01320094
RPSPMLQJKHKGFBH48DA,富台段,59.40,都市：其他:道路用地,1080,54,持分移轉,01590002
RPSPMLQJKHKGFBH48DA,富台段,214.73,都市：其他:道路用地,302400,15120,持分移轉,01590004
RPQNMLSKKHKGFCH58EA,石門段,402.00,都市：其他:住宅區(高地區),7970,402,持分移轉,03470000
RPQNMLSKKHKGFBH48EA,雙嶺段,1.76,都市：其他:商業區,240,9,持分移轉,04170000
RPQNMLSKKHKGFBH48EA,雙嶺段,16.03,都市：其他:商業區,20,9,持分移轉,04180000
RPQNMLSKKHKGFBH48EA,雙嶺段,9.18,都市：其他:商業區,20,9,持分移轉,04210000
RPQNMLSKKHKGFBH48EA,雙嶺段,1.83,都市：其他:商業區,480,9,持分移轉,04240000
RPTSMLKKKHKGFBH38DA,內厝段,29.04,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,859,持分移轉,07530000
RPUSMLKKKHKGFBH48DA,內厝段,29.04,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,859,持分移轉,07530000
