鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
觀音區,房地(土地+建物),桃園市觀音區新富路、富有一路交叉口,20.73,住,,,1140121,土地1建物1車位0,一層,7,店面(店鋪),商業用,鋼筋混凝土造,,62.53,0,0,0,無,無,8350000,133536,,0.0,0,,RPQNMLMLJHKGFBH77CB,名川富御,S5-1F號,
觀音區,房地(土地+建物)+車位,桃園市觀音區二聖路112號旁,24.66,住,,,1140122,土地1建物1車位1,五層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,136.6,3,2,2,有,無,10500000,86116,其他,32.09,1500000,,RPRNMLMLJHKGFBH87CB,雲極W1,D-5F號,
中壢區,房地(土地+建物)+車位,桃園市中壢區龍門街與龍門街154巷4弄交叉口附近,25.58,住,,,1140122,土地1建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,154.43,3,2,2,有,無,14780000,106226,坡道平面,28.19,1370000,,RPSNMLMLJHKGFBH97CB,益展有福,B3棟13F號,
楊梅區,房地(土地+建物)+車位,桃園市楊梅區金溪路與金溪路209巷交叉口附近,33.37,住,,,1140121,土地1建物1車位1,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,153.1,3,2,2,有,無,13080000,90780,坡道平面,25.98,1540000,,RPTNMLMLJHKGFDH28CB,櫻花馥,A棟1-7F號,
桃園區,房地(土地+建物)+車位,桃園市桃園區國強一街94號對面,27.17,住,,,1140121,土地1建物1車位3,六層,23,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,243.6,4,2,2,有,無,28380000,143816,坡道平面,90.07,6300000,,RPPNMLOLJHKGFAH77CB,謙里,B棟3-6F號,
桃園區,房地(土地+建物)+車位,桃園市桃園區國強一街94號對面,25.47,住,,,1140121,土地1建物1車位2,六層,23,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,202.02,3,2,2,有,無,25600000,151147,坡道平面,58.12,3850000,,RPQNMLOLJHKGFAH87CB,謙里,B棟1-6F號,
桃園區,房地(土地+建物)+車位,桃園市桃園區國強一街94號對面,27.17,住,,,1140123,土地1建物1車位2,十四層,23,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,211.65,4,2,2,有,無,27560000,153130,坡道平面,58.12,4050000,,RPSNMLOLJHKGFAH08CB,謙里,B棟3-14F號,
中壢區,房地(土地+建物)+車位,桃園市中壢區安大路109號旁,19.25,,特定農業區,甲種建築用地,1140123,土地1建物1車位1,四層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,101.76,2,2,2,有,無,8430000,92497,坡道平面,28.46,1650000,,RPSNMLOLJHKGFBH18CB,大清松玥,B9-4F號,
新屋區,房地(土地+建物),桃園市新屋區福洲路78號旁,27.08,住,,,1140122,土地1建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,77.87,2,2,1,有,無,8990000,115449,,0.0,0,,RPTNMLOLJHKGFDH48CB,合翔旭2,A2棟4F號,
