編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPTNMLMLJHKGFDH28CB,頭重溪段,33.37,都市：住,100000,489,持分移轉,02020000
RPPNMLPLJHKGFDH18CB,頭重溪段,24.16,都市：住,100000,354,持分移轉,02020000
RPTNMLOLJHKGFDH48CB,頭洲段,27.08,都市：住,1000000,66794,持分移轉,10550000
RPQNMLMLJHKGFBH77CB,新富段,20.73,都市：住,100000,2425,持分移轉,00250000
RPRNMLMLJHKGFBH87CB,草新段,24.66,都市：住,100000,2291,持分移轉,03100000
RPSNMLOLJHKGFBH18CB,山下段,19.25,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,487,持分移轉,22740001
RPSNMLMLJHKGFBH97CB,前寮段,25.58,都市：住,100000,567,持分移轉,14760000
RPQNMLPLJHKGFDH28CB,頭重溪段,24.50,都市：住,100000,359,持分移轉,02020000
RPSNMLOLJHKGFAH08CB,國強段,27.17,都市：住,100000,368,持分移轉,04180000
RPPNMLQLJHKGFDH28CB,頭重溪段,23.20,都市：住,100000,340,持分移轉,02020000
RPPNMLOLJHKGFAH77CB,國強段,27.17,都市：住,100000,368,持分移轉,04180000
RPQNMLOLJHKGFAH87CB,國強段,25.47,都市：住,100000,345,持分移轉,04180000
RPPNMLRLJHKGFDH38CB,頭重溪段,25.73,都市：住,100000,377,持分移轉,02020000
RPPNMLNJKHKGFBH67CB,大堀段,36.77,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,5253,持分移轉,14330001
RPSNMLNJKHKGFBH97CB,上嶺段,32.87,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,2722,持分移轉,05780000
RPSNMLNJKHKGFBH97CB,上嶺段,15.69,非都市：特定農業區 ; 非都市編定：農牧用地,100000,2822,持分移轉,05730001
RPPNMLNJKHKGFDH87CB,頭重溪段,24.36,都市：住,100000,357,持分移轉,02020000
RPPNMLMJKHKGFEH87CB,客運二段,27.38,都市：住,100000,2350,持分移轉,02180000
RPRNMLNJKHKGFDH08CB,頭重溪段,25.25,都市：住,100000,370,持分移轉,02020000
RPPNMLPJKHKGFDH08CB,田心段,33.86,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,291,持分移轉,00250020
RPPNMLPJKHKGFDH08CB,田心段,4.35,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,291,持分移轉,00300001
RPPNMLPJKHKGFDH08CB,田心段,3.12,非都市：特定農業區 ; 非都市編定：甲種建築用地,2304,16,持分移轉,00250019
RPPNMLPJKHKGFEH18CB,客運二段,29.31,都市：住,100000,1199,持分移轉,01520000
RPVNMLOJKHKGFBH38CB,中工段,37.38,非都市：工業區 ; 非都市編定：丁種建築用地,100000,666,持分移轉,03170000
RPVNMLOJKHKGFBH38CB,中工段,37.38,非都市：工業區 ; 非都市編定：丁種建築用地,100000,666,持分移轉,03170002
RPXNMLOJKHKGFBH58CB,中工段,72.11,非都市：工業區 ; 非都市編定：丁種建築用地,100000,1285,持分移轉,03170000
RPPNMLPJKHKGFBH87CB,復興段,7.72,都市：商,10000,60,持分移轉,19170000
RPXNMLOJKHKGFBH58CB,中工段,72.11,非都市：工業區 ; 非都市編定：丁種建築用地,100000,1285,持分移轉,03170002
RPPNMLPJKHKGFBH87CB,復興段,.85,都市：商,10000,60,持分移轉,19130000
RPWNMLOJKHKGFBH48CB,中工段,34.40,非都市：工業區 ; 非都市編定：丁種建築用地,100000,613,持分移轉,03170000
RPWNMLOJKHKGFBH48CB,中工段,34.40,非都市：工業區 ; 非都市編定：丁種建築用地,100000,613,持分移轉,03170002
RPTNMLOJKHKGFBH18CB,中工段,34.40,非都市：工業區 ; 非都市編定：丁種建築用地,100000,613,持分移轉,03170000
RPTNMLOJKHKGFBH18CB,中工段,34.40,非都市：工業區 ; 非都市編定：丁種建築用地,100000,613,持分移轉,03170002
RPPOMLOJKHKGFBH87CB,豐興段,21.94,都市：住,100000,364,持分移轉,00530000
RPUNMLOJKHKGFBH28CB,中工段,34.40,非都市：工業區 ; 非都市編定：丁種建築用地,100000,613,持分移轉,03170000
RPUNMLOJKHKGFBH28CB,中工段,34.40,非都市：工業區 ; 非都市編定：丁種建築用地,100000,613,持分移轉,03170002
RPOOMLOJKHKGFBH77CB,中工段,34.74,非都市：工業區 ; 非都市編定：丁種建築用地,100000,619,持分移轉,03170000
RPOOMLOJKHKGFBH77CB,中工段,34.74,非都市：工業區 ; 非都市編定：丁種建築用地,100000,619,持分移轉,03170002
RPPNMLPJKHKGFFH28CB,茄苳段,12.62,都市：住,100000,138,持分移轉,04260000
RPPNMLQJKHKGFEH28CB,大新段,9.82,都市：商,100000,223,持分移轉,02380000
RPPNMLQJKHKGFBH97CB,豐興段,3.86,都市：住,100000,339,持分移轉,00190000
RPPNMLQJKHKGFBH97CB,豐興段,11.15,都市：住,100000,339,持分移轉,00230000
RPQNMLQJKHKGFBH08CB,豐興段,5.82,都市：住,100000,511,持分移轉,00190000
RPQNMLQJKHKGFBH08CB,豐興段,16.80,都市：住,100000,511,持分移轉,00230000
RPPNMLSJKHKGFBH18CB,大崙段,.10,非都市：特定農業區 ; 非都市編定：農牧用地,380000,13,持分移轉,01420000
RPPNMLSJKHKGFBH18CB,大崙段,.07,非都市：特定農業區 ; 非都市編定：農牧用地,380000,13,持分移轉,01430000
RPPNMLSJKHKGFBH18CB,大崙段,.59,非都市：特定農業區 ; 非都市編定：農牧用地,100000,81,持分移轉,01510001
RPPNMLSJKHKGFBH18CB,大崙段,.03,非都市：特定農業區 ; 非都市編定：水利用地,4750000,717,持分移轉,01520000
RPPNMLSJKHKGFBH18CB,大崙段,.57,非都市：特定農業區 ; 非都市編定：農牧用地,475000,257,持分移轉,01510000
RPPNMLSJKHKGFBH18CB,大崙段,18.77,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,844,持分移轉,01470000
RPPNMLSJKHKGFBH18CB,大崙段,26.47,非都市：特定農業區 ; 非都市編定：農牧用地,100000,2502,持分移轉,01510000
RPTNMLSJKHKGFBH58CB,大崙段,.10,非都市：特定農業區 ; 非都市編定：農牧用地,380000,13,持分移轉,01420000
RPTNMLSJKHKGFBH58CB,大崙段,.07,非都市：特定農業區 ; 非都市編定：農牧用地,380000,13,持分移轉,01430000
RPTNMLSJKHKGFBH58CB,大崙段,.59,非都市：特定農業區 ; 非都市編定：農牧用地,100000,81,持分移轉,01510001
RPTNMLSJKHKGFBH58CB,大崙段,.03,非都市：特定農業區 ; 非都市編定：水利用地,4750000,717,持分移轉,01520000
RPTNMLSJKHKGFBH58CB,大崙段,.57,非都市：特定農業區 ; 非都市編定：農牧用地,475000,257,持分移轉,01510000
RPRNMLSJKHKGFBH38CB,大崙段,.10,非都市：特定農業區 ; 非都市編定：農牧用地,380000,13,持分移轉,01420000
RPTNMLSJKHKGFBH58CB,大崙段,18.95,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,852,持分移轉,01470000
RPRNMLSJKHKGFBH38CB,大崙段,.07,非都市：特定農業區 ; 非都市編定：農牧用地,380000,13,持分移轉,01430000
RPRNMLSJKHKGFBH38CB,大崙段,.59,非都市：特定農業區 ; 非都市編定：農牧用地,100000,81,持分移轉,01510001
RPRNMLSJKHKGFBH38CB,大崙段,.03,非都市：特定農業區 ; 非都市編定：水利用地,4750000,717,持分移轉,01520000
RPRNMLSJKHKGFBH38CB,大崙段,.57,非都市：特定農業區 ; 非都市編定：農牧用地,475000,257,持分移轉,01510000
RPRNMLSJKHKGFBH38CB,大崙段,20.09,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,903,持分移轉,01470000
RPRNMLSJKHKGFBH38CB,大崙段,26.47,非都市：特定農業區 ; 非都市編定：農牧用地,100000,2502,持分移轉,01510000
RPSNMLKKKHKGFBH77CB,富溪段,30.59,都市：住,10000,647,持分移轉,03070000
RPTNMLRJKHKGFBH48CB,草福段,23.46,都市：住,100000,4641,持分移轉,05110000
RPRNMLKKKHKGFAH57CB,三民段,18.86,都市：住,100000,667,持分移轉,02230000
RPQNMLSJKHKGFBH28CB,大崙段,.10,非都市：特定農業區 ; 非都市編定：農牧用地,380000,13,持分移轉,01420000
RPQNMLSJKHKGFBH28CB,大崙段,.07,非都市：特定農業區 ; 非都市編定：農牧用地,380000,13,持分移轉,01430000
RPQNMLSJKHKGFBH28CB,大崙段,.59,非都市：特定農業區 ; 非都市編定：農牧用地,100000,81,持分移轉,01510001
RPQNMLSJKHKGFBH28CB,大崙段,.03,非都市：特定農業區 ; 非都市編定：水利用地,4750000,717,持分移轉,01520000
RPQNMLSJKHKGFBH28CB,大崙段,.57,非都市：特定農業區 ; 非都市編定：農牧用地,475000,257,持分移轉,01510000
RPQNMLSJKHKGFBH28CB,大崙段,20.09,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,903,持分移轉,01470000
RPQNMLSJKHKGFBH28CB,大崙段,26.47,非都市：特定農業區 ; 非都市編定：農牧用地,100000,2502,持分移轉,01510000
RPWOMLKKKHKGFFH68CB,同福段,7.09,都市：住,100000,1209,持分移轉,05050000
RPWOMLKKKHKGFFH68CB,同福段,2.70,都市：住,100000,1209,持分移轉,05060000
RPWOMLKKKHKGFFH68CB,同福段,5.03,都市：住,100000,1209,持分移轉,05060001
RPPPMLKKKHKGFFH08CB,同福段,6.00,都市：住,100000,1024,持分移轉,05050000
RPPPMLKKKHKGFFH08CB,同福段,2.29,都市：住,100000,1024,持分移轉,05060000
RPPPMLKKKHKGFFH08CB,同福段,4.26,都市：住,100000,1024,持分移轉,05060001
RPQPMLKKKHKGFFH18CB,同福段,6.00,都市：住,100000,1024,持分移轉,05050000
RPQPMLKKKHKGFFH18CB,同福段,2.29,都市：住,100000,1024,持分移轉,05060000
RPQPMLKKKHKGFFH18CB,同福段,4.26,都市：住,100000,1024,持分移轉,05060001
RPOPMLKKKHKGFFH97CB,同福段,7.11,都市：住,100000,1213,持分移轉,05050000
RPOPMLKKKHKGFFH97CB,同福段,2.71,都市：住,100000,1213,持分移轉,05060000
RPOPMLKKKHKGFFH97CB,同福段,5.04,都市：住,100000,1213,持分移轉,05060001
RPRPMLKKKHKGFFH28CB,同福段,7.04,都市：住,100000,1201,持分移轉,05050000
RPRPMLKKKHKGFFH28CB,同福段,2.68,都市：住,100000,1201,持分移轉,05060000
RPRPMLKKKHKGFFH28CB,同福段,4.99,都市：住,100000,1201,持分移轉,05060001
RPSPMLKKKHKGFFH38CB,同福段,7.12,都市：住,100000,1215,持分移轉,05050000
RPSPMLKKKHKGFFH38CB,同福段,2.71,都市：住,100000,1215,持分移轉,05060000
RPSPMLKKKHKGFFH38CB,同福段,5.05,都市：住,100000,1215,持分移轉,05060001
RPQNMLKKKHKGFCH77DB,逸園段,29.74,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,1230,持分移轉,04630000
RPTNMLKKKHKGFCH08DB,逸園段,30.71,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,1270,持分移轉,04630000
RPSNMLKKKHKGFCH97DB,逸園段,30.71,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,1270,持分移轉,04630000
RPTPMLKKKHKGFFH48CB,同福段,7.12,都市：住,100000,1215,持分移轉,05050000
RPTPMLKKKHKGFFH48CB,同福段,2.71,都市：住,100000,1215,持分移轉,05060000
RPTPMLKKKHKGFFH48CB,同福段,5.05,都市：住,100000,1215,持分移轉,05060001
RPXNMLKKKHKGFCH48DB,逸園段,29.74,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,1230,持分移轉,04630000
RPVNMLKKKHKGFCH28DB,逸園段,30.71,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,1270,持分移轉,04630000
RPPOMLKKKHKGFCH77DB,逸園段,29.74,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,1230,持分移轉,04630000
