鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
桃園區,租賃房屋,桃園市桃園區朝陽街５１號三樓之５,0.0,,,,1140121,土地0建物1車位0,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890114,43.589999999999996,1,1,1,有,有,有,13800,317,,0.0,0,,RPUNMLLLJHKGFAH08CC,獨立套房,有,1140201~1150131,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
桃園區,租賃房屋+車位,桃園市桃園區文中一路９２號二樓,0.0,,,,1140121,土地0建物1車位1,二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110429,143.92000000000002,2,1,1,有,有,有,22100,196,坡道平面,43.94,2500,水電費/瓦斯費及管理費每月 2900 元 由承租人負擔,RPSRMLLLJHKGFAH28CC,整棟(戶)出租,有,1140201~1160131,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅包租轉租
桃園區,租賃房屋,桃園市桃園區中正五街２０７號４樓之４,0.0,,,,1140121,土地0建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800805,36.949999999999996,1,0,1,有,有,無,5000,135,,0.0,0,續租案件；,RPXRMLLLJHKGFAH78CC,獨立套房,有,1140125~1150124,有,冷氣、熱水器,社會住宅代管
桃園區,租賃房屋,桃園市桃園區民生路４９８號８樓之２,0.0,,,,1140121,土地0建物1車位0,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0861020,81.63,3,1,1,有,有,無,15000,184,,0.0,0,,RPQSMLLLJHKGFAH18CC,整棟(戶)出租,有,1140130~1150129,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管
桃園區,租賃房屋,桃園市桃園區永安路２４９號５樓,0.0,,,,1140121,土地0建物1車位0,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840710,105.29,3,1,2,有,有,無,18000,171,,0.0,0,續租案件；,RPRSMLLLJHKGFAH28CC,整棟(戶)出租,有,1140130~1150129,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
桃園區,租賃房屋+車位,桃園市桃園區新埔八街１３２號３樓,0.0,,,,1140121,土地0建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100816,132.28,3,1,1,有,有,有,30200,273,坡道平面,31.56,2700,續租案件；,RPXTMLLLJHKGFAH98CC,整棟(戶)出租,有,1140301~1150228,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
中壢區,租賃房屋,桃園市中壢區新中二街１７號３樓之７,0.0,,,,1140121,土地0建物1車位0,三層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0951011,33.13,1,0,1,有,有,有,6800,205,,0.0,0,管理費另計700元由承租人負擔續租案件；,RPWNMLLLJHKGFBH38CC,獨立套房,有,1140207~1150206,有,冷氣、熱水器、電視機、冰箱,社會住宅代管
觀音區,租賃房屋,桃園市觀音區仁德街２６０號,0.0,,,,1140121,土地0建物0車位0,全,5,透天厝,住宅、停車空間、樓梯間,鋼筋混凝土造,1040331,19.92,20,0,20,有,無,有,6510,327,,0.0,0,租金總額含管理費；網路費；續租案件；,RPTOMLLLJHKGFBH18CC,分租套房,無,1140122~1140421,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般代管
中壢區,租賃房屋,桃園市中壢區環北路５５９號四樓之７,0.0,,,,1140121,土地0建物1車位0,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840308,39.08,1,0,1,有,有,有,5500,141,,0.0,0,,RPRPMLLLJHKGFBH08CC,獨立套房,有,1140203~1150202,有,冷氣、熱水器,社會住宅代管
