編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPXTMLLLJHKGFAH98CC,3,67.56,住家用,鋼筋混凝土造,110年8月16日,十五層,,
RPXTMLLLJHKGFAH98CC,3,64.72,本共有部分之項目有：集合住宅（附屬車道、管委會使用空間）、機房、停車空間、停車空間兼防空避難室等５項,鋼筋混凝土造,110年8月16日,十五層,,
RPQSMLLLJHKGFAH18CC,27,63.22,住家用,鋼筋混凝土造,86年10月20日,十四層,,
RPQSMLLLJHKGFAH18CC,27,5.85,共有部分,鋼筋混凝土造,86年10月20日,十四層,,
RPQSMLLLJHKGFAH18CC,27,11.56,共有部分,鋼筋混凝土造,86年10月20日,十四層,,
RPQSMLLLJHKGFAH18CC,27,1.00,共有部分,鋼筋混凝土造,86年12月20日,十四層,,
RPXRMLLLJHKGFAH78CC,33,27.83,住家用,鋼筋混凝土造,80年8月5日,七層,,
RPRSMLLLJHKGFAH28CC,30,95.43,住家用,鋼筋混凝土造,84年7月10日,十三層,,
RPXRMLLLJHKGFAH78CC,33,4.61,共有部分,鋼筋混凝土造,80年8月5日,七層,,
RPXRMLLLJHKGFAH78CC,33,4.51,共有部分,鋼筋混凝土造,80年8月5日,七層,,
RPSRMLLLJHKGFAH28CC,3,66.44,住家用,鋼筋混凝土造,111年4月29日,十四層,,
RPRSMLLLJHKGFAH28CC,30,2.87,共有部分,鋼筋混凝土造,84年7月10日,十三層,,
RPSRMLLLJHKGFAH28CC,3,77.48,本建物共有部分之項目有：停車空間、防空避難室兼停車空間、集合住宅（附屬公共服務空間）、樓梯間及昇降機房、水箱間等。,鋼筋混凝土造,111年4月29日,十四層,,
RPRSMLLLJHKGFAH28CC,30,6.99,共有部分,鋼筋混凝土造,84年7月10日,十三層,,
RPUNMLLLJHKGFAH08CC,25,35.98,住家用,鋼筋混凝土造,89年1月14日,十四層,,
RPUNMLLLJHKGFAH08CC,25,7.61,共有部分,鋼筋混凝土造,89年1月14日,十四層,,
RPOPMLMLJHKGFAH77CC,30,93.61,住家用,鋼筋混凝土造,83年10月5日,十七層,,
RPOPMLMLJHKGFAH77CC,30,14.49,共有部分,鋼筋混凝土造,83年10月5日,十七層,,
RPOPMLMLJHKGFAH77CC,30,15.53,共有部分,鋼筋混凝土造,83年10月5日,十七層,,
RPROMLMLJHKGFAH97CC,30,80.19,住家用,鋼筋混凝土造,84年6月10日,十四層,,
RPROMLMLJHKGFAH97CC,30,33.37,共有部分,鋼筋混凝土造,84年6月10日,十四層,,
RPROMLMLJHKGFAH97CC,30,30.77,共有部分,鋼筋混凝土造,84年6月10日,十四層,,
RPWPMLMLJHKGFAH58CC,2,82.51,店舖，住宅,鋼筋混凝土造,112年7月12日,十五層,,
RPWPMLMLJHKGFAH58CC,2,52.85,本共有部分之項目有：停車空間、防空避難室兼停車空間、台電配電場所、集合住宅（附屬門廳、公共服務空間、管委會空間）、樓梯間、機房、水箱等項。,鋼筋混凝土造,112年7月12日,十五層,,
RPVQMLMLJHKGFAH58CC,1,74.77,住家用,鋼筋混凝土造,112年10月25日,十二層,,
RPVQMLMLJHKGFAH58CC,1,79.08,本共有部分之項目有：防空避難室兼停車空間、停車空間、集合住宅（附屬管委會使用空間）、梯間、機房、機械室、水箱等項。,鋼筋混凝土造,112年10月25日,十二層,,
RPWRMLMLJHKGFAH78CC,43,90.31,住家用,鋼筋混凝土造,71年6月11日,五層,,
RPWRMLMLJHKGFAH78CC,43,.00,共有部分,鋼筋混凝土造,71年6月11日,五層,,
RPPNMLMLJHKGFBH77CC,42,131.03,住家用,鋼筋混凝土造,72年2月7日,五層,,
RPRPMLLLJHKGFBH08CC,30,24.90,住家用,鋼筋混凝土造,84年3月8日,十二層,,
RPRPMLLLJHKGFBH08CC,30,5.15,共有部分,鋼筋混凝土造,84年3月8日,十二層,,
RPTOMLLLJHKGFBH18CC,10,19.92,住宅、停車空間、樓梯間,鋼筋混凝土造,104年3月31日,五層,,
RPRPMLLLJHKGFBH08CC,30,9.03,共有部分,鋼筋混凝土造,84年3月8日,十二層,,
RPTNMLMLJHKGFBH18CC,48,78.60,住家用,加強磚造,66年6月3日,二層,,
RPQNMLMLJHKGFBH87CC,2,46.64,集合住宅,鋼筋混凝土造,112年6月1日,十六層,,
RPQNMLMLJHKGFBH87CC,2,55.10,本共有部分之項目有：防空避難室兼停車空間、車道、排煙室、安全梯、一般升降機、緊急升降機、汙水機房、消防機房、雨水機房、水箱、停車空間、電信室、防災中心、發電機室、台電配電室、垃圾貯存空間、機械室、集合住宅、（附屬管委會空間、梯廳、排煙室、特別安全梯、安全梯、戶外安全梯、機械室、一般昇降機、緊急昇降梯、車道、游泳池）、樓梯間、水表區等２０項。,鋼筋混凝土造,112年6月1日,十七層,,
RPWNMLLLJHKGFBH38CC,18,19.94,住家用,鋼筋混凝土造,95年10月11日,九層,,
RPWNMLLLJHKGFBH38CC,18,5.57,共有部分,鋼筋混凝土造,95年10月11日,九層,,
RPWNMLLLJHKGFBH38CC,18,7.55,共有部分,鋼筋混凝土造,95年10月11日,九層,,
RPWNMLLLJHKGFBH38CC,18,.07,共有部分,鋼筋混凝土造,95年10月11日,九層,,
RPPOMLMLJHKGFBH87CC,7,61.95,集合住宅,鋼筋混凝土造,106年12月28日,十三層,,
RPPOMLMLJHKGFBH87CC,7,14.12,本共有部分之項目有：梯間、機房、水箱、機械室及梯廳等五項。,鋼筋混凝土造,106年12月28日,十三層,,
RPPOMLMLJHKGFBH87CC,7,48.10,本共有部分之項目有：防空避難室兼停車空間、消防泵浦室、梯間、蓄水池、雨水回收兼污水機房、停車空間、發電機室、機房、台電配電場所、電信室、垃圾冷藏處理室、管委會使用空間一、管委會使用空間二、公共服務空間、車道及門廊等十六項。,鋼筋混凝土造,106年12月28日,十三層,,
RPUOMLMLJHKGFBH38CC,18,85.06,住家用,鋼筋混凝土造,95年11月5日,十三層,,
RPTOMLMLJHKGFBH28CC,30,76.09,住家用,鋼筋混凝土造,84年4月7日,七層,,
RPUOMLMLJHKGFBH38CC,18,11.88,共有部分,鋼筋混凝土造,95年11月5日,十三層,,
RPTOMLMLJHKGFBH28CC,30,16.40,共有部分,鋼筋混凝土造,84年4月7日,七層,,
RPUOMLMLJHKGFBH38CC,18,20.89,共有部分,鋼筋混凝土造,95年11月5日,十四層,,
RPUNMLLLJHKGFDH38CC,29,60.15,住家用,鋼筋混凝土造,84年11月7日,十二層,,
RPUNMLLLJHKGFDH38CC,29,11.19,停車場兼防空避難室,鋼筋混凝土造,84年11月7日,十二層,,
RPUNMLLLJHKGFDH38CC,29,8.24,電梯、樓梯、屋頂突出物、機房、水箱、門廳,鋼筋混凝土造,84年11月7日,十二層,,
RPVNMLLLJHKGFDH48CC,22,95.80,住家用,鋼筋混凝土造,92年2月19日,十四層,,
RPVNMLLLJHKGFDH48CC,22,24.06,梯間、水塔,鋼筋混凝土造,92年2月19日,十四層,,
