編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPXTMLLLJHKGFAH98CC,坡道平面,2700,31.56,地下三樓
RPSRMLLLJHKGFAH28CC,坡道平面,2500,43.94,地下四樓
RPWPMLMLJHKGFAH58CC,坡道機械,0,,地下一樓
RPVQMLMLJHKGFAH58CC,坡道平面,3000,41.31,地下二樓
RPPOMLMLJHKGFBH87CC,坡道平面,500,33.65,地下三樓
RPUPMLMLJHKGFBH48CC,坡道機械,0,17.11,地下三樓
RPVPMLMLJHKGFBH58CC,坡道機械,0,17.11,地下三樓
RPSRMLMLJHKGFBH48CC,坡道平面,0,,地下二樓
RPSRMLMLJHKGFBH48CC,坡道平面,0,,地下二樓
RPWPMLMLJHKGFBH68CC,坡道平面,1000,27.86,地下二樓
RPPOMLMLJHKGFDH08CC,坡道平面,1000,29.75,地下二樓
RPXNMLLLJHKGFFH88CC,坡道平面,3000,25.83,地下二樓
RPXNMLNLJHKGFAH58CC,坡道平面,2400,,地下二樓
RPOOMLNLJHKGFAH77CC,坡道平面,3000,45.11,地下二樓
RPVOMLNLJHKGFBH58CC,坡道平面,3000,26.98,地下一樓
RPSNMLMLJHKGFEH38CC,坡道平面,500,,地下一樓
RPXNMLMLJHKGFEH88CC,坡道平面,3000,,一樓
RPRPMLNLJHKGFBH28CC,坡道平面,3000,34.54,地下二樓
RPRPMLNLJHKGFBH28CC,坡道平面,3000,34.54,地下二樓
RPQNMLNLJHKGFFH38CC,坡道平面,1000,25.89,地下一樓
RPUNMLNLJHKGFFH78CC,坡道平面,2000,21.37,地下二樓
RPWOMLMLJHKGFHH56CC,坡道平面,0,31.89,地下四樓
RPPNMLOLJHKGFAH87CC,坡道平面,2000,27.09,地下二樓
RPUOMLOLJHKGFAH48CC,坡道平面,2000,27.68,地下三樓
RPTNMLOLJHKGFBH38CC,坡道平面,3000,24.86,地下二樓
RPOPMLOLJHKGFBH08CC,坡道平面,2500,36.91,地下二樓
RPXNMLOLJHKGFFH56CC,坡道平面,3000,,地下三樓
RPWNMLPLJHKGFBH78CC,坡道平面,1200,,一樓
RPTNMLOLJHKGFGH88CC,坡道平面,2500,30.21,地下二樓
RPPNMLNJKHKGFAH67CC,坡道平面,1000,,地下一樓
RPRNMLNJKHKGFBH97CC,坡道平面,3000,,地下二樓
RPUOMLNJKHKGFBH38CC,坡道平面,0,,地下一樓
RPQNMLNJKHKGFDH08CC,坡道平面,3000,38.16,地下一樓
RPRNMLNJKHKGFFH38CC,坡道平面,2000,32.01,地下一樓
