鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市延平街２６４之１號６樓１,17.7,商,,,1140205,土地2建物1車位1,六層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830111,124.9,3,1,2,有,有,5600000,44836,其他,0.0,0,,RPWNMLKLKHKGFAI28DA,76.59,0.0,3.57,有,01
嘉義市,土地,盧厝段665-59地號,5.0,住,,,1140216,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,100000,20000,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLOLKHKGFAI18EA,0.0,0.0,0.0,無,02
嘉義市,房地(土地+建物),嘉義市嘉義市興美六路１０９號,85.5,住,,,1140207,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土構造,1091123,190.57,4,2,4,有,無,20380000,106942,,0.0,0,,RPXNMLKLKHKGFAI38DA,174.14,0.0,16.43,無,03
嘉義市,房地(土地+建物),嘉義市嘉義市吳鳳南路５４７巷８號４樓３,5.9,住,,,1140210,土地2建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0791109,30.93,1,0,1,有,有,900000,29098,,0.0,0,,RPSOMLOLKHKGFAI38DA,23.22,0.0,0.0,有,
嘉義市,房地(土地+建物),嘉義市嘉義市新民路１８６巷５１號４樓２,16.15,住,,,1140213,土地2建物1車位0,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821125,78.0,3,1,1,有,有,2400000,30769,,0.0,0,,RPPNMLPLKHKGFAI08DA,51.47,0.0,3.94,有,
嘉義市,房地(土地+建物),嘉義市嘉義市友竹街９０號七樓之５,19.17,都市：其他:住宅區,,,1140110,土地2建物1車位0,七層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,1051027,74.38,1,1,1,有,有,6000000,80667,,0.0,0,,RPTNMLSKKHKGFAI68DA,43.8,0.0,5.84,有,04
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市興達路５６４號三樓,9.55,住,,,1140103,土地1建物1車位1,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830121,97.3,2,2,1,有,有,6700000,68859,坡道機械,0.0,0,,RPQNMLSJJHKGFAI18DA,54.34,0.0,15.21,有,05
嘉義市,土地,後庄段16-5地號,1195.43,農,,,1140105,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,10000000,8365,,0.0,0,,RPPOMLTKKHKGFAI48DA,0.0,0.0,0.0,無,06
嘉義市,土地,宣信段1306地號,9.04,住,,,1140106,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1284584,142100,,0.0,0,政府機關標讓售；,RPPNMLOLKHKGFAI08EA,0.0,0.0,0.0,無,
嘉義市,土地,湖內段1465地號,189.0,工,,,1140123,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,12000000,63492,,0.0,0,未登記建物；,RPROMLOLKHKGFAI28DA,0.0,0.0,0.0,無,
嘉義市,土地,湖內段1465-2地號,82.0,工,,,1140124,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3800000,46341,,0.0,0,,RPUOMLOLKHKGFAI58DA,0.0,0.0,0.0,無,07
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市新榮路３５巷１４號十一樓之２,6.13,住,,,1140121,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931029,35.410000000000004,4,2,2,有,有,1850000,52245,坡道平面,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTOMLOLKHKGFAI48DA,19.33,0.0,1.93,有,
嘉義市,房地(土地+建物),嘉義市嘉義市博東路１３６巷１２之１號,116.02,住,,,1140116,土地3建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土造,0960227,252.6,6,3,4,有,有,20400000,80760,,0.0,0,,RPXOMLOLKHKGFAI88DA,239.98,3.43,9.19,無,
嘉義市,房地(土地+建物),嘉義市嘉義市忠孝路７９０－９６號３樓２,15.86,住,,,1140115,土地1建物1車位0,三層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841004,104.69,5,2,2,有,有,5300000,50626,,0.0,0,,RPOOMLPLKHKGFAI08DA,67.8,2.77,8.04,有,08
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市雅竹路９號三樓之１,26.37,商,,,1131209,土地1建物1車位1,三層,十一層,住宅大樓(11層含以上有電梯),其他,鋼筋混凝土構造,0970205,144.14,3,2,2,有,有,12000000,83252,坡道機械,0.0,0,,RPPOMLRKKHKGFAI28DA,94.92,0.0,10.58,有,09
嘉義市,房地(土地+建物),嘉義市嘉義市東洋新３４２號四樓３,10.86,住,,,1131231,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0741129,43.68,1,1,1,有,有,3360000,76923,,0.0,0,含傢俱設備費；,RPRNMLSKKHKGFAI48DA,31.15,0.0,3.6,有,10
嘉義市,土地,鳥岫段668地號,934.95,農,,,1131213,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,15271740,16334,,0.0,0,,RPRNMLTKKHKGFAI58DA,0.0,0.0,0.0,無,11
嘉義市,房地(土地+建物),嘉義市嘉義市林森東路１６３巷７５號,138.12,住,,,1131207,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0740618,145.0,4,2,2,有,無,13800000,95172,,0.0,0,其他增建；,RPTOMLKLKHKGFAI08DA,133.72,11.28,0.0,無,12
嘉義市,土地,鳥岫段668地號,363.75,農,,,1131213,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5941620,16334,,0.0,0,,RPPNMLTKKHKGFAI48EA,0.0,0.0,0.0,無,11
嘉義市,房地(土地+建物),嘉義市嘉義市錦州一街３９號,111.0,商,,,1131219,土地1建物1車位0,全,五層,透天厝,住商用,鋼筋混凝土構造,1091028,358.35,5,2,6,有,無,26000000,72555,,0.0,0,土地價金新台幣865萬，房屋價金新台幣1735萬親友、員工、共有人或其他特殊關係間之交易；,RPVNMLKLKHKGFAI18DA,332.39,0.0,25.96,有,
嘉義市,房地(土地+建物),嘉義市嘉義市泰瑞一街６６號５樓３,22.3,住,,,1131231,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820805,124.11,3,2,2,有,有,5500000,44316,,0.0,0,,RPPNMLLLKHKGFAI77EA,83.77,0.0,14.67,有,
嘉義市,房地(土地+建物),嘉義市嘉義市　芳安路３９巷９號,66.44,住,,,1131228,土地1建物1車位0,全,二層,透天厝,住家用,木造,0620521,65.92,3,2,2,有,無,5500000,83434,,0.0,0,含裝潢費；,RPVNMLNJKHKGFAI28DA,65.92,0.0,0.0,無,
嘉義市,房地(土地+建物),嘉義市嘉義市自強街１９５巷３３之９號４樓３,20.6,商,,,1131228,土地1建物1車位0,四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0791110,133.82,4,2,2,有,有,6300000,47078,,0.0,0,其他增建；,RPXNMLTKKHKGFAI56DA,115.08,0.0,9.24,有,
嘉義市,房地(土地+建物),嘉義市嘉義市民權路２３４號,76.33,住,,,1131209,土地2建物1車位0,全,三層,透天厝,商業用,鋼筋混凝土造,0751126,129.63,4,1,2,有,無,11500000,88714,,0.0,0,未登記建物；,RPQNMLLLKHKGFAI87EA,129.63,0.0,0.0,無,
嘉義市,房地(土地+建物),嘉義市嘉義市忠孝路１８１巷８號,21.67,住,,,1131209,土地1建物1車位0,全,二層,透天厝,住家用,木造,0610531,36.98,1,1,1,有,無,1500000,40562,,0.0,0,,SPQNMLLLKHKGFAI97EA,34.84,0.0,2.14,無,14
嘉義市,房地(土地+建物),嘉義市嘉義市文化路６９４巷１６之９號,86.75,農,,,1131230,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0821222,258.59,5,2,3,有,無,1800000,6961,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQPMLOLKHKGFAI28DA,219.86,1.7,6.72,無,
嘉義市,房地(土地+建物),嘉義市嘉義市新建街３３號四樓７,8.24,住,,,1131228,土地2建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830506,45.19,1,1,1,有,有,3000000,66386,,0.0,0,,RPRNMLPLKHKGFAI28DA,27.85,0.0,4.52,有,15
嘉義市,房地(土地+建物),嘉義市嘉義市自由路５０８號七樓之２,10.09,住,,,1131125,土地1建物1車位0,七層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830530,120.21000000000001,3,2,2,有,有,5450000,45337,,0.0,0,,RPQNMLSLJIJGFAI38DA,78.71,0.0,12.27,有,16
嘉義市,房地(土地+建物),嘉義市嘉義市友愛路７２９號十一樓之５,23.99,住,,,1131122,土地1建物1車位0,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0800627,173.83999999999997,4,2,2,有,有,9600000,55223,,0.0,0,,RPTNMLKLKHKGFAI97DA,124.35,0.0,22.1,有,17
嘉義市,房地(土地+建物),嘉義市嘉義市北社尾路３２３巷５號,60.0,商,,,1131128,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0810731,181.82,4,2,4,有,無,11000000,60499,,0.0,0,其他增建；,RPPNMLMLKHKGFAI77DA,162.02,3.96,15.84,無,18
嘉義市,土地,北湖段409地號,207.83,住,,,1131111,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6100000,29351,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPUNMLTKKHKGFAI88DA,0.0,0.0,0.0,無,19
嘉義市,土地,新厝段642-1地號,1564.0,農,,,1131014,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5500000,3517,,0.0,0,,RPWNMLSKKHKGFAI98DA,0.0,0.0,0.0,無,
嘉義市,房地(土地+建物),嘉義市嘉義市健康五街７１號,137.02,住,,,1130930,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1130514,200.13,5,2,4,有,無,20300000,101434,,0.0,0,,RPVNMLTKKHKGFAI98DA,186.74,0.0,13.39,無,
嘉義市,房地(土地+建物),嘉義市嘉義市鹿寮里５鄰紅毛埤１８８之２號,7321.95,農,,,1130905,土地4建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0650825,249.22,5,2,2,有,無,35500000,142444,,0.0,0,本件原售價4000萬元整因同段113地號己流失故雙方協議折價出售故變更總價為3550萬,RPUOMLKLKHKGFAI18DA,249.22,0.0,0.0,無,
嘉義市,房地(土地+建物),嘉義市嘉義市遼寧一街１６０號,76.0,住,,,1130824,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0660212,104.62,4,2,3,有,無,8800000,84114,,0.0,0,頂樓加蓋；其他增建；,RPOOMLTKKHKGFAI38DA,104.62,0.0,0.0,無,20
