編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLPLKHKGFAI08DA,31,55.41,住家用,鋼筋混凝土造,82年11月25日,六層,四層 陽台,全筆移轉
RPPNMLPLKHKGFAI08DA,31,10.69,共有部份,鋼筋混凝土造,82年11月25日,六層,,持分移轉
RPPNMLPLKHKGFAI08DA,31,11.90,共有部份,鋼筋混凝土造,82年11月25日,六層,,持分移轉
RPSOMLOLKHKGFAI38DA,34,23.22,住家用,鋼筋混凝土造,79年11月9日,七層,四層,全筆移轉
RPSOMLOLKHKGFAI38DA,34,7.71,共有部份,鋼筋混凝土造,79年11月9日,七層,,持分移轉
RPTOMLOLKHKGFAI48DA,20,21.26,住家用,鋼筋混凝土造,93年10月29日,十四層,十一層 陽台,持分移轉
RPTOMLOLKHKGFAI48DA,20,14.15,共有部份,鋼筋混凝土造,93年10月29日,十四層,,持分移轉
RPXOMLOLKHKGFAI88DA,18,252.60,停車空間、住宅、梯間,鋼筋混凝土造,96年2月27日,五層,一層 二層 三層 四層 五層 陽台 雨遮,全筆移轉
RPOOMLPLKHKGFAI08DA,29,78.61,住家用,鋼筋混凝土造,84年10月4日,十一層,三層 陽台 花台,全筆移轉
RPOOMLPLKHKGFAI08DA,29,16.63,共有部份,鋼筋混凝土造,84年10月4日,十一層,,持分移轉
RPOOMLPLKHKGFAI08DA,29,9.45,共有部份,鋼筋混凝土造,84年10月4日,十一層,,持分移轉
RPXNMLKLKHKGFAI38DA,4,190.57,店舖、住宅、樓梯間、停車空間,鋼筋混凝土構造,109年11月23日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
RPQNMLSJJHKGFAI18DA,31,69.55,住家用,鋼筋混凝土造,83年1月21日,十二層,三層 陽台,全筆移轉
RPQNMLSJJHKGFAI18DA,31,14.22,共有部份,鋼筋混凝土造,83年1月21日,十二層,,持分移轉
RPQNMLSJJHKGFAI18DA,31,13.53,共有部份,鋼筋混凝土造,83年1月21日,十二層,,持分移轉
RPWNMLKLKHKGFAI28DA,31,18.85,共有部份,鋼筋混凝土造,83年1月11日,八層,,持分移轉
RPWNMLKLKHKGFAI28DA,31,80.16,住家用,鋼筋混凝土造,83年1月11日,八層,六層 陽台,全筆移轉
RPWNMLKLKHKGFAI28DA,31,25.89,共有部份,鋼筋混凝土造,83年1月11日,八層,,持分移轉
RPVNMLKLKHKGFAI18DA,4,358.35,店舖、停車空間、住宅、樓梯間,鋼筋混凝土構造,109年10月28日,五層,一層 二層 三層 四層 五層 陽台 見其他登記事項,全筆移轉
RPTOMLKLKHKGFAI08DA,39,145.00,住家用,加強磚造,74年6月18日,二層,一層 二層 電梯樓梯間,全筆移轉
RPXNMLTKKHKGFAI56DA,34,124.32,住家用,鋼筋混凝土造,79年11月10日,八層,四層 陽台,全筆移轉
RPXNMLTKKHKGFAI56DA,34,9.50,共有部份,鋼筋混凝土造,79年11月10日,八層,,持分移轉
SPQNMLLLKHKGFAI97EA,53,36.98,住家用,木造,61年5月31日,二層,一層 二層 陽台,全筆移轉
RPQNMLLLKHKGFAI87EA,38,129.63,人行道、店舖、住房、梯間,鋼筋混凝土造,75年11月26日,三層,一層 二層 三層 騎樓 見其他登記事項,全筆移轉
RPQPMLOLKHKGFAI28DA,31,228.28,住家用,鋼筋混凝土造,82年12月22日,四層,一層 二層 三層 四層 陽台 平台 地下層,全筆移轉
RPQPMLOLKHKGFAI28DA,31,30.31,共有部份,鋼筋混凝土造,82年12月22日,四層,,持分移轉
RPRNMLPLKHKGFAI28DA,31,32.37,住家用,鋼筋混凝土造,83年5月6日,七層,四層 陽台,全筆移轉
RPRNMLPLKHKGFAI28DA,31,6.61,共有部份,鋼筋混凝土造,83年5月6日,七層,,持分移轉
RPRNMLPLKHKGFAI28DA,31,6.21,共有部份,鋼筋混凝土造,83年5月6日,七層,,持分移轉
