編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLPLKHKGFAI08DA,湖內段,9.02,都市：其他:住宅區,10000,70,持分移轉,09980000
RPPNMLPLKHKGFAI08DA,湖內段,7.13,都市：其他:住宅區,10000,70,持分移轉,10230000
RPUOMLOLKHKGFAI58DA,湖內段,82.00,都市：其他:乙種工業區,1,1,全筆移轉,14650002
RPSOMLOLKHKGFAI38DA,下路頭段,5.90,都市：其他:住宅區,10000,46,持分移轉,01810009
RPSOMLOLKHKGFAI38DA,下路頭段,.00,都市：其他:住宅區,10000,46,持分移轉,01810024
RPTOMLOLKHKGFAI48DA,新白川段,6.13,都市：其他:住宅區,600000,746,持分移轉,00050000
RPXOMLOLKHKGFAI88DA,新太平段,110.66,都市：其他:住宅區,1,1,全筆移轉,00160000
RPXOMLOLKHKGFAI88DA,新太平段,4.92,都市：其他:住宅區,16,1,持分移轉,00190000
RPXOMLOLKHKGFAI88DA,台斗坑段,.44,都市：其他:住宅區,18,1,持分移轉,01300050
RPOOMLPLKHKGFAI08DA,遠東段,15.86,都市：其他:住宅區,10000,17,持分移轉,00680007
RPROMLOLKHKGFAI28DA,湖內段,189.00,都市：其他:乙種工業區,1,1,全筆移轉,14650000
RPXNMLKLKHKGFAI38DA,湖子內段興安小段,85.50,都市：其他:第一種住宅區,1,1,全筆移轉,02100005
RPQNMLSJJHKGFAI18DA,竹圍子段二小段,9.55,都市：其他:住宅區,10000,113,持分移轉,02220000
RPWNMLKLKHKGFAI28DA,新富段一小段,.62,都市：其他:商業區,5950,177,持分移轉,00080000
RPWNMLKLKHKGFAI28DA,南門段七小段,17.08,都市：其他:商業區,5950,177,持分移轉,00100000
RPVNMLKLKHKGFAI18DA,車店段車店小段,111.00,都市：其他:商業區,1,1,全筆移轉,04260007
RPPNMLOLKHKGFAI08EA,宣信段,9.04,都市：其他:住宅區,1,1,全筆移轉,13060000
RPQNMLOLKHKGFAI18EA,盧厝段,5.00,都市：其他:住宅區,1,1,全筆移轉,06650059
RPRNMLTKKHKGFAI58DA,鳥岫段,934.95,都市：其他:農業區,20000,3200,持分移轉,06680000
RPPOMLTKKHKGFAI48DA,後庄段,176.43,都市：其他:農業區,14,2,持分移轉,00160004
RPPOMLTKKHKGFAI48DA,後庄段,1019.00,都市：其他:農業區,1,1,全筆移轉,00160005
RPTOMLKLKHKGFAI08DA,新太平段,138.12,都市：其他:住宅區,1,1,全筆移轉,11970000
