鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市健康五街與湖美三路口,37.85,住,,,1140122,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,115.54,3,1,2,有,無,11200000,106840,一樓平面,24.75,1500000,含約定專用露臺共2個,RPRNMLOLJHKGFAI08CB,尊丞馥寓二期,4B號,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市新榮路52號,14.98,商,,,1140124,土地1建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,150.14,2,2,2,有,無,15850000,131946,坡道平面,42.52,1650000,土地持分範圍為2019/100000，因原契約持分分母10000，分子自動四捨五入到整數，原契約書面土地持分範圍為202/10000，有差額0.1/10000。,RPSNMLOLJHKGFAI18CB,承億新榮序,A3棟5號,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市健康五街與湖美三路口,50.61,住,,,1140121,土地1建物1車位3,一層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,121.38,0,0,0,無,無,20280000,167079,一樓平面,0.0,0,含約定專用車位共3位,RPTNMLOLJHKGFAI28CB,尊丞馥寓二期,1A號,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市嘉義市西區北港路,19.26,住,,,1140124,土地1建物1車位1,九層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,121.89,2,2,2,有,無,13550000,130570,坡道平面,31.9,1800000,,RPPNMLPLJHKGFAI97CB,享風華,9FA棟7號,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市五福街,123.21,農,,,1140121,土地6建物1車位1,全,4,透天厝,住家用,鋼筋混凝土造,,213.89,4,2,5,有,無,18800000,87896,一樓平面,0.0,0,,RPPNMLOJKHKGFAI77CB,大樁園NO5,A50(D13)棟0號,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市五福街,220.57,農,,,1140121,土地7建物1車位1,全,4,透天厝,住家用,鋼筋混凝土造,,221.14,5,2,6,有,無,21850000,98806,一樓平面,0.0,0,,RPVNMLPJKHKGFAI48CB,大樁園NO5,B10棟0號,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市健康五街與湖美三路口,28.44,住,,,1140125,土地1建物1車位1,二層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,68.24,2,1,2,有,無,7800000,114302,一樓平面,0.0,0,含1約定專用車位,RPQNMLRJKHKGFAI18CB,尊丞馥寓二期,2D號,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市西區竹圍路168號8樓之3,9.22,商,,,1140121,土地1建物1車位1,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,77.91,1,1,1,有,無,7270000,110422,坡道平面,27.92,1750000,,RPPNMLKKKHKGFAI47CB,湛然天玉,B2棟3號,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市五福街,98.46,農,,,1140122,土地6建物1車位1,全,4,透天厝,住家用,鋼筋混凝土造,,174.01,4,2,5,有,無,14600000,83903,一樓平面,0.0,0,,RPQNMLTKKHKGFAI48CB,大樁園NO5,A81(D45)棟0號,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市五福街,98.46,農,,,1140121,土地6建物1車位1,全,4,透天厝,住家用,鋼筋混凝土造,,174.17,4,2,5,有,無,14600000,83826,一樓平面,0.0,0,,RPSNMLTKKHKGFAI68CB,大樁園NO5,A85(D48)棟0號,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市五福街,98.46,農,,,1140121,土地6建物1車位1,全,4,透天厝,住家用,鋼筋混凝土造,,174.01,4,2,5,有,無,16800000,96546,一樓平面,0.0,0,,RPUNMLTKKHKGFAI88CB,大樁園NO5,A89(D51)棟0號,
