編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSNMLTKKHKGFAI68CB,盧厝段,4.75,都市：農,415100,475,持分移轉,03660002
RPSNMLTKKHKGFAI68CB,盧厝段,88.57,都市：農,899600,8857,持分移轉,03670000
RPSNMLTKKHKGFAI68CB,盧厝段,2.61,都市：農,182400,261,持分移轉,03670001
RPSNMLTKKHKGFAI68CB,盧厝段,.18,都市：農,9700,18,持分移轉,03670009
RPSNMLTKKHKGFAI68CB,盧厝段,.97,都市：農,8700,97,持分移轉,03670010
RPSNMLTKKHKGFAI68CB,盧厝段,1.38,都市：農,12300,138,持分移轉,03670011
RPUNMLTKKHKGFAI88CB,盧厝段,4.75,都市：農,415100,475,持分移轉,03660002
RPUNMLTKKHKGFAI88CB,盧厝段,88.57,都市：農,899600,8857,持分移轉,03670000
RPUNMLTKKHKGFAI88CB,盧厝段,2.61,都市：農,182400,261,持分移轉,03670001
RPUNMLTKKHKGFAI88CB,盧厝段,.18,都市：農,9700,18,持分移轉,03670009
RPUNMLTKKHKGFAI88CB,盧厝段,.97,都市：農,8700,97,持分移轉,03670010
RPUNMLTKKHKGFAI88CB,盧厝段,1.38,都市：農,12300,138,持分移轉,03670011
RPVNMLPJKHKGFAI48CB,盧厝段,4.75,都市：農,415100,475,持分移轉,03660002
RPVNMLPJKHKGFAI48CB,盧厝段,96.48,都市：農,899600,9648,持分移轉,03670000
RPVNMLPJKHKGFAI48CB,盧厝段,116.49,都市：農,182400,11649,持分移轉,03670001
RPVNMLPJKHKGFAI48CB,盧厝段,.22,都市：農,9700,22,持分移轉,03670009
RPVNMLPJKHKGFAI48CB,盧厝段,.97,都市：農,8700,97,持分移轉,03670010
RPVNMLPJKHKGFAI48CB,盧厝段,1.38,都市：農,12300,138,持分移轉,03670011
RPQNMLRJKHKGFAI18CB,湖子內段湖美小段,28.44,都市：住,10000,408,持分移轉,03830000
RPVNMLPJKHKGFAI48CB,盧厝段,.28,都市：農,3400,28,持分移轉,03670008
RPPNMLKKKHKGFAI47CB,竹圍子段一小段,9.22,都市：商,100000,346,持分移轉,02370000
RPQNMLTKKHKGFAI48CB,盧厝段,4.75,都市：農,415100,475,持分移轉,03660002
RPQNMLTKKHKGFAI48CB,盧厝段,88.57,都市：農,899600,8857,持分移轉,03670000
RPQNMLTKKHKGFAI48CB,盧厝段,2.61,都市：農,182400,261,持分移轉,03670001
RPQNMLTKKHKGFAI48CB,盧厝段,.18,都市：農,9700,18,持分移轉,03670009
RPQNMLTKKHKGFAI48CB,盧厝段,.97,都市：農,8700,97,持分移轉,03670010
RPQNMLTKKHKGFAI48CB,盧厝段,1.38,都市：農,12300,138,持分移轉,03670011
RPPNMLOJKHKGFAI77CB,盧厝段,4.75,都市：農,415100,475,持分移轉,03660002
RPPNMLOJKHKGFAI77CB,盧厝段,113.32,都市：農,899600,11332,持分移轉,03670000
RPPNMLOJKHKGFAI77CB,盧厝段,2.61,都市：農,182400,261,持分移轉,03670001
RPPNMLOJKHKGFAI77CB,盧厝段,.18,都市：農,9700,18,持分移轉,03670009
RPPNMLOJKHKGFAI77CB,盧厝段,.97,都市：農,8700,97,持分移轉,03670010
RPPNMLOJKHKGFAI77CB,盧厝段,1.38,都市：農,12300,138,持分移轉,03670011
RPTNMLOLJHKGFAI28CB,湖子內段湖美小段,50.61,都市：住,10000,726,持分移轉,03830000
RPRNMLOLJHKGFAI08CB,湖子內段湖美小段,37.85,都市：住,10000,543,持分移轉,03830000
RPSNMLOLJHKGFAI18CB,新富段五小段,14.98,都市：商,100000,2019,持分移轉,00300004
RPPNMLPLJHKGFAI97CB,竹圍子段,19.26,都市：住,10000,99,持分移轉,03740000
