編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPSNMLTKKHKGFAI68CB,一樓平面,0,,一樓
RPUNMLTKKHKGFAI88CB,一樓平面,0,,一樓
RPQNMLRJKHKGFAI18CB,一樓平面,0,,一樓
RPVNMLPJKHKGFAI48CB,一樓平面,0,,一樓
RPPNMLKKKHKGFAI47CB,坡道平面,1750000,27.92,地下二樓
RPQNMLTKKHKGFAI48CB,一樓平面,0,,一樓
RPPNMLOJKHKGFAI77CB,一樓平面,0,,一樓
RPTNMLOLJHKGFAI28CB,一樓平面,0,,一樓
RPTNMLOLJHKGFAI28CB,一樓平面,0,,一樓
RPTNMLOLJHKGFAI28CB,一樓平面,0,,一樓
RPRNMLOLJHKGFAI08CB,一樓平面,1500000,24.75,一樓
RPSNMLOLJHKGFAI18CB,坡道平面,1650000,42.52,地下三樓
RPPNMLPLJHKGFAI97CB,坡道平面,1800000,31.90,地下二樓
