鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
嘉義市,租賃房屋,嘉義市嘉義市大義街６２號,0.0,,,,1140121,土地0建物1車位0,全,3,透天厝,住宅、樓梯間,鋼筋混凝土造,0960911,174.37,4,1,3,有,無,有,19800,114,,0.0,0,嘉義市社會住宅包租代管計畫之物件。,RPSNMLNLJHKGFAI18CC,整棟(戶)出租,無,1140130~1150129,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
嘉義市,租賃房屋,嘉義市嘉義市長榮街１１４號３樓３,0.0,,,,1140121,土地0建物1車位0,三層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800726,69.73,2,1,1,有,有,有,9000,129,,0.0,0,此為嘉義市社會住宅包租代管計畫。,RPTNMLNLJHKGFAI28CC,整棟(戶)出租,有,1140125~1150124,有,冷氣、熱水器、瓦斯或天然氣,社會住宅包租轉租
嘉義市,租賃房屋,嘉義市嘉義市世賢路四段４５６巷７號４樓之１,0.0,,,,1140122,土地0建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850920,118.5,3,2,2,有,有,有,10000,84,,0.0,0,嘉義市社會住宅包租代管計畫之物件。,RPUNMLNLJHKGFAI38CC,整棟(戶)出租,有,1140210~1150209,有,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
嘉義市,租賃房屋,嘉義市嘉義市彌陀路１４３號１２樓２,0.0,,,,1140122,土地0建物1車位0,十二層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850311,94.34,2,1,1,有,有,有,10287,109,,0.0,0,此為嘉義市社會住宅包租代管計畫。管理費713元由出租人負擔。,RPVNMLNLJHKGFAI48CC,整棟(戶)出租,有,1140126~1150125,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
嘉義市,租賃房屋,嘉義市嘉義市忠孝路７９０-５５號４樓１４,0.0,,,,1140121,土地0建物1車位0,四層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841004,32.32,1,0,1,有,有,有,7020,217,,0.0,0,此為嘉義市社會住宅包租代管計畫。管理費280元由出租人負擔。,RPOOMLNLJHKGFAI87CC,獨立套房,有,1140220~1150219,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
嘉義市,租賃房屋,嘉義市嘉義市上海路１６巷２０號,0.0,,,,1140121,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0740712,109.61,5,1,2,有,無,有,19000,173,,0.0,0,此為嘉義市社會住宅包租代管計畫。,RPQOMLNLJHKGFAI08CC,整棟(戶)出租,無,1140124~1150123,無,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
嘉義市,租賃房屋,嘉義市嘉義市自強街１９５巷３３之１號２樓１,0.0,,,,1140121,土地0建物1車位0,二層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0791110,146.34,3,1,2,有,有,有,12620,86,,0.0,0,此為嘉義市社會住宅包租代管計畫。管理費1380元由出租人負擔。,RPROMLNLJHKGFAI18CC,整棟(戶)出租,有,1140125~1150124,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅包租轉租
嘉義市,租賃房屋,嘉義市嘉義市福全里１２鄰福全街１２５巷４０號,0.0,,,,1140121,土地0建物1車位0,全,5,透天厝,住家用,鋼筋混凝土造,0830926,202.88,6,1,5,有,無,無,19000,94,,0.0,0,此為嘉義市社會住宅包租代管計畫。,RPSOMLNLJHKGFAI28CC,整棟(戶)出租,無,1140124~1150123,無,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
嘉義市,租賃房屋,嘉義市嘉義市民生南路１５９號,0.0,,,,1140121,土地0建物0車位0,全,5,透天厝,住商用,鋼筋混凝土造,0830708,30.86,4,1,5,有,無,無,5000,162,,0.0,0,整編前門牌:嘉義市民生南路169號,RPPNMLNJKHKGFAI77CC,分租套房,無,1140131~1150130,無,熱水器,一般代管
嘉義市,租賃房屋,嘉義市嘉義市民權路４２７號七樓５,0.0,,,,1140128,土地0建物1車位0,七層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0720825,63.68,2,1,1,有,無,有,12000,188,,0.0,0,,RPSNMLNJKHKGFAI08CC,整棟(戶)出租,無,1140210~1150209,有,熱水器、洗衣機、冰箱,
嘉義市,租賃房屋,嘉義市嘉義市文化路１６７號,0.0,,,,1140125,土地0建物1車位0,全,5,透天厝,住商用,鋼筋混凝土造,0700116,140.95,0,0,0,無,無,無,36000,255,,0.0,0,租賃期間有約定不同租金114年1月25日至114年3月31日為裝修期；,RPQNMLOJKHKGFAI97CC,,無,1140401~1190331,無,,
嘉義市,租賃房屋,嘉義市嘉義市北興街４５６-１號,0.0,,,,1140122,土地0建物1車位0,一層,1,店面(店鋪),見使用執照,鋼造,0730716,52.89,0,0,0,無,無,無,16000,303,,0.0,0,租賃建物部分範圍，且未計入共有部分面積；,RPRNMLOJKHKGFAI08CC,,無,1140201~1170131,無,,
