編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPROMLNLJHKGFAI18CC,34,113.95,住家用,鋼筋混凝土造,79年11月10日,八層,,
RPROMLNLJHKGFAI18CC,34,32.39,共有部份,鋼筋混凝土造,79年11月10日,八層,,
RPSNMLNLJHKGFAI18CC,17,174.37,住宅、樓梯間,鋼筋混凝土造,96年9月11日,三層,,
RPPNMLNJKHKGFAI77CC,31,30.86,住商用,鋼筋混凝土造,83年7月8日,五層,,
RPSNMLNJKHKGFAI08CC,41,52.25,住家用,鋼筋混凝土造,72年8月25日,九層,,
RPSNMLNJKHKGFAI08CC,41,8.62,共有部份,鋼筋混凝土造,72年8月25日,九層,,
RPSNMLNJKHKGFAI08CC,41,2.81,共有部份,鋼筋混凝土造,72年8月25日,九層,,
RPVNMLNLJHKGFAI48CC,29,70.24,住家用,鋼筋混凝土造,85年3月11日,二十層,,
RPOOMLNLJHKGFAI87CC,29,24.28,住家用,鋼筋混凝土造,84年10月4日,十一層,,
RPUNMLNLJHKGFAI38CC,28,90.28,住家用,鋼筋混凝土造,85年9月20日,七層,,
RPVNMLNLJHKGFAI48CC,29,24.10,共有部份,鋼筋混凝土造,85年3月11日,二十層,,
RPSOMLNLJHKGFAI28CC,30,202.88,住家用,鋼筋混凝土造,83年9月26日,五層,,
RPOOMLNLJHKGFAI87CC,29,4.70,共有部份,鋼筋混凝土造,84年10月4日,十一層,,
RPUNMLNLJHKGFAI38CC,28,28.22,共有部份,鋼筋混凝土造,85年9月20日,七層,,
RPOOMLNLJHKGFAI87CC,29,3.34,共有部份,鋼筋混凝土造,84年10月4日,十一層,,
RPQOMLNLJHKGFAI08CC,40,109.61,住家用,加強磚造,74年7月12日,二層,,
RPTNMLNLJHKGFAI28CC,33,57.76,住家用,鋼筋混凝土造,80年7月26日,六層,,
RPTNMLNLJHKGFAI28CC,33,11.97,住家用,鋼筋混凝土造,80年7月26日,六層,,
RPUNMLOJKHKGFAI38CC,36,30.57,住家用,鋼筋混凝土造,77年9月24日,十層,,
RPUNMLOJKHKGFAI38CC,36,2.70,共有部份,鋼筋混凝土造,77年9月24日,十層,,
RPUNMLOJKHKGFAI38CC,36,3.91,共有部份,鋼筋混凝土造,77年9月24日,十層,,
RPPNMLPJKHKGFAI97CC,6,9.50,集合住宅,鋼筋混凝土構造,107年8月2日,五層,,
RPPNMLPJKHKGFAI97CC,6,3.27,本共有部分之項目有機械室、樓梯間及水箱等３項,鋼筋混凝土構造,107年8月2日,五層,,
RPQNMLOJKHKGFAI97CC,44,140.95,住商用,鋼筋混凝土造,70年1月16日,五層,,
RPRNMLOJKHKGFAI08CC,41,52.89,見使用執照,鋼造,73年7月16日,一層,,
RPVNMLPJKHKGFAI58CC,47,19.83,住商用,鋼筋混凝土加強磚造,67年2月1日,二層,,
RPPNMLQJKHKGFAI08CC,47,99.48,住商用,鋼筋混凝土加強磚造,66年7月28日,二層,,
RPTNMLPJKHKGFAI38CC,47,19.83,住商用,鋼筋混凝土加強磚造,67年2月1日,二層,,
RPOOMLOKKHKGFAI97CC,30,24.97,住商用,鋼筋混凝土造,84年5月19日,五層,,
