鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
新埔鎮,土地,和平段1183地號,263.06,都市：其他:道路用地,,,1140206,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,8210000,31210,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；包含公共設施保留地用地；,RPPNMLQJKHKGFBJ18DA,0.0,0.0,0.0,無,001
芎林鄉,土地,倒別牛段燥坑小段88-5地號,13072.5,,山坡地保育區,林業用地,1140204,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6500000,497,,0.0,0,,RPPNMLMKKHKGFCJ97DA,0.0,0.0,0.0,無,
新豐鄉,土地,坪頂段451地號,65.41,都市：其他:道路用地,,,1140204,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,780000,11925,,0.0,0,包含公共設施保留地用地；,RPVOMLRJKHKGFDJ56DA,0.0,0.0,0.0,無,
湖口鄉,土地,德興段293地號,25.66,住,,,1140210,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,400000,15588,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；包含公共設施保留地用地；,RPQVMLOKKHKGFDJ56DA,0.0,0.0,0.0,無,002
新埔鎮,土地,福德段957地號,248.35,都市：其他:道路用地,,,1140203,土地4建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1070000,4308,,0.0,0,包含公共設施保留地用地；,RPPOMLOJKHKGFBJ08DA,0.0,0.0,0.0,無,003
湖口鄉,房地(土地+建物),新竹縣湖口鄉中山路三段６１０巷２０弄２６號七樓,18.21,,特定農業區,甲種建築用地,1140207,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0930515,78.1,3,0,3,有,有,1750000,22407,,0.0,0,,RPQWMLRKKHKGFDJ96DA,36.39,1.14,10.79,有,004
芎林鄉,土地,上山壹段381地號,33.91,,山坡地保育區,農牧用地,1140207,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,150000,4423,,0.0,0,,RPVNMLLKKHKGFCJ48DA,0.0,0.0,0.0,無,005
竹北市,房地(土地+建物)+車位,新竹縣竹北市六家五路一段３１０號八樓,24.09,住,,,1140202,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050923,139.31,2,2,1,有,有,25500000,183045,坡道平面,41.29,0,,RPUNMLPLKHKGFBJ78DA,57.96,0.0,7.72,有,006
湖口鄉,房地(土地+建物),新竹縣湖口鄉德和路７６巷１０號二樓之１,8.41,,鄉村區,乙種建築用地,1140210,土地1建物1車位0,二層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0930705,27.72,1,0,1,有,有,1000000,36075,,0.0,0,賣清價格土地增值稅849元由買方負擔.親友、員工、共有人或其他特殊關係間之交易；,RPRNMLLLKHKGFDJ28DA,18.38,0.0,2.32,有,007
