編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPRNMLLLKHKGFDJ28DA,21,20.70,住家用,鋼筋混凝土造,93年7月5日,八層,二層 陽台,全筆移轉
RPRNMLLLKHKGFDJ28DA,21,3.55,停車空間,鋼筋混凝土造,93年7月5日,八層,,持分移轉
RPRNMLLLKHKGFDJ28DA,21,3.30,梯間、走道,鋼筋混凝土造,93年7月5日,八層,,持分移轉
RPRNMLLLKHKGFDJ28DA,21,.17,走道,鋼筋混凝土造,93年7月5日,八層,,持分移轉
RPOOMLLLKHKGFDJ08DA,29,7.50,共有部分,鋼筋混凝土造,85年6月29日,五層,,持分移轉
RPOOMLLLKHKGFDJ08DA,29,81.21,住家用,鋼筋混凝土造,85年6月29日,五層,三層 陽台,全筆移轉
RPTNMLOKKHKGFBJ48DA,6,208.27,停車空間、集合住宅、梯間,鋼筋混凝土造,107年7月12日,四層,一層 二層 三層 四層 屋頂突出物 屋簷,全筆移轉
RPUNMLSKKHKGFBJ98DA,1,142.49,集合住宅,鋼筋混凝土造,113年6月5日,十四層,十二層 陽台,全筆移轉
RPUNMLSKKHKGFBJ98DA,1,144.21,本共有部分之項目有防空避難室兼停車空間、停車空間、公共服務空間、管委會空間、樓梯間、機房、水箱、昇降機機房等八項。,鋼筋混凝土造,113年6月5日,十四層,,持分移轉
RPWNMLSKKHKGFBJ56DA,1,80.43,集合住宅,鋼筋混凝土造,113年3月8日,十四層,三層 陽台,全筆移轉
RPWNMLSKKHKGFBJ56DA,1,73.91,本共有部分之項目有防空避難室兼停車空間、停車空間、台電配電室、垃圾集中室、管委會使用空間、公共服務空間、樓梯間、梯間、排煙室、昇降機間、水箱、電梯機房等十二項。,鋼筋混凝土造,113年3月8日,十四層,,持分移轉
RPRNMLSKKHKGFBJ68DA,13,.05,管理員室,鋼筋混凝土造,101年3月18日,十四層,一層,持分移轉
RPRNMLSKKHKGFBJ68DA,13,141.66,住家用,鋼筋混凝土造,101年3月18日,十四層,十一層 陽台 雨遮,全筆移轉
RPRNMLSKKHKGFBJ68DA,13,22.53,本共有部分之項目有樓梯間，水箱，機械室等三項。,鋼筋混凝土造,101年3月18日,十四層,,持分移轉
RPRNMLSKKHKGFBJ68DA,13,27.10,本共有部分之項目有防空避難室，停車空間，廣場式開放空間，車道等四項。,鋼筋混凝土造,101年3月18日,十四層,,持分移轉
RPRNMLSKKHKGFBJ68DA,13,27.19,本共有部分之項目有防空避難室，停車空間，廣場式開放空間，車道等四項。,鋼筋混凝土造,101年3月18日,十四層,,持分移轉
RPUNMLPLKHKGFBJ78DA,8,65.68,住家用,鋼筋混凝土造,105年9月23日,十五層,八層 陽台,全筆移轉
RPUNMLPLKHKGFBJ78DA,8,73.63,本共有部分之項目有防空避難室兼停車空間、水箱、機械室、梯廳、樓梯間、停車空間、台電配電室、電信室、發電機室、門廳、公共服務空間、管委會使用空間、垃圾集中處、樓梯、防災中心、頂蓋式開放空間等十六項。,鋼筋混凝土造,105年9月23日,十五層,,持分移轉
RPTPMLSKKHKGFDJ66DA,,249.90,住商用,加強磚造,,二層,一層 二層 騎樓,全筆移轉
RPQWMLRKKHKGFDJ96DA,21,48.32,住宅．機電設備空間,鋼筋混凝土造,93年5月15日,七層,七層 陽台 雨遮,全筆移轉
RPQWMLRKKHKGFDJ96DA,21,16.63,防空避難室．停車空間,鋼筋混凝土造,93年5月15日,七層,,持分移轉
RPQWMLRKKHKGFDJ96DA,21,6.81,梯間,鋼筋混凝土造,93年5月15日,七層,,持分移轉
RPQWMLRKKHKGFDJ96DA,21,6.35,走道,鋼筋混凝土造,93年5月15日,七層,,持分移轉
RPUNMLRJKHKGFDJ98DA,4,.13,共有部分,鋼筋混凝土造,109年11月24日,六層,,持分移轉
RPXNMLRJKHKGFDJ66DA,4,.13,共有部分,鋼筋混凝土造,109年11月24日,六層,,持分移轉
RPUNMLRJKHKGFDJ98DA,2,74.92,集合住宅,鋼筋混凝土造,111年11月18日,七層,二層 陽台,全筆移轉
RPXNMLRJKHKGFDJ66DA,2,55.56,集合住宅,鋼筋混凝土造,111年11月18日,七層,三層 陽台,全筆移轉
RPUNMLRJKHKGFDJ98DA,2,8.97,本共有部分之項目有樓梯間、機械室等２項,鋼筋混凝土造,111年11月18日,七層,,持分移轉
RPXNMLRJKHKGFDJ66DA,2,7.18,本共有部分之項目有樓梯間、機械室等２項,鋼筋混凝土造,111年11月18日,七層,,持分移轉
RPUNMLRJKHKGFDJ98DA,2,59.28,本共有部分之項目有停車空間、梯間等２項,鋼筋混凝土造,111年11月18日,七層,,持分移轉
RPXNMLRJKHKGFDJ66DA,2,38.32,本共有部分之項目有停車空間、梯間等２項,鋼筋混凝土造,111年11月18日,七層,,持分移轉
RPURMLTKKHKGFBJ86DA,9,17.11,住家用,鋼筋混凝土造,104年11月5日,十三層,五層 陽台,持分移轉
RPURMLTKKHKGFBJ86DA,9,12.10,本共有部分之項目有停車空間、防空避難室、公共服務空間等三項,鋼筋混凝土造,104年11月5日,十四層,,持分移轉
RPURMLTKKHKGFBJ86DA,9,3.79,本共有部分之項目有樓梯間、機械室、水箱等三項,鋼筋混凝土造,104年11月5日,十三層,,持分移轉
RPTNMLLLKHKGFDJ48DA,41,59.28,住宅,加強磚造,72年12月1日,二層,一層 二層,全筆移轉
RPPPMLOLKHKGFBJ38DA,22,189.35,住家用,鋼筋混凝土造,91年11月29日,四層,一層 二層 三層 四層 陽台 雨遮,全筆移轉
RPPNMLKLKHKGFBJ87EA,18,148.14,住家用,鋼筋混凝土造,96年5月28日,二十三層,三層 陽台 雨遮,全筆移轉
RPPNMLKLKHKGFBJ87EA,18,.01,管理室,鋼筋混凝土造,96年5月28日,二十三層,一層,持分移轉
RPPNMLKLKHKGFBJ87EA,18,30.53,共有部分,鋼筋混凝土造,96年5月28日,二十三層,,持分移轉
RPPNMLKLKHKGFBJ87EA,18,.00,共有部分,鋼筋混凝土造,96年5月28日,二十三層,,持分移轉
RPPNMLKLKHKGFBJ87EA,18,.00,共有部分,鋼筋混凝土造,96年5月28日,二十三層,,持分移轉
RPPNMLKLKHKGFBJ87EA,18,19.27,共有部分,鋼筋混凝土造,96年5月28日,二十三層,,持分移轉
RPPNMLKLKHKGFBJ87EA,18,36.56,共有部分,鋼筋混凝土造,96年5月28日,二十三層,,持分移轉
RPUNMLQKJHKGFBJ68DA,29,21.92,住家用,鋼筋混凝土造,85年7月3日,十三層,八層 陽台,全筆移轉
RPUNMLQKJHKGFBJ68DA,29,2.76,共有部分,鋼筋混凝土造,85年7月3日,十三層,,持分移轉
RPUNMLQKJHKGFBJ68DA,29,5.29,共有部分,鋼筋混凝土造,85年7月3日,十三層,,持分移轉
RPVNMLPKJHKGFBJ68DA,,154.64,住家用,鋼筋混凝土造,,三層,一層 二層 三層 屋頂突出物,全筆移轉
RPTOMLSKKHKGFBJ98DA,1,67.79,集合住宅,鋼筋混凝土造,112年11月10日,十五層,十一層 陽台,全筆移轉
RPTOMLSKKHKGFBJ98DA,1,60.89,本共有部分之項目有停車空間、防空避難室兼停車空間、管委會空間、梯間、機房、水箱等六項。,鋼筋混凝土造,112年11月10日,十五層,,持分移轉
RPUPMLSKKHKGFDJ76DA,30,61.66,住家用,鋼筋混凝土造,83年11月30日,五層,五層 陽台 花台,全筆移轉
RPUPMLSKKHKGFDJ76DA,30,14.79,共有部分,鋼筋混凝土造,83年11月30日,六層,,持分移轉
RPUPMLSKKHKGFDJ76DA,30,9.62,梯間,鋼筋混凝土造,83年11月30日,五層,,持分移轉
RPRNMLKLKHKGFDJ18DA,32,77.48,住家用,鋼筋混凝土造,81年9月7日,五層,四層 陽台,全筆移轉
RPRNMLKLKHKGFDJ18DA,32,12.00,共有部分,鋼筋混凝土造,81年9月7日,五層,,持分移轉
RPSNMLKLKHKGFCJ18DA,29,68.30,住家用,鋼筋混凝土造,85年5月6日,九層,八層 陽台,全筆移轉
RPSNMLKLKHKGFCJ18DA,29,8.01,共有部分,鋼筋混凝土造,85年5月6日,九層,,持分移轉
RPSNMLKLKHKGFCJ18DA,29,8.36,共有部分,鋼筋混凝土造,85年5月6日,十層,,持分移轉
RPROMLQJKHKGFBJ48DA,27,149.97,住家用,鋼筋混凝土造,86年11月15日,三層,一層 二層 三層 陽台 平台,全筆移轉
RPWNMLLLKHKGFCJ68DA,14,45.10,辦公室,鋼筋混凝土造,99年12月31日,十層,十層 陽台 雨遮,全筆移轉
RPWNMLLLKHKGFCJ68DA,14,39.54,共有部分,鋼筋混凝土造,99年12月31日,十層,,持分移轉
RPWNMLLLKHKGFCJ68DA,14,10.97,共有部分,鋼筋混凝土造,99年12月31日,十層,,持分移轉
RPUNMLTJJHKGFDJ09DA,20,16.85,住家用,鋼筋混凝土造,94年6月10日,六層,五層 陽台 雨遮,全筆移轉
RPUNMLTJJHKGFDJ09DA,20,4.73,防空避難室,鋼筋混凝土造,94年6月10日,六層,,持分移轉
RPUNMLTJJHKGFDJ09DA,20,2.93,梯間．水箱．機械室,鋼筋混凝土造,94年6月10日,六層,,持分移轉
RPUNMLTJJHKGFDJ09DA,20,1.90,走道,鋼筋混凝土造,94年6月10日,六層,,持分移轉
RPUNMLPLKHKGFCJ88DA,,85.00,辦公室,鋼筋混凝土造,113年7月29日,十四層,四層 陽台,全筆移轉
RPUNMLPLKHKGFCJ88DA,,49.99,本共有部分之項目有停車空間、水箱、消防水箱、雨水回收槽、污水處理槽、消防機房、雨污水機房、台電配電室、電信室、發電機房、開放空間、管委會使用空間等１２項,鋼筋混凝土造,113年7月29日,十四層,,持分移轉
RPUNMLPLKHKGFCJ88DA,,18.38,本共有部分之項目有梯間、消防水箱、水箱、昇降機房等４項,鋼筋混凝土造,113年7月29日,十四層,,持分移轉
RPTNMLKLKHKGFBJ18DA,,8.59,共有部分,鋼筋混凝土造,,五層,,持分移轉
RPTNMLKLKHKGFBJ18DA,,28.02,住家用,鋼筋混凝土造,,五層,一層 平台,全筆移轉
RPRNMLTKKHKGFCJ88DA,23,184.60,住家用,鋼筋混凝土造,90年8月1日,四層,一層 二層 三層 四層 陽台 地下一層,全筆移轉
RPRNMLTKKHKGFCJ88DA,23,24.97,共有部分,鋼筋混凝土造,90年8月1日,一層,,持分移轉
RPPNMLNLKHKGFBJ08DA,51,84.63,住家用,加強磚造,63年2月2日,二層,一層 二層,全筆移轉
RPRNMLKLKIJGFBJ97DA,44,112.32,農舍,加強磚造,69年9月12日,二層,一層,全筆移轉
RPPNMLSJJHKGFBJ28DA,20,110.86,住家用,鋼筋混凝土造,93年5月24日,十四層,十四層 陽台 雨遮,全筆移轉
RPPNMLSJJHKGFBJ28DA,20,12.91,共有部分,鋼筋混凝土造,93年5月24日,十四層,,持分移轉
RPPNMLSJJHKGFBJ28DA,20,46.23,共有部分,鋼筋混凝土造,93年5月24日,十四層,,持分移轉
RPVNMLOKKHKGFBJ68DA,9,219.91,住家用,鋼筋混凝土造,104年6月11日,四層,一層 二層 三層 四層 屋頂突出物 雨遮 屋簷,全筆移轉
RPUOMLSKKHKGFBJ09DA,17,27.35,商業用,鋼筋混凝土造,96年12月13日,五層,五層 雨遮,全筆移轉
RPUOMLSKKHKGFBJ09DA,17,11.03,共有部分,鋼筋混凝土造,96年12月13日,五層,,持分移轉
RPQNMLQJJHKGFBJ18DA,8,69.72,住家用,鋼筋混凝土造,105年9月7日,十四層,三層 陽台 雨遮,全筆移轉
RPQNMLQJJHKGFBJ18DA,8,19.39,本共有部分之項目有管理員室、樓梯間、水箱、機械室等四項。,鋼筋混凝土造,105年9月7日,十四層,,持分移轉
RPQNMLQJJHKGFBJ18DA,8,46.04,本共有部分之項目有停車空間、防空避難室兼停車空間等二項。,鋼筋混凝土造,105年9月7日,十四層,,持分移轉
RPQNMLLJJHKGFBJ67DA,4,106.75,住家用,鋼筋混凝土造,110年2月9日,十二層,三層 陽台 雨遮,全筆移轉
RPQNMLLJJHKGFBJ67DA,4,68.97,本共有部分之項目有防空避難室兼停車空間、機房、消防機房、發電機室、梯間、水箱、停車空間、電信室、台電配電室、空調機械室、錶箱室、公共服務空間、垃圾室、頂蓋型開放空間、管理室、車道、排煙室、梯廳等十八項。,鋼筋混凝土造,110年2月9日,十三層,,持分移轉
RPQNMLLJJHKGFBJ67DA,4,26.16,本共有部分之項目有梯間、排煙室、梯廳、機房、水箱等五項。,鋼筋混凝土造,110年2月9日,十二層,,持分移轉
RPVOMLSKKHKGFBJ56DA,2,65.75,集合住宅,鋼筋混凝土造,111年9月30日,二十四層,十八層 陽台,全筆移轉
RPVOMLSKKHKGFBJ56DA,2,64.15,見其他登記事項,鋼筋混凝土造,111年9月30日,二十四層,,持分移轉
RPSNMLSKKHKGFCJ88DA,27,318.76,住家用,鋼筋混凝土造,87年1月26日,五層,一層 二層 三層 四層 五層 見其他登記事項,全筆移轉
RPOSMLNKKHKGFDJ58DA,,114.60,住家用,加強磚造,,二層,一層 二層 陽台,全筆移轉
RPQNMLLLKHKGFBJ97DA,2,77.18,集合住宅,鋼筋混凝土造,111年10月30日,十三層,八層 陽台,全筆移轉
RPQNMLLLKHKGFBJ97DA,2,62.19,本共有部分之項目有發電機室、消防泵浦室、汙水機房、雨水回收機房、機房、蓄水池、停車空間、車道、梯間、防空避難室兼停車空間、台電配電場所、電信室、管委會使用空間、公共服務空間、垃圾儲藏室、水箱等十六項。,鋼筋混凝土造,111年10月30日,十三層,,持分移轉
RPSNMLKLJHKGFBJ97DA,7,93.33,住家用,鋼筋混凝土造,107年4月9日,十二層,一層 陽台 雨遮,全筆移轉
