編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQVMLOKKHKGFDJ56DA,德興段,13.98,都市：其他:住宅區,3,1,持分移轉,02930000
RPQVMLOKKHKGFDJ56DA,德興段,11.68,都市：其他:住宅區,3,1,持分移轉,02940000
RPPOMLOJKHKGFBJ08DA,福德段,40.33,都市：其他:道路用地,1,1,全筆移轉,08030000
RPPOMLOJKHKGFBJ08DA,福德段,11.05,都市：其他:道路用地,1,1,全筆移轉,08590000
RPPOMLOJKHKGFBJ08DA,福德段,17.68,都市：其他:道路用地,1,1,全筆移轉,09490000
RPPOMLOJKHKGFBJ08DA,福德段,179.29,都市：其他:道路用地,10000,7634,持分移轉,09570000
RPRNMLLLKHKGFDJ28DA,綠園段,8.41,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,347,持分移轉,08630023
RPOOMLLLKHKGFDJ08DA,中興段復興小段,21.69,非都市：工業區 ; 非都市編定：丁種建築用地,20,1,持分移轉,02200000
RPWNMLKKKHKGFBJ38DA,南平段,74.95,非都市：山坡地保育區 ; 非都市編定：農牧用地,1483470,74950,持分移轉,02100001
RPVNMLLLKHKGFDJ68DA,德盛段,32.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,06590001
RPPNMLMKKHKGFCJ97DA,倒別牛段燥坑小段,13072.50,非都市：山坡地保育區 ; 非都市編定：林業用地,2,1,持分移轉,00880005
RPVNMLLKKHKGFCJ48DA,上山壹段,33.91,非都市：山坡地保育區 ; 非都市編定：農牧用地,21600,94,持分移轉,03810000
RPPNMLQJKHKGFBJ18DA,和平段,39.57,都市：其他:道路用地,46080,2240,持分移轉,11340000
RPPNMLQJKHKGFBJ18DA,和平段,3.42,都市：其他:道路用地,46080,2240,持分移轉,11530000
RPPNMLQJKHKGFBJ18DA,和平段,220.06,都市：其他:道路用地,300,50,持分移轉,11830000
RPTNMLOKKHKGFBJ48DA,東華段,50.52,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,11650005
RPTNMLOKKHKGFBJ48DA,東華段,24.16,非都市：鄉村區 ; 非都市編定：乙種建築用地,16914,2416,持分移轉,11650018
RPPNMLSKKHKGFBJ48DA,新庄子段,135.00,非都市：特定農業區 ; 非都市編定：農牧用地,2,1,持分移轉,11130000
RPPNMLSKKHKGFBJ48DA,新庄子段,42.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,2,1,持分移轉,11140000
RPUNMLSKKHKGFBJ98DA,隘興段,53.86,都市：其他:住宅區,10000,242,持分移轉,05940000
RPPSMLRKKHKGFDJ09DA,勝利段,38.13,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,10160000
RPWNMLSKKHKGFBJ56DA,莊敬段,22.94,都市：其他:第一種住宅區,100000,950,持分移轉,06370000
RPRNMLSKKHKGFBJ68DA,台科段,37.54,都市：其他:第一種住宅區,600000,4229,持分移轉,02380000
RPUNMLPLKHKGFBJ78DA,家興段,24.09,都市：其他:住宅區,100000,1444,持分移轉,02500000
RPTPMLSKKHKGFDJ66DA,力行段,132.75,都市：其他:住宅區,1,1,全筆移轉,00350000
RPVOMLRJKHKGFDJ56DA,坪頂段,65.41,都市：其他:道路用地,1,1,全筆移轉,04510000
RPQWMLRKKHKGFDJ96DA,長威段,18.21,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,89,持分移轉,00140000
RPPNMLNLJHKGFBJ97DA,南平段,883.19,非都市：山坡地保育區 ; 非都市編定：農牧用地,2507140,883194,持分移轉,02100003
RPUNMLRJKHKGFDJ98DA,永寧段,26.89,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,179,持分移轉,00020000
RPXNMLRJKHKGFDJ66DA,永寧段,19.83,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,132,持分移轉,00020000
RPUNMLRJKHKGFDJ98DA,永寧段,1.76,非都市：特定農業區 ; 非都市編定：甲種建築用地,74,1,持分移轉,00020008
RPXNMLRJKHKGFDJ66DA,永寧段,1.76,非都市：特定農業區 ; 非都市編定：甲種建築用地,74,1,持分移轉,00020008
RPXRMLQKJHKGFDJ96DA,力行段,26.01,都市：其他:住宅區,6,1,持分移轉,09410000
RPTNMLKKKHKGFDJ28DA,長威段,687.37,非都市：特定農業區 ; 非都市編定：交通用地,100000,47968,持分移轉,09300003
RPTNMLKKKHKGFDJ28DA,長威段,2605.22,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,09300005
RPTNMLKKKHKGFDJ28DA,長威段,2682.12,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,09300006
RPTNMLKKKHKGFDJ28DA,長威段,1394.81,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,09300008
RPTNMLKKKHKGFDJ28DA,長威段,82.69,非都市：特定農業區 ; 非都市編定：交通用地,100000,47968,持分移轉,09300014
RPTNMLKKKHKGFDJ28DA,長威段,205.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,09620000
RPVOMLPJKHKGFDJ98DA,長嶺段,2729.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,09320000
RPPNMLKLJHKGFBJ67DA,石光段,289.70,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,07010000
RPPNMLSKJHKGFBJ38DA,豆子埔段,137.62,都市：其他:第二種住宅區,8,3,持分移轉,08910000
RPURMLTKKHKGFBJ86DA,水瀧段,4.88,都市：其他:第二種住宅區,500000,1209,持分移轉,00280000
RPTNMLLLKHKGFDJ48DA,竹九段,94.88,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,00030004
RPPPMLOLKHKGFBJ38DA,溪洲段,29.29,非都市：特定農業區 ; 非都市編定：甲種建築用地,17,1,持分移轉,04640012
RPPPMLOLKHKGFBJ38DA,溪洲段,63.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,04640020
RPSNMLKLKHKGFDJ28DA,福興段十一股小段,1965.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,09760000
RPPNMLSKKHKGFBJ58EA,南平段,197.33,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,07280000
RPQNMLRKKHKGFBJ58EA,三崁店段水坑口小段,86.00,非都市：特定農業區 ; 非都市編定：水利用地,1,1,全筆移轉,01680000
RPSPMLSKKHKGFDJ56DA,竹九段,104.96,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,18660003
RPRPMLSKKHKGFDJ09DA,竹九段,20.09,非都市：鄉村區 ; 非都市編定：乙種建築用地,18,2,持分移轉,18660004
RPRPMLSKKHKGFDJ09DA,竹九段,90.17,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,18660023
RPRPMLSKKHKGFDJ09DA,竹九段,113.26,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,18660026
RPSNMLLLKHKGFBJ18DA,竹仁段,92.30,都市：其他:第二種住宅區,1594,732,持分移轉,05080000
RPPNMLKLKHKGFBJ87EA,公園段,19.37,都市：其他:第二種商業區,10000,28,持分移轉,04700000
RPUNMLQKJHKGFBJ68DA,站後段,1.40,都市：其他:第二種住宅區,10000,28,持分移轉,10890000
RPUNMLQKJHKGFBJ68DA,站後段,1.84,都市：其他:第二種住宅區,10000,28,持分移轉,10900000
RPVNMLPKJHKGFBJ68DA,正義段,91.79,都市：其他:住宅區,1,1,全筆移轉,03280000
RPSNMLKKKHKGFBJ97DA,縣華段,125.02,都市：其他:第二種住宅區,1000,313,持分移轉,08010000
RPPNMLPKKHKGFBJ18DA,舊港段漁寮小段,132.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,05620007
RPTOMLSKKHKGFBJ98DA,站前段,12.79,都市：其他:第三種商業區,10000,57,持分移轉,05170000
RPTNMLRKKHKGFBJ78DA,新城段,117.50,非都市：山坡地保育區 ; 非都市編定：農牧用地,12,6,持分移轉,03470009
RPTNMLRKKHKGFBJ78DA,新城段,301.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,12,6,持分移轉,03470010
RPPNMLLKKHKGFCJ97EA,柯子湖段,16.50,非都市：山坡地保育區 ; 非都市編定：林業用地,288,7,持分移轉,01650003
RPPNMLTKKHKGFDJ88EA,錦安段,193.28,都市：其他:兒童遊樂場用地,1,1,全筆移轉,02660000
RPSNMLKKKHKGFDJ18DA,崁頭段,1926.80,非都市：特定農業區 ; 非都市編定：農牧用地,19930,19268,持分移轉,07820000
RPUPMLSKKHKGFDJ76DA,綠園段,24.33,非都市：一般農業區 ; 非都市編定：甲種建築用地,10000,145,持分移轉,14360000
RPRNMLKLKHKGFDJ18DA,建興段鳳凰小段,31.40,非都市：工業區 ; 非都市編定：丁種建築用地,20,1,持分移轉,01280000
RPQNMLLLJHKGFCJ97DA,旭光段,2.97,都市：其他:兒童遊樂場,10,1,持分移轉,05310000
RPXNMLRKKHKGFCJ66DA,頭重埔段,99.18,都市：其他:公園用地,833400,9918,持分移轉,02590020
RPSNMLKLKHKGFCJ18DA,資源段,3.95,都市：其他:住宅區,10000,19,持分移轉,19400000
RPSNMLKLKHKGFCJ18DA,資源段,7.95,都市：其他:商業區,10000,19,持分移轉,19410000
RPROMLQJKHKGFBJ48DA,溝貝段,.50,非都市：特定農業區 ; 非都市編定：甲種建築用地,8,1,持分移轉,05440004
RPROMLQJKHKGFBJ48DA,溝貝段,83.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,05440011
RPROMLQJKHKGFBJ48DA,溝貝段,20.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,8,1,持分移轉,05440012
RPQNMLOLKIJGFDJ48DA,成功段,211.89,非都市：特定農業區 ; 非都市編定：丁種建築用地,2,1,持分移轉,08510019
RPQNMLOLKIJGFDJ48DA,成功段,352.32,非都市：特定農業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,08510030
RPWNMLLLKHKGFCJ68DA,北興段,16.36,都市：其他:住宅區,100000,433,持分移轉,00150000
RPUNMLTJJHKGFDJ09DA,綠園段,7.65,非都市：特定農業區 ; 非都市編定：甲種建築用地,72,1,持分移轉,06990000
RPQNMLOLKHKGFDJ48DA,八德段,2506.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,04840002
RPQNMLOLKHKGFDJ48DA,八德段,2506.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,04840003
RPQNMLOLKHKGFDJ48DA,八德段,291.03,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,04840004
RPUNMLPLKHKGFCJ88DA,旭光段,23.64,都市：其他:科技商務服務專用區,100000,98,持分移轉,00750000
RPRRMLTKKHKGFBJ56DA,馬武督段六畜小段,640.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,5,1,持分移轉,00320005
RPTNMLKLKHKGFBJ18DA,竹義段,11.05,都市：其他:第二種住宅區,45,1,持分移轉,07950000
RPRNMLTKKHKGFCJ88DA,竹東段竹東小段,6.25,都市：其他:住宅區,100000,1055,持分移轉,00830027
RPRNMLTKKHKGFCJ88DA,竹東段竹東小段,64.94,都市：其他:住宅區,100000,1015,持分移轉,00830029
RPUNMLTKKHKGFCJ56DA,二重埔段,46.00,都市：其他:保護區,1,1,全筆移轉,02740012
RPUNMLTKKHKGFCJ56DA,二重埔段,109.00,都市：其他:保護區,1,1,全筆移轉,02740030
RPPNMLNLKHKGFBJ08DA,文化段,65.23,都市：其他:第二種住宅區,1,1,全筆移轉,06940000
RPSNMLOLKHKGFDJ68DA,中美段,750.01,都市：其他:農業區,1,1,全筆移轉,15490002
RPRPMLOLKHKGFBJ58DA,照鏡段,1030.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,03090001
RPSPMLOLKHKGFBJ68DA,上旱坑段,5.25,非都市：山坡地保育區 ; 非都市編定：農牧用地,50150,2547,持分移轉,00900000
RPSPMLOLKHKGFBJ68DA,上旱坑段,109.39,非都市：山坡地保育區 ; 非都市編定：農牧用地,43240,2547,持分移轉,01020000
RPSPMLOLKHKGFBJ68DA,上旱坑段,7.76,非都市：山坡地保育區 ; 非都市編定：農牧用地,50150,2547,持分移轉,01080000
RPSPMLOLKHKGFBJ68DA,上旱坑段,222.58,非都市：山坡地保育區 ; 非都市編定：農牧用地,34901,2547,持分移轉,01110000
RPSPMLOLKHKGFBJ68DA,上旱坑段,2547.46,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,01150000
RPRNMLKLKIJGFBJ97DA,內立段,114.88,非都市：山坡地保育區 ; 非都市編定：水利用地,32,2,持分移轉,00110000
RPRNMLKLKIJGFBJ97DA,內立段,140.06,非都市：山坡地保育區 ; 非都市編定：水利用地,32,2,持分移轉,00120000
RPRNMLKLKIJGFBJ97DA,內立段,82.69,非都市：特定農業區 ; 非都市編定：農牧用地,32,6,持分移轉,00200000
