鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
新豐鄉,房地(土地+建物)+車位,新竹縣新豐鄉新市路,25.77,商,,,1140122,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,155.72,3,2,2,有,無,14460000,105896,坡道平面,33.43,1510000,,RPPNMLMJKHKGFDJ97CB,森祐傳承,A棟0號,
竹北市,房地(土地+建物)+車位,新竹縣竹北市福興路,34.03,住,,,1140123,土地6建物1車位2,二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,249.89,4,2,2,有,無,32820000,181385,坡道平面,98.72,5400000,,RPPNMLNJKHKGFBJ87CB,臻研?研,B棟2F號,
竹北市,房地(土地+建物)+車位,新竹縣竹北市中華路1226號,31.68,,特定農業區,甲種建築用地,1140123,土地1建物1車位1,四層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,162.26,3,2,2,有,無,18800000,144199,坡道平面,42.98,1600000,,RPOOMLNJKHKGFBJ87CB,知心畫,C棟4F號,
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉嘉興路一段,18.97,,特定農業區,甲種建築用地,1140125,土地3建物1車位0,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,64.79,2,1,1,有,無,6750000,104183,,0.0,0,,RPPNMLNJKHKGFDJ08CB,耀時代,10C號,
寶山鄉,房地(土地+建物)+車位,新竹縣寶山鄉環城西路,69.31,,山坡地保育區,丙種建築用地,1140124,土地6建物1車位2,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,227.17,5,4,4,有,無,36720000,169705,坡道平面,30.24,3300000,不計價聯合社區土地總面積22523.59㎡，買家持分為十萬分之25.00。,RPSNMLQJKHKGFCJ58CB,宏道新竹帝寶7區2號,F1棟7F號,
竹北市,房地(土地+建物)+車位,新竹縣竹北市長園一街83號,28.1,,特定農業區,甲種建築用地,1140126,土地1建物1車位1,六層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,133.08,3,2,2,有,無,16700000,139749,一樓平面,26.46,1800000,,RPQNMLRJKHKGFBJ38CB,青溪賦,A棟6號,
竹北市,房地(土地+建物),新竹縣竹北市長園一街83號,24.75,,特定農業區,甲種建築用地,1140124,土地1建物1車位0,六層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,93.6,2,2,2,有,無,13300000,142094,,0.0,0,,RPRNMLRJKHKGFBJ48CB,青溪賦,D棟6號,
竹北市,房地(土地+建物),新竹縣竹北市長園一街83號,30.71,,特定農業區,甲種建築用地,1140125,土地1建物1車位0,八層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,117.67,3,2,2,有,無,17700000,150421,,0.0,0,,RPSNMLRJKHKGFBJ58CB,青溪賦,F棟8號,
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉八德路二段160號旁,27.86,住,,,1140121,土地1建物1車位1,九層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,150.31,3,2,2,有,無,14300000,103502,坡道平面,28.09,1650000,,RPQNMLRJKHKGFDJ58CB,佳群城真,B1-09F號,
