編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLRJKHKGFDJ58CB,三元段,27.86,都市：住,100000,1142,持分移轉,11290000
RPPNMLMJKHKGFDJ97CB,永寧段,25.77,都市：商,10000,260,持分移轉,06610000
RPPNMLNJKHKGFDJ08CB,綠園段,2.57,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,415,持分移轉,02790000
RPPNMLNJKHKGFDJ08CB,綠園段,2.03,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,415,持分移轉,02790094
RPPNMLNJKHKGFDJ08CB,綠園段,14.36,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,415,持分移轉,02790020
RPPNMLNJKHKGFBJ87CB,府前段,2.06,都市：住,100000,2048,持分移轉,00470003
RPPNMLNJKHKGFBJ87CB,府前段,20.82,都市：住,100000,2048,持分移轉,00520000
RPPNMLNJKHKGFBJ87CB,府前段,2.93,都市：住,100000,2048,持分移轉,00500003
RPPNMLNJKHKGFBJ87CB,府前段,2.90,都市：住,100000,2048,持分移轉,00500004
RPPNMLNJKHKGFBJ87CB,府前段,2.88,都市：住,100000,2048,持分移轉,00500005
RPPNMLNJKHKGFBJ87CB,府前段,2.43,都市：住,100000,2048,持分移轉,00500006
RPOOMLNJKHKGFBJ87CB,華城段,31.68,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,2500,持分移轉,01950000
RPSNMLRJKHKGFBJ58CB,溪洲段,30.71,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,165,持分移轉,09450000
RPSNMLLKKHKGFBJ08CB,翰林段,18.90,都市：住,100000,1711,持分移轉,04950000
RPQNMLRJKHKGFBJ38CB,溪洲段,28.10,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,151,持分移轉,09450000
RPRNMLRJKHKGFBJ48CB,溪洲段,24.75,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,133,持分移轉,09450000
RPPNMLSKKHKGFBJ48CB,福田段,37.39,都市：住,500000,6632,持分移轉,03860000
RPRNMLNKKHKGFDJ38CB,綠園段,22.61,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,476,持分移轉,13970000
RPRNMLNKKHKGFDJ38CB,綠園段,5.95,非都市：一般農業區 ; 非都市編定：農牧用地,172,1,持分移轉,13920000
RPRNMLNKKHKGFDJ38CB,綠園段,4.09,非都市：一般農業區 ; 非都市編定：農牧用地,172,1,持分移轉,13930000
RPRNMLSKKHKGFBJ68CB,福田段,36.70,都市：住,500000,6509,持分移轉,03860000
RPQNMLNKKHKGFDJ28CB,綠園段,35.91,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,756,持分移轉,13970000
RPQNMLNKKHKGFDJ28CB,綠園段,5.95,非都市：一般農業區 ; 非都市編定：農牧用地,172,1,持分移轉,13920000
RPQNMLNKKHKGFDJ28CB,綠園段,4.09,非都市：一般農業區 ; 非都市編定：農牧用地,172,1,持分移轉,13930000
RPSNMLSKKHKGFBJ78CB,福田段,36.70,都市：住,500000,6509,持分移轉,03860000
RPTNMLSKKHKGFBJ88CB,福田段,36.70,都市：住,500000,6509,持分移轉,03860000
RPQNMLSKKHKGFBJ58CB,福田段,36.70,都市：住,500000,6509,持分移轉,03860000
RPQNMLSKKHKGFCJ68CB,寶香段,11.39,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1000000,2116,持分移轉,04090005
RPQNMLSKKHKGFCJ68CB,寶香段,2.07,非都市：山坡地保育區 ; 非都市編定：交通用地,1000000,2116,持分移轉,04090022
RPQNMLSKKHKGFCJ68CB,寶香段,4.09,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1000000,2116,持分移轉,04250000
RPQNMLSKKHKGFCJ68CB,寶香段,.45,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1000000,2116,持分移轉,04260000
RPQNMLSKKHKGFCJ68CB,寶香段,.50,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1000000,2116,持分移轉,04270001
RPQNMLSKKHKGFCJ68CB,寶香段,.03,非都市：山坡地保育區 ; 非都市編定：交通用地,1000000,2116,持分移轉,04320014
RPSNMLQJKHKGFCJ58CB,寶香段,14.56,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1000000,6740,持分移轉,03510019
RPSNMLQJKHKGFCJ58CB,寶香段,10.24,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1000000,6740,持分移轉,04020000
RPSNMLQJKHKGFCJ58CB,寶香段,1.42,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1000000,6740,持分移轉,04070000
RPSNMLQJKHKGFCJ58CB,寶香段,.70,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1000000,6740,持分移轉,04080000
RPSNMLQJKHKGFCJ58CB,寶香段,42.25,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1000000,6740,持分移轉,04090002
RPSNMLQJKHKGFCJ58CB,寶香段,.14,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1000000,6740,持分移轉,04110003
RPSNMLSKKHKGFCJ88CB,寶香段,14.76,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1000000,4006,持分移轉,03510006
RPSNMLSKKHKGFCJ88CB,寶香段,.14,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1000000,4006,持分移轉,03990002
RPSNMLSKKHKGFCJ88CB,寶香段,.18,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1000000,4006,持分移轉,04000000
RPSNMLSKKHKGFCJ88CB,寶香段,4.33,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1000000,4006,持分移轉,04010000
RPSNMLSKKHKGFCJ88CB,寶香段,3.85,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1000000,4006,持分移轉,04020001
RPSNMLSKKHKGFCJ88CB,寶香段,3.09,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1000000,4006,持分移轉,04030000
RPSNMLSKKHKGFCJ88CB,寶香段,.24,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1000000,4006,持分移轉,04040000
RPSNMLSKKHKGFCJ88CB,寶香段,.30,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1000000,4006,持分移轉,04050000
RPSNMLSKKHKGFCJ88CB,寶香段,1.06,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1000000,4006,持分移轉,04060000
RPSNMLSKKHKGFCJ88CB,寶香段,.54,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1000000,4006,持分移轉,04070001
RPSNMLSKKHKGFCJ88CB,寶香段,11.36,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1000000,4006,持分移轉,04090011
RPSNMLSKKHKGFCJ88CB,寶香段,1.31,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1000000,4006,持分移轉,04110000
RPSNMLSKKHKGFCJ88CB,寶香段,.31,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1000000,4006,持分移轉,04120002
