鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
竹北市,租賃房屋+車位,新竹縣竹北市文興路一段３８０號,130.6,商,,,1140122,土地1建物1車位2,一層,1,店面(店鋪),商業用,鋼筋混凝土造,0980921,130.6,1,1,1,有,有,無,52600,403,坡道平面,0.0,0,,RPPNMLOLJHKGFBJ18CC,,有,1140201~1170131,無,,
竹北市,租賃房屋+車位,新竹縣竹北市台元二街１０號３樓之１,0.0,,,,1140121,土地0建物1車位11,三層,18,廠辦,工廠,鋼筋混凝土造,1120713,877.77,0,0,0,無,有,無,309396,352,坡道平面,0.0,35900,租金總額含稅；,RPQNMLOLJHKGFBJ28CC,,有,1140301~1170229,有,,
竹北市,租賃房屋+車位,新竹縣竹北市台元二街１０號６樓之５,0.0,,,,1140121,土地0建物1車位5,六層,18,廠辦,工廠,鋼筋混凝土造,1120713,307.1,0,0,0,無,有,無,114300,372,坡道平面,0.0,16300,租金總額含稅；,RPSNMLOLJHKGFBJ48CC,,有,1140401~1170331,有,,
竹北市,租賃房屋,新竹縣竹北市莊敬三路６６號１２樓,0.0,,,,1140121,土地0建物1車位0,十二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930705,103.46000000000001,3,1,2,有,有,有,18000,174,,0.0,0,,RPOOMLOLJHKGFBJ18CC,整棟(戶)出租,有,1140215~1150214,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
竹東鎮,租賃房屋,新竹縣竹東鎮世界街７１巷３９號８樓,0.0,,,,1140121,土地0建物1車位0,八層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860616,97.87,4,1,2,有,有,有,11500,118,,0.0,0,,RPPNMLOLJHKGFCJ28CC,整棟(戶)出租,有,1140205~1150204,有,冷氣、熱水器、洗衣機、瓦斯或天然氣,社會住宅包租轉租
湖口鄉,租賃房屋,新竹縣湖口鄉吳厝路３０號４樓之１,0.0,,,,1140121,土地0建物1車位0,四層,5,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1071204,71.13,2,2,1,有,有,有,16800,236,,0.0,0,租金總額含管理費；,RPPNMLOLJHKGFDJ38CC,整棟(戶)出租,有,1140125~1150124,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
新豐鄉,租賃房屋,新竹縣新豐鄉新興路３５巷４之４號北室,0.0,,,,1140121,土地0建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,36.06,1,0,1,有,有,有,7800,216,,0.0,0,租金總額含管理費；,RPQNMLOLJHKGFDJ48CC,獨立套房,有,1140125~1150124,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,社會住宅包租轉租
竹北市,租賃房屋,新竹縣竹北市光明六路１２１號３樓,0.0,,,,1140124,土地0建物0車位0,三層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0950830,17.3,3,0,3,有,無,無,7700,445,,0.0,0,租賃建物部分範圍，且未計入共有部分面積；,RPPNMLTLJHKGFBJ68CC,分租套房,無,1140201~1150131,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
竹北市,租賃房屋,新竹縣竹北市勝利八街一段２２９號２７樓之６,0.0,,,,1140128,土地0建物1車位0,二十七層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050608,143.96,3,2,2,有,有,無,42000,292,,0.0,0,租金總額含管理費；續租案件；,RPPNMLNJKHKGFBJ97CC,整棟(戶)出租,無,1140128~1150127,有,熱水器,一般轉租
