編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLOLJHKGFDJ48CC,,28.60,住家用,鋼筋混凝土造,,五層,,
RPQNMLOLJHKGFDJ48CC,,7.46,電梯．樓梯．走道,鋼筋混凝土造,,五層,,
RPPNMLOJKHKGFDJ28CC,27,3305.79,廠房、倉庫、水池、空調室,鋼骨鋼筋混凝土造,87年7月6日,五層,,
RPPNMLOLJHKGFDJ38CC,6,58.21,集合住宅,鋼筋混凝土造,107年12月4日,五層,,
RPPNMLOLJHKGFDJ38CC,6,12.92,本共有部分之項目有停車空間、梯間、管委會等３項,鋼筋混凝土造,107年12月4日,五層,,
RPSNMLPJKHKGFDJ68CC,1,72.43,集合住宅,鋼筋混凝土造,113年5月14日,十五層,,
RPSNMLPJKHKGFDJ68CC,1,35.10,本共有部分之項目有停車空間、機械室、管委會、樓梯間等４項,鋼筋混凝土造,113年5月14日,十五層,,
RPPNMLOLJHKGFCJ28CC,28,71.59,住家用,鋼筋混凝土造,86年6月16日,八層,,
RPPNMLOLJHKGFCJ28CC,28,15.86,共有部分,鋼筋混凝土造,85年12月31日,四層,,
RPPNMLQJKHKGFCJ38CC,32,119.29,住家用,鋼筋混凝土造,82年5月20日,七層,,
RPPNMLOLJHKGFCJ28CC,28,9.58,共有部分,鋼筋混凝土造,86年6月16日,八層,,
RPPNMLQJKHKGFCJ38CC,32,23.06,共有部分,鋼筋混凝土造,82年5月20日,九層,,
RPPNMLOLJHKGFCJ28CC,28,.84,共有部分,鋼筋混凝土造,86年6月16日,八層,,
RPPNMLQJKHKGFCJ38CC,32,17.11,共有部分,鋼筋混凝土造,82年5月20日,七層,,
RPQNMLQJKHKGFDJ58CC,,28.60,住家用,鋼筋混凝土造,,五層,,
RPQNMLQJKHKGFDJ58CC,,7.46,電梯．樓梯．走道,鋼筋混凝土造,,五層,,
RPPNMLQJKHKGFDJ48CC,33,24.16,住家用,鋼筋混凝土造,81年1月18日,五層,,
RPPNMLQJKHKGFDJ48CC,33,7.43,共有部分,鋼筋混凝土造,81年1月18日,五層,,
RPPNMLKKKHKGFDJ97CC,3,21.54,集合住宅,鋼筋混凝土造,110年7月30日,七層,,
RPPNMLOLJHKGFBJ18CC,15,130.60,商業用,鋼筋混凝土造,98年9月21日,十層,,
RPQNMLSKKHKGFBJ68CC,32,106.67,住家用,鋼筋混凝土造,82年2月12日,九層,,
RPQNMLSKKHKGFBJ68CC,32,33.43,共有部分,鋼筋混凝土造,82年2月12日,九層,,
RPPNMLPJKHKGFBJ18CC,18,211.78,工業用,鋼筋混凝土造,96年6月7日,八層,,
RPSNMLOLJHKGFBJ48CC,2,307.10,工廠,鋼筋混凝土造,112年7月13日,十八層,,
RPPNMLTLJHKGFBJ68CC,18,17.30,住家用,鋼筋混凝土造,95年8月30日,四層,,
RPQNMLOLJHKGFBJ28CC,2,877.77,工廠,鋼筋混凝土造,112年7月13日,十八層,,
RPPNMLNJKHKGFBJ97CC,9,77.28,住家用,鋼筋混凝土造,105年6月8日,二十七層,,
RPPNMLNJKHKGFBJ97CC,9,23.89,本共有部分之項目有管委會使用空間、樓梯間、機械室、水箱等四項,鋼筋混凝土造,105年6月8日,二十七層,,
RPPNMLNJKHKGFBJ97CC,9,42.79,本共有部分之項目有防空避難室兼停車空間、停車空間等二項,鋼筋混凝土造,105年6月8日,二十七層,,
RPPNMLMKKHKGFBJ97CC,20,23.14,商業用,鋼筋混凝土造,94年1月4日,五層,,
RPOOMLOLJHKGFBJ18CC,21,77.95,住家用,鋼筋混凝土造,93年7月5日,十三層,,
RPOOMLOLJHKGFBJ18CC,21,12.60,共有部分,鋼筋混凝土造,93年7月5日,十三層,,
RPOOMLOLJHKGFBJ18CC,21,12.91,共有部分,鋼筋混凝土造,93年7月5日,十三層,,
RPQNMLPJKHKGFBJ28CC,18,375.88,工業用,鋼筋混凝土造,96年6月7日,八層,,
RPTNMLKLKHKGFBJ28CC,10,23.10,工業用,鋼筋混凝土造,103年11月20日,四層,,
RPUNMLKLKHKGFBJ38CC,10,23.10,工業用,鋼筋混凝土造,103年11月20日,四層,,
RPRNMLKLKHKGFBJ08CC,10,23.10,工業用,鋼筋混凝土造,103年11月20日,四層,,
RPSNMLTKKHKGFBJ98CC,8,71.94,住家用,鋼筋混凝土造,106年6月15日,十四層,,
RPSNMLTKKHKGFBJ98CC,8,52.84,本共有部分之項目有停車空間、防空避難室兼停車空間、公共服務空間等三項,鋼筋混凝土造,106年6月15日,十四層,,
RPSNMLTKKHKGFBJ98CC,8,17.08,本共有部分之項目有梯間、機房、水箱等三項,鋼筋混凝土造,106年6月15日,十四層,,
RPPNMLTKKHKGFDJ88CC,21,34.23,住家用,鋼筋混凝土造,93年7月5日,七層,,
RPSNMLKLKHKGFBJ18CC,10,23.10,工業用,鋼筋混凝土造,103年11月20日,四層,,
RPPNMLTKKHKGFDJ88CC,21,5.85,停車空間,鋼筋混凝土造,93年7月5日,八層,,
RPPNMLTKKHKGFDJ88CC,21,5.56,梯間、走道,鋼筋混凝土造,93年7月5日,七層,,
