編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLOJKHKGFDJ28CC,一樓平面,0,,一樓
RPPNMLOJKHKGFDJ28CC,一樓平面,0,,一樓
RPPNMLOJKHKGFDJ28CC,一樓平面,0,,一樓
RPPNMLOJKHKGFDJ28CC,一樓平面,0,,一樓
RPPNMLOJKHKGFDJ28CC,一樓平面,0,,一樓
RPPNMLOLJHKGFBJ18CC,坡道平面,0,,地下三樓
RPPNMLOLJHKGFBJ18CC,坡道平面,0,,地下三樓
RPSNMLOLJHKGFBJ48CC,坡道平面,0,,地下一樓
RPSNMLOLJHKGFBJ48CC,坡道平面,0,,地下一樓
RPSNMLOLJHKGFBJ48CC,坡道平面,0,,地下二樓
RPSNMLOLJHKGFBJ48CC,坡道平面,0,,地下三樓
RPSNMLOLJHKGFBJ48CC,坡道平面,0,,地下三樓
RPQNMLOLJHKGFBJ28CC,坡道平面,0,,地下一樓
RPQNMLOLJHKGFBJ28CC,坡道平面,0,,地下一樓
RPQNMLOLJHKGFBJ28CC,坡道平面,0,,地下二樓
RPQNMLOLJHKGFBJ28CC,坡道平面,0,,地下二樓
RPQNMLOLJHKGFBJ28CC,坡道平面,0,,地下二樓
RPQNMLOLJHKGFBJ28CC,坡道平面,0,,地下二樓
RPQNMLOLJHKGFBJ28CC,坡道平面,0,,地下二樓
RPQNMLOLJHKGFBJ28CC,坡道平面,0,,地下三樓
RPQNMLOLJHKGFBJ28CC,坡道平面,0,,地下三樓
RPQNMLOLJHKGFBJ28CC,坡道平面,0,,地下三樓
RPQNMLOLJHKGFBJ28CC,坡道平面,0,,地下三樓
RPSNMLTKKHKGFBJ98CC,坡道平面,0,,地下三樓
RPRNMLTKKHKGFBJ88CC,坡道平面,0,32.72,地下三樓
RPQNMLTKKHKGFBJ78CC,坡道平面,0,,地下一樓
