鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
苗栗市,房地(土地+建物),苗栗縣苗栗市恭敬里８鄰中正路１０９０號九樓之三十,3.96,,,,1140205,土地3建物1車位0,九層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0960716,31.03,1,1,1,有,有,1400000,45118,,0.0,0,,RPPOMLOKKHKGFBK28DA,16.75,0.0,3.47,有,
通霄鎮,房地(土地+建物)+車位,苗栗縣通霄鎮通西里２９鄰中山路３４巷１１號,16.74,住,,,1140207,土地1建物1車位1,二層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830622,113.36000000000001,3,2,2,有,有,4100000,36168,坡道機械,0.0,0,,RPRNMLKLKHKGFCK18DA,63.75,2.9,10.86,有,
頭份市,土地,信義段904地號,10.69,住,,,1140211,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,900000,84191,,0.0,0,,RPPNMLNKKHKGFFK48DA,0.0,0.0,0.0,無,001
後龍鎮,土地,光華段40地號,233.96,商,,,1140205,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,16600000,70952,,0.0,0,,RPPNMLTKKHKGFDK98EA,0.0,0.0,0.0,無,002
泰安鄉,土地,梅園段114地號,11266.0,,山坡地保育區,林業用地,1140211,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,754800,67,,0.0,0,,RPPNMLLLKHKGFAK97EA,0.0,0.0,0.0,無,
泰安鄉,土地,梅園段185地號,9900.0,,山坡地保育區,林業用地,1140207,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,600000,61,,0.0,0,,RPQNMLLKKHKGFAK87DA,0.0,0.0,0.0,無,
泰安鄉,土地,梅園段355地號,1232.0,,山坡地保育區,農牧用地,1140214,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,50000,41,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLOLKHKGFAK18DA,0.0,0.0,0.0,無,
苗栗市,房地(土地+建物),苗栗縣苗栗市玉華里２１鄰玉維路４５號,2.54,,鄉村區,乙種建築用地,1140208,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),商業用,ＲＣ造，鋼鐵造有牆,1000614,10.58,0,0,0,無,無,1250000,118147,,0.0,0,,RPQNMLRJKHKGFBK48DA,9.41,0.0,0.0,無,003
後龍鎮,土地,灣瓦段1031地號,824.13,,特定農業區,農牧用地,1140208,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1300000,1577,,0.0,0,,RPPNMLTJKHKGFDK78DA,0.0,0.0,0.0,無,
竹南鎮,房地(土地+建物),苗栗縣竹南鎮中華里２鄰新生路１８５號,95.69,住,,,1140213,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0681006,119.12,3,2,3,有,無,8000000,67159,,0.0,0,含增建部分親友、員工、共有人或其他特殊關係間之交易；,RPPNMLLLKHKGFDK18DA,119.12,0.0,0.0,無,004
