編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPOMLOKKHKGFBK28DA,18,10.81,共有部分,鋼筋混凝土造,96年7月16日,十層,,持分移轉
RPPOMLOKKHKGFBK28DA,18,20.22,住家用,鋼筋混凝土造,96年7月16日,十層,九層 陽台,全筆移轉
RPPNMLKLKHKGFFK28DA,57,83.72,住家用,鋼筋混凝土造,57年1月10日,一層,一層,全筆移轉
RPPNMLLLKHKGFDK18DA,45,119.12,住家用,加強磚造,68年10月6日,二層,一層 二層 騎樓,全筆移轉
RPRNMLKLKHKGFCK18DA,31,77.51,住家用,鋼筋混凝土造,83年6月22日,八層,二層 陽台 花台,全筆移轉
RPRNMLKLKHKGFCK18DA,31,35.85,防空避難室，停車空間，樓電梯,鋼筋混凝土造,83年6月22日,八層,,持分移轉
RPPNMLRKKHKGFFK88DA,9,90.43,集合住宅,鋼筋混凝土造,104年11月24日,十二層,十二層 陽台,全筆移轉
RPPNMLRKKHKGFFK88DA,9,16.24,樓梯間,鋼筋混凝土造,104年11月24日,十二層,,持分移轉
RPPNMLRKKHKGFFK88DA,9,48.18,停車空間,鋼筋混凝土造,104年11月24日,十二層,,持分移轉
RPPNMLRKKHKGFFK88DA,9,6.64,集合住宅附屬管委會使用空間,鋼筋混凝土造,104年11月24日,十二層,,持分移轉
RPXNMLOKKHKGFBK98DA,,139.16,住家用,鋼筋混凝土造,,二層,一層 二層 陽台,全筆移轉
RPUNMLPKKHKGFBK78DA,,121.59,住家用,加強磚造,,二層,一層 二層 平台 屋頂突出物,全筆移轉
RPQNMLOJKHKGFFK58DA,17,17.37,住商用,ＲＣ造,96年8月3日,五層,二層 陽台,全筆移轉
RPQNMLOJKHKGFFK58DA,17,7.93,住商用,ＲＣ造,96年8月3日,五層,,持分移轉
RPQNMLRJKHKGFBK48DA,14,9.41,商業用,ＲＣ造，鋼鐵造有牆,100年6月14日,五層,一層,全筆移轉
RPQNMLRJKHKGFBK48DA,14,1.17,共有部分,ＲＣ造，鋼鐵造有牆,100年6月14日,五層,,持分移轉
RPQNMLTKKHKGFBK78DA,22,206.89,住商用,鋼筋混凝土造,91年10月30日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPRNMLMLJHKGFBK18DA,35,177.23,住家用,鋼筋混凝土造,78年9月7日,四層,二層 陽台,全筆移轉
RPRNMLTKKHKGFBK88DA,17,12.39,共有部分,鋼筋混凝土造,96年7月16日,十層,,持分移轉
RPRNMLTKKHKGFBK88DA,17,24.94,住家用,鋼筋混凝土造,96年7月16日,十層,三層 陽台,全筆移轉
