編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPOMLOKKHKGFBK28DA,聯合段,.97,,100000,173,持分移轉,00750000
RPPOMLOKKHKGFBK28DA,聯合段,1.93,,100000,173,持分移轉,00760000
RPPOMLOKKHKGFBK28DA,聯合段,1.06,,100000,173,持分移轉,00770000
RPPNMLKLKHKGFFK28DA,正興段,114.34,都市：其他:農業區,1,1,全筆移轉,18960000
RPPNMLTJKHKGFDK78DA,灣瓦段,824.13,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,10310000
RPPNMLLLKHKGFDK18DA,新生段,95.69,都市：其他:住宅區,1,1,全筆移轉,02050000
RPQNMLLKKHKGFAK87DA,梅園段,9900.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,01850000
RPPNMLTKKHKGFDK98EA,光華段,233.96,都市：其他:商業區,1,1,全筆移轉,00400000
RPRNMLKLKHKGFCK18DA,通西段,16.74,都市：其他:住宅區,10000,130,持分移轉,12120000
RPPNMLRKKHKGFFK88DA,湳湖段,27.30,都市：其他:商業區,10000,93,持分移轉,12310000
RPPNMLOLKHKGFAK18DA,梅園段,1232.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,03550000
RPVNMLOKKHKGFFK56DA,中興段,120.88,都市：其他:住宅區,1,1,全筆移轉,00050000
RPPNMLNKKHKGFFK48DA,信義段,.67,都市：其他:道路用地,1,1,全筆移轉,09030001
RPPNMLNKKHKGFFK48DA,信義段,10.01,都市：其他:住宅區,1,1,全筆移轉,09040000
RPPNMLNKKHKGFFK48DA,信義段,.01,都市：其他:道路用地,1,1,全筆移轉,09310008
RPXNMLOKKHKGFBK98DA,新福麗段,84.82,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,11090000
RPUNMLPKKHKGFBK78DA,尖山段,65.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,04540010
RPPNMLLLKHKGFAK97EA,梅園段,8496.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,01140000
RPPNMLLLKHKGFAK97EA,梅園段,2770.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,01140001
RPQNMLKLKHKGFCK08DA,火炎山段,1608.13,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06940000
RPQNMLOJKHKGFFK58DA,蟠桃段忠孝小段,3.09,都市：其他:住宅區,10000,232,持分移轉,02650000
RPQNMLOJKHKGFFK58DA,蟠桃段忠孝小段,5.64,都市：其他:住宅區,10000,232,持分移轉,02650001
RPRNMLNKKHKGFDK48DA,龍南段,43.50,都市：其他:住宅區,4,2,持分移轉,04070000
SPRNMLNKKHKGFDK58DA,龍南段,51.00,都市：其他:住宅區,4,2,持分移轉,04080000
RPQNMLRJKHKGFBK48DA,芒埔段,2.54,非都市：鄉村區 ; 非都市編定：乙種建築用地,600,6,持分移轉,06700007
RPQNMLPJKHKGFAK18DA,卓蘭段,3105.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,37740000
RPQNMLPJKHKGFAK18DA,卓蘭段,1218.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,37740001
RPQNMLTKKHKGFBK78DA,大倫段,77.53,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,02410041
RPQNMLTKKHKGFDK98DA,大桃坪段,92.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,05110000
RPQNMLTKKHKGFDK98DA,大桃坪段,466.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,09230000
RPQNMLTKKHKGFDK98DA,大桃坪段,39.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,09240000
RPUNMLRKKHKGFDK56DA,外埔段,1240.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,21360000
RPUNMLRKKHKGFDK56DA,外埔段,814.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,21370000
