鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市自治路,29.6,住,,,1140122,土地1建物1車位1,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,163.27,2,2,2,有,無,17200000,105347,坡道平面,0.0,1200000,,RPPNMLMLJHKGFBK97CB,明慧居5,A棟13號,
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮自由街131號旁,30.77,住,,,1140122,土地3建物1車位2,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,219.84,3,2,2,有,無,27520000,166501,坡道平面,79.18,4100000,,RPXNMLMLJHKGFDK98CB,朋晨和心,A-12號,
後龍鎮,房地(土地+建物)+車位,苗栗縣後龍鎮光華路旁,20.84,住,,,1140121,土地2建物1車位1,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,90.71,2,2,2,有,無,8120000,89516,其他,22.23,0,,RPRNMLOLJHKGFDK58CB,宜宏家園NO.3,B2棟7F-B2號,
頭份市,房地(土地+建物)+車位,苗栗縣頭份市忠孝二路,44.21,住,,,1140121,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,157.97,3,2,2,有,無,21700000,145076,一樓平面,21.49,1900000,,RPPNMLOLJHKGFFK58CB,建國之星,A棟4F號,
頭份市,房地(土地+建物)+車位,苗栗縣頭份市日新街,14.25,商,,,1140122,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,148.32,3,2,2,有,無,21280000,154661,坡道平面,24.63,2150000,,RPRNMLPLJHKGFFK88CB,築上惠友,C6棟12F號,
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮環市路一段138巷,18.72,住,,,1140124,土地1建物1車位1,五層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,117.74,2,2,2,有,無,14700000,145761,坡道平面,28.21,1650000,,RPPNMLQLJHKGFDK58CB,東淯SHINE,5F-A6號,
銅鑼鄉,房地(土地+建物)+車位,苗栗縣銅鑼鄉新興路,22.43,住,,,1140123,土地4建物1車位1,五層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,124.33,3,2,2,有,無,9620000,89131,坡道平面,28.74,1100000,,RPPNMLNJKHKGFEK28CB,銅科芳華,D棟5號,
頭份市,房地(土地+建物)+車位,苗栗縣頭份市光華北路,26.26,住,,,1140125,土地1建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,90.23,2,2,2,有,無,12600000,139643,一樓平面,0.0,2200000,部分車位位於法定空地上,RPQNMLQJKHKGFFK78CB,光華盛璟,2F-C號,
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市源林街,33.24,住,,,1140126,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,100.91,3,2,2,有,無,9460000,93747,一樓平面,15.24,0,,RPPNMLRJKHKGFBK38CB,日和豐穗Ⅱ,F棟4號,
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市源林街,33.24,住,,,1140126,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,100.91,3,2,2,有,無,9560000,94738,一樓平面,15.24,0,,RPQNMLRJKHKGFBK48CB,日和豐穗Ⅱ,D棟5號,
苑裡鎮,房地(土地+建物),苗栗縣苑裡鎮泰田十四路鎮安五路,50.21,,特定農業區,甲種建築用地,1140125,土地1建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,140.74,3,2,2,有,無,8450000,60040,,0.0,0,,RPQNMLSJKHKGFCK68CB,丞家金寓藍田,A棟4號,
頭份市,房地(土地+建物)+車位,苗栗縣頭份市中央路186號,20.47,住,,,1140125,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,147.37,3,2,2,有,無,18320000,145496,坡道平面,33.14,1700000,,RPQNMLKKKHKGFFK28CB,亞昕中央大道,A10棟3F號,
後龍鎮,房地(土地+建物)+車位,苗栗縣後龍鎮高鐵六路與新港七路路口,45.99,住,,,1140127,土地2建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,116.81,3,2,2,有,無,12880000,113053,一樓平面,14.38,1300000,,RPQNMLOKKHKGFDK48CB,高鐵富域五,C-5F號,
竹南鎮,房地(土地+建物),苗栗縣竹南鎮科專六路上,109.11,住,,,1140122,土地2建物1車位0,全,4,透天厝,住家用,鋼骨混凝土造,,191.89,3,2,2,有,無,23880000,124446,,0.0,0,,RPPNMLQKKHKGFDK68DB,美亞智富,B棟11號,
後龍鎮,房地(土地+建物)+車位,苗栗縣後龍鎮頂椅七街,45.84,住,,,1140124,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,105.37,3,2,1,有,無,12120000,118326,一樓平面,14.35,1350000,,RPQNMLRKKHKGFDK78CB,厚琚,5F-D號,
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮科專七路217號旁,36.42,住,,,1140123,土地1建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,93.39,2,2,1,有,無,14580000,162973,坡道平面,18.04,2300000,,RPPNMLTKKHKGFDK88CB,三顆糖,B棟3-2F號,
頭份市,房地(土地+建物)+車位,苗栗縣頭份市後湖段1281、1282、1283地號,30.04,住,,,1140125,土地3建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,94.78,2,1,1,有,無,12200000,129493,一樓平面,12.15,1500000,,RPPNMLTKKHKGFFK09CB,馥郁吉第NO.2,5F-B號,
