編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLMLJHKGFBK97CB,巨蛋段,29.60,都市：住,10000,203,持分移轉,05790001
RPPNMLRJKHKGFBK38CB,豐年段,33.24,都市：住,100000,2168,持分移轉,12570000
RPQNMLRJKHKGFBK48CB,豐年段,33.24,都市：住,100000,2168,持分移轉,12570000
RPQNMLOKKHKGFDK48CB,龍頂段,41.80,都市：住,10000,515,持分移轉,02960000
RPQNMLOKKHKGFDK48CB,龍頂段,4.19,都市：住,30,1,持分移轉,02960004
RPPNMLQLJHKGFDK58CB,環市段,18.72,都市：住,100000,1631,持分移轉,14110000
RPXNMLMLJHKGFDK98CB,中興段博愛小段,8.10,都市：住,1000000,30120,持分移轉,00580000
RPXNMLMLJHKGFDK98CB,中興段博愛小段,3.06,都市：住,1000000,30120,持分移轉,00590000
RPXNMLMLJHKGFDK98CB,中興段博愛小段,19.61,都市：住,1000000,30120,持分移轉,00610000
RPRNMLOLJHKGFDK58CB,龍北段,18.85,都市：住,100000,3643,持分移轉,08650000
RPRNMLOLJHKGFDK58CB,龍北段,2.00,都市：住,100000,2892,持分移轉,08650002
RPQNMLRKKHKGFDK78CB,龍椅段,45.84,都市：住,100000,7340,持分移轉,02230002
RPPNMLTKKHKGFDK88CB,大同段,36.42,都市：住,10000,148,持分移轉,13220000
RPQNMLKKKHKGFFK28CB,中央段,20.47,都市：住,100000,871,持分移轉,10630000
RPRNMLPLJHKGFFK88CB,義民段,14.25,都市：商,100000,287,持分移轉,10780000
RPPNMLOLJHKGFFK58CB,蟠桃段忠孝小段,44.21,都市：住,10000,1218,持分移轉,05570000
RPQNMLQJKHKGFFK78CB,光華段,26.26,都市：住,100000,2707,持分移轉,01090000
RPQNMLSJKHKGFCK68CB,藍田段,50.21,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,1335,持分移轉,07090000
RPPNMLQKKHKGFDK68DB,大同段,88.82,都市：住,1,1,全筆移轉,12160009
RPPNMLQKKHKGFDK68DB,大同段,20.29,都市：住,100000,4132,持分移轉,12160000
RPPNMLNJKHKGFEK28CB,東田洋段,.95,都市：住,10000,151,持分移轉,00240001
RPPNMLNJKHKGFEK28CB,東田洋段,14.01,都市：住,10000,151,持分移轉,00250000
RPPNMLNJKHKGFEK28CB,東田洋段,3.86,都市：住,10000,151,持分移轉,00260000
RPPNMLNJKHKGFEK28CB,東田洋段,3.60,都市：住,10000,151,持分移轉,00270000
RPPNMLTKKHKGFFK09CB,後湖段,10.30,都市：住,10000,682,持分移轉,12810000
RPPNMLTKKHKGFFK09CB,後湖段,11.68,都市：住,10000,682,持分移轉,12820000
RPPNMLTKKHKGFFK09CB,後湖段,8.05,都市：住,10000,682,持分移轉,12830000
