鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
竹南鎮,租賃房屋,苗栗縣竹南鎮維新路２９７號,0.0,,,,1140121,土地0建物1車位0,一層,15,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,1101105,268.11,0,1,1,有,有,無,65000,242,,0.0,0,租金總額含管理費；,RPQNMLOLJHKGFDK58CC,,有,1140401~1190228,有,冷氣,
苗栗市,租賃房屋,苗栗縣苗栗市水源里陽明４５號,0.0,,,,1140123,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,,97.96,4,2,2,有,無,有,10000,102,,0.0,0,,RPSNMLNJKHKGFBK38CC,整棟(戶)出租,無,1140201~1150131,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
竹南鎮,租賃房屋,苗栗縣竹南鎮大厝里１６鄰南大路１８３之１號,0.0,,,,1140122,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0700912,118.24,4,3,2,有,無,有,9300,79,,0.0,0,瓦斯費每期之負擔，若未逾1200元，由房客固定負擔500元；超過1200元之部分，由房東、房客負擔各半。,RPWNMLNJKHKGFDK98CC,整棟(戶)出租,無,1140216~1150215,無,冷氣、熱水器、冰箱、瓦斯或天然氣,社會住宅包租轉租
苗栗市,租賃房屋,苗栗縣苗栗市維新里１７鄰復興路二段２４號,0.0,,,,1140123,土地0建物1車位0,全,1,透天厝,住家用,加強磚造,,85.96,3,2,1,有,無,無,15000,174,,0.0,0,免租金期間:114/1/23-114/3/4,RPRNMLOJKHKGFBK38CC,整棟(戶)出租,無,1140123~1150304,無,熱水器、洗衣機、冰箱、瓦斯或天然氣,一般代管
頭份市,租賃房屋,苗栗縣頭份市中興里７鄰中興路３８９巷６號三樓,0.0,,,,1140123,土地0建物1車位0,三層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820904,99.74,3,2,2,有,有,無,13500,135,,0.0,0,,RPPNMLOJKHKGFFK58CC,整棟(戶)出租,有,1140215~1150214,有,冷氣、熱水器、洗衣機、瓦斯或天然氣,社會住宅代管
頭份市,租賃房屋,苗栗縣頭份市和平里９鄰中華路８７６巷８號,0.0,,,,1140123,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0670621,126.1,4,3,3,有,無,無,16000,127,,0.0,0,,RPRNMLOJKHKGFFK78CC,整棟(戶)出租,無,1140210~1150209,無,冷氣、熱水器、瓦斯或天然氣,社會住宅包租轉租
竹南鎮,租賃房屋,苗栗縣竹南鎮博愛街１１１號２樓３樓,0.0,,,,1140121,土地0建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0561223,223.34,1,4,1,有,無,無,30000,134,,0.0,0,前3年租金不變第4年開始每年調漲1000元台幣.,RPPNMLRJKHKGFDK68CC,分層出租,無,1131201~1180905,無,,
頭份市,租賃房屋,苗栗縣頭份市上興里１５鄰永昌街１４號五樓,0.0,,,,1140122,土地0建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860827,108.34,3,2,2,有,有,有,12000,111,,0.0,0,租金總額含管理費；續租案件；,RPRNMLKKKHKGFFK48CC,整棟(戶)出租,有,1140201~1150131,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
苗栗市,租賃房屋+車位,苗栗縣苗栗市建功里３２鄰自治路１７１號５樓之３,21.28,商,,,1140121,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1130410,102.66,2,1,2,有,有,無,18500,180,其他,0.0,0,,RPPNMLNKKHKGFBK18CC,整棟(戶)出租,無,1140225~1150224,有,冷氣、熱水器、洗衣機、電視機、冰箱,一般包租
