編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLRJKHKGFDK68CC,57,223.34,住商用,鋼筋混凝土造,56年12月23日,四層,,
RPWNMLNJKHKGFDK98CC,43,118.24,住家用,加強磚造,70年9月12日,二層,,
RPQNMLOLJHKGFDK58CC,3,166.96,商業用,鋼筋混凝土造,110年11月5日,十五層,,
RPQNMLOLJHKGFDK58CC,3,101.15,共有部分,鋼筋混凝土造,110年11月5日,十五層,,
RPRNMLOJKHKGFBK38CC,,85.96,住家用,加強磚造,,一層,,
RPPNMLNKKHKGFBK18CC,1,71.06,住家用,鋼筋混凝土造,113年4月10日,五層,,
RPPNMLNKKHKGFBK18CC,1,18.06,本共有部分之項目有騎樓、及停車空間（室內９輛）等２項。,鋼筋混凝土造,113年4月10日,五層,,
RPSNMLNJKHKGFBK38CC,,97.96,住家用,加強磚造,,二層,,
RPPNMLNKKHKGFBK18CC,1,13.54,本共有部分之項目有樓梯間、電梯、及門廊等３項。,鋼筋混凝土造,113年4月10日,五層,,
RPRNMLKKKHKGFFK48CC,27,92.78,住家用,鋼筋混凝土造,86年8月27日,七層,,
RPRNMLOJKHKGFFK78CC,47,126.10,住家用,鋼筋混凝土造,67年6月21日,三層,,
RPRNMLKKKHKGFFK48CC,27,15.56,公共設施,鋼筋混凝土造,86年8月27日,,,
RPPNMLOJKHKGFFK58CC,31,80.99,住家用,鋼筋混凝土造,82年9月4日,六層,,
RPPNMLOJKHKGFFK58CC,31,8.82,共有部分,鋼筋混凝土造,82年9月4日,六層,,
RPPNMLOJKHKGFFK58CC,31,9.93,共有部分,鋼筋混凝土造,82年9月4日,六層,,
