鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
埔里鎮,土地,牛眠段1067地號,267.53,,鄉村區,乙種建築用地,1140207,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6312540,23596,,0.0,0,,RPSNMLRJKHKGFCM98DA,0.0,0.0,0.0,無,
竹山鎮,房地(土地+建物),南投縣竹山鎮枋坪巷２之３５弄２號五樓之７,10.55,住,,,1140207,土地2建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850309,37.64,1,0,1,有,有,830000,22051,,0.0,0,含土地增值稅或其他稅費；,RPPNMLMKKHKGFDM38DA,22.22,1.25,4.14,有,
竹山鎮,土地,大鞍段620地號,1002.26,,山坡地保育區,林業用地,1140207,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,60000,60,,0.0,0,本件未繕寫私人買賣契約書申報價為雙方告知.,RPQNMLKLKHKGFDM38DA,0.0,0.0,0.0,無,
草屯鎮,土地,新南坪段621地號,32.46,,山坡地保育區,交通用地,1140209,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,116856,3600,,0.0,0,,RPPNMLSKKHKGFBM88EA,0.0,0.0,0.0,無,
南投市,土地,三塊厝段151地號,1771.11,住,,,1140205,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,58163252,32840,,0.0,0,政府機關標讓售；,RPPNMLKLKHKGFAM97DA,0.0,0.0,0.0,無,001
鹿谷鄉,土地,初鄉段823地號,10165.0,,山坡地保育區,農牧用地,1140211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3380000,333,,0.0,0,,RPSNMLLLKHKGFDM68DA,0.0,0.0,0.0,無,
信義鄉,土地,同富段301地號,99.0,,鄉村區,乙種建築用地,1140207,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4350000,43939,,0.0,0,,RPQNMLLLKHKGFEM58DA,0.0,0.0,0.0,無,
仁愛鄉,土地,翠巒段332地號,5370.0,,森林區,林業用地,1140207,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,300000,56,,0.0,0,,RPQOMLLKKHKGFCM38DA,0.0,0.0,0.0,無,
仁愛鄉,土地,萬大段3070地號,10319.0,,森林區,林業用地,1140207,土地4建物0車位0,,,其他,,,,0.0,0,0,0,無,無,660000,64,,0.0,0,,RPROMLLKKHKGFCM48DA,0.0,0.0,0.0,無,
埔里鎮,房地(土地+建物),南投縣埔里鎮青田一街５７號,127.72,住,,,1140210,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1041211,222.55,8,2,9,有,無,26060000,117097,,0.0,0,其他增建；,RPTNMLKLKHKGFCM58DA,211.47,0.0,11.08,有,
