編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLMKKHKGFDM38DA,29,27.61,集合住宅,鋼筋混凝土造,85年3月9日,七層,五層 陽台 花台,全筆移轉
RPPNMLMKKHKGFDM38DA,29,4.32,防空避難室、停車空間、門廳、屋頂突出物等公共設施,鋼筋混凝土造,85年3月9日,七層,,持分移轉
RPPNMLMKKHKGFDM38DA,29,5.71,梯間、走道,鋼筋混凝土造,85年3月9日,七層,,持分移轉
RPPNMLSKKHKGFDM98DA,26,336.53,農舍,鋼筋混凝土造,88年3月4日,二層,一層 二層 陽台 地下一層,全筆移轉
RPSNMLMKKHKGFCM58DA,41,72.24,住家用,鋼筋混凝土造,73年1月19日,四層,三層,全筆移轉
RPPNMLOKKHKGFAM28DA,,107.24,住商用,鋼筋混凝土加強磚造,71年7月0日,二層,一層 二層 騎樓,全筆移轉
RPUNMLOJKHKGFBM78DA,47,86.38,住商用,鋼筋混凝土加強磚造,67年6月5日,二層,一層 二層,全筆移轉
RPSNMLOJKHKGFBM58DA,7,80.08,集合住宅,鋼筋混凝土造,107年5月2日,十一層,十一層 陽台,全筆移轉
RPSNMLOJKHKGFBM58DA,7,43.06,本共有部分之項目有停車空間、昇降機間、梯廳、無障礙安全梯、消防機房、發電機房、水箱間、防空避難室兼停車空間、台電配電場所、電信機房、管委會使用空間、戶外安全梯、機械室及樓梯間等１４項,鋼筋混凝土造,107年5月2日,十一層,,持分移轉
RPQNMLRJKHKGFBM68DA,12,12.00,農舍,鋼鐵造有牆,101年11月19日,一層,一層,全筆移轉
RPPNMLOJKHKGFAM18DA,27,86.72,住家用,鋼筋混凝土造,86年9月19日,十四層,四層 陽台,全筆移轉
RPPNMLOJKHKGFAM18DA,27,21.62,水箱受電室、機房、梯廳、走道、防空避難室,鋼筋混凝土造,86年9月19日,十四層,,持分移轉
RPPNMLOJKHKGFAM18DA,27,15.27,停車空間,鋼筋混凝土造,86年9月19日,十四層,,持分移轉
RPRNMLQKJHKGFDM88DA,12,180.85,住家用,鋼筋混凝土造,102年5月7日,三層,一層 二層 三層 陽台,全筆移轉
RPTNMLKLKHKGFCM58DA,9,222.55,住宅、水箱,鋼筋混凝土造,104年12月11日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
RPSNMLNJKHKGFAM38DA,45,114.76,住商用,鋼筋混凝土加強磚造,69年5月27日,二層,一層 二層 騎樓,全筆移轉
RPSNMLKLKHKGFCM48DA,34,276.03,住商用,鋼筋混凝土造,80年4月12日,六層,一層 二層 三層 四層 五層 屋頂突出物 騎樓,全筆移轉
RPSNMLKLKHKGFCM48DA,34,18.68,公共設施,鋼筋混凝土造,80年4月12日,六層,,持分移轉
RPQNMLMKKHKGFCM38DA,44,93.36,住家用,鋼筋混凝土加強磚造,70年1月13日,二層,一層 二層,全筆移轉
RPRNMLSKKHKGFAM88DA,1,64.91,集合住宅,鋼筋混凝土造,112年7月28日,五層,三層 陽台,全筆移轉
RPRNMLSKKHKGFAM88DA,1,14.41,停車空間、樓梯間、電梯間、梯廳、機械室,鋼筋混凝土造,112年7月28日,五層,,持分移轉
RPQNMLTKKHKGFCM09DA,39,85.88,商業用,鋼造,74年7月23日,一層,一層 騎樓,全筆移轉
RPQNMLTKKHKGFCM09DA,39,85.88,商業用,鋼造,74年7月23日,一層,一層 騎樓,全筆移轉
RPSNMLKLJHKGFCM38DA,45,116.04,住商用,加強磚造,69年3月1日,二層,一層 二層 騎樓,全筆移轉
RPRNMLPLKHKGFCM88DA,28,438.19,自用農舍,ＲＣ造,86年5月5日,二層,一層 二層,全筆移轉
RPRNMLRKKHKGFAM78DA,2,74.39,集合住宅,鋼筋混凝土造,111年12月12日,五層,五層 陽台,全筆移轉
RPRNMLRKKHKGFAM78DA,2,11.35,停車空間、樓梯間、機電設備室,鋼筋混凝土造,111年12月12日,五層,,持分移轉
RPWNMLLKKHKGFCM88DA,29,20.66,走道、機械房、門廳、騎樓、防空避難室兼停車場、梯間,鋼筋混凝土造,85年2月9日,十五層,,持分移轉
RPWNMLLKKHKGFCM88DA,29,85.17,集合住宅,鋼筋混凝土造,85年2月9日,十五層,二層 陽台 露台,全筆移轉
RPQNMLSJJHKGFDM88DA,42,121.66,住商用,鋼筋混凝土加強磚造,71年11月9日,二層,一層 二層 騎樓,全筆移轉
RPRNMLLMKIJGFCM58DA,,43.74,集合住宅,ＲＣ造,113年9月25日,七層,六層 陽台,全筆移轉
RPRNMLLMKIJGFCM58DA,,23.43,消防機房兼發電機室、電信室、台電配電室、水箱、停車空間、樓梯間、梯廳、電梯機房等８項,ＲＣ造,113年9月25日,七層,,持分移轉
RPTNMLKKJHKGFAM18DA,30,106.56,店舖、集合住宅,鋼筋混凝土造,83年11月9日,十六層,一層 二層 陽台 平台 騎樓,全筆移轉
RPTNMLKKJHKGFAM18DA,30,23.65,騎樓、人行道、梯間、避難室、機械室,鋼筋混凝土造,83年11月9日,十六層,,持分移轉
RPRNMLTKKHKGFCM56DA,39,169.50,商業用,鋼造,74年7月23日,一層,一層 騎樓,全筆移轉
RPPNMLLMKIJGFCM38DA,,45.33,集合住宅,ＲＣ造,113年9月25日,七層,七層 陽台,全筆移轉
RPPNMLLMKIJGFCM38DA,,24.29,消防機房兼發電機室、電信室、台電配電室、水箱、停車空間、樓梯間、梯廳、電梯機房等８項,ＲＣ造,113年9月25日,七層,,持分移轉
RPPNMLRLKIJGFCM88DA,,43.74,集合住宅,ＲＣ造,113年9月25日,七層,七層 陽台,全筆移轉
RPPNMLRLKIJGFCM88DA,,23.43,消防機房兼發電機室、電信室、台電配電室、水箱、停車空間、樓梯間、梯廳、電梯機房等８項,ＲＣ造,113年9月25日,七層,,持分移轉
RPOOMLLKKHKGFCM18DA,2,181.79,住家用,ＲＣ造,112年3月13日,三層,一層 二層 三層 陽台,全筆移轉
RPOOMLLKKHKGFCM18DA,2,1.43,管委會使用空間,ＲＣ造,112年3月13日,一層,,持分移轉
RPWNMLTKKHKGFAM86DA,21,61.92,住家用,鋼筋混凝土造,92年8月21日,四層,三層 陽台,全筆移轉
RPWNMLTKKHKGFAM86DA,21,6.59,住家用,鋼筋混凝土造,92年8月21日,四層,,持分移轉
RPTNMLPLKHKGFCM09DA,29,168.04,住家用,鋼筋混凝土造,85年4月1日,二層,一層 二層 陽台,全筆移轉
RPVNMLLKKHKGFCM78DA,1,181.79,住家用,ＲＣ造,112年3月13日,三層,一層 二層 三層 陽台,全筆移轉
