編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSNMLRJKHKGFCM98DA,牛眠段,267.53,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,10670000
RPROMLLKKHKGFCM48DA,萬大段,8501.00,非都市：森林區 ; 非都市編定：林業用地,1,1,全筆移轉,30700000
RPROMLLKKHKGFCM48DA,萬大段,85.00,非都市：森林區 ; 非都市編定：林業用地,1,1,全筆移轉,30700002
RPROMLLKKHKGFCM48DA,萬大段,1323.00,非都市：森林區 ; 非都市編定：林業用地,1,1,全筆移轉,30700004
RPROMLLKKHKGFCM48DA,萬大段,410.00,非都市：森林區 ; 非都市編定：林業用地,1,1,全筆移轉,30700006
RPQOMLLKKHKGFCM38DA,翠巒段,5370.00,非都市：森林區 ; 非都市編定：林業用地,1,1,全筆移轉,03320000
RPPNMLMKKHKGFDM38DA,大統段,10.45,都市：其他:住宅區,10000,46,持分移轉,00390000
RPPNMLMKKHKGFDM38DA,大統段,.10,都市：其他:住宅區,10000,46,持分移轉,00390001
RPQNMLOLKHKGFDM78DA,文田段,1100.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,3,1,持分移轉,12230000
RPSNMLLLKHKGFDM68DA,初鄉段,10165.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,08230000
RPQNMLKLKHKGFDM38DA,大鞍段,1002.26,非都市：山坡地保育區 ; 非都市編定：林業用地,30000,1311,持分移轉,06200000
RPSNMLOLKHKGFDM98DA,文田段,1100.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,3,1,持分移轉,12230000
RPRNMLOLKHKGFDM88DA,文田段,1100.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,3,1,持分移轉,12230000
RPPNMLLLKHKGFDM38DA,大鞍段,712.80,非都市：山坡地保育區 ; 非都市編定：農牧用地,5,3,持分移轉,00010005
RPPNMLLLKHKGFDM38DA,大鞍段,300.50,非都市：山坡地保育區 ; 非都市編定：農牧用地,2,1,持分移轉,03280002
RPPNMLLLKHKGFDM38DA,大鞍段,8159.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,04860001
RPPNMLLLKHKGFDM38DA,大鞍段,21.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,04880001
RPPNMLSKKHKGFDM98DA,內樹皮段,96.75,非都市：山坡地保育區 ; 非都市編定：農牧用地,120,3,持分移轉,00680000
RPPNMLSKKHKGFDM98DA,內樹皮段,470.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,00760000
RPPNMLSKKHKGFDM98DA,內樹皮段,127.11,非都市：山坡地保育區 ; 非都市編定：農牧用地,135,52,持分移轉,00770000
RPPNMLSKKHKGFDM98DA,內樹皮段,330.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,00780002
RPPNMLSKKHKGFDM98DA,內樹皮段,453.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,00780005
RPSNMLSKKHKGFDM66DA,南雲段,2257.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04400000
RPPNMLKKKHKGFCM08DA,桃米坑段,1016.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,02340408
RPPNMLSKKHKGFBM88EA,新南坪段,32.46,非都市：山坡地保育區 ; 非都市編定：交通用地,1,1,全筆移轉,06210000
RPSNMLMKKHKGFCM58DA,和平段,4.54,都市：其他:住宅區,16,1,持分移轉,00460000
RPSNMLMKKHKGFCM58DA,和平段,40.70,都市：其他:住宅區,8,1,持分移轉,00480000
RPPNMLPJKHKGFAM28DA,新廍段,2162.58,都市：其他:農業區,1,1,全筆移轉,13440002
RPPNMLOKKHKGFAM28DA,同源段,91.24,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,05910000
RPUNMLOJKHKGFBM78DA,新富仁段,76.23,都市：其他:住宅區,1,1,全筆移轉,00750000
RPSNMLOJKHKGFBM58DA,草屯段,21.48,都市：其他:商業區,100000,1714,持分移轉,07370135
RPQNMLRJKHKGFBM68DA,新光段,109.00,非都市：特定農業區 ; 非都市編定：農牧用地,2,1,持分移轉,14710000
RPQNMLRJKHKGFBM68DA,新光段,1362.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,14740000
RPPNMLOJKHKGFAM18DA,福助段,.35,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,513,持分移轉,07300000
RPPNMLOJKHKGFAM18DA,福助段,38.16,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,513,持分移轉,08010000
RPQNMLLLKHKGFEM58DA,同富段,88.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03010000
RPQNMLLLKHKGFEM58DA,同富段,9.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03020002
RPQNMLLLKHKGFEM58DA,同富段,2.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03030001
RPPNMLLLKHKGFEM48DA,新郡坑段,2500.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,07330002
RPPNMLRKKHKGFEM98DA,城中段,1616.00,都市：其他:遊憩區(附三),1,1,全筆移轉,12310000
RPPNMLRKKHKGFEM98DA,城中段,68.00,都市：其他:道路用地(附三),1,1,全筆移轉,12310001
RPPNMLTKKHKGFCM98DA,發祥段,2160.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,04950000
RPWOMLLKKHKGFAM78DA,施厝坪段,1054.13,都市：其他:農業區,1,1,全筆移轉,02520000
RPWOMLLKKHKGFAM78DA,施厝坪段,15.87,都市：其他:農業區,1,1,全筆移轉,02530000
RPRNMLOJKHKGFAM38DA,光榮段,141.93,都市：其他:住宅區,1,1,全筆移轉,05690000
RPRNMLOJKHKGFAM38DA,光榮段,3.31,都市：其他:住宅區,20000,758,持分移轉,05700000
RPRNMLQKJHKGFDM88DA,吉祥段,4.84,都市：其他:住宅區,27,1,持分移轉,07730002
RPRNMLQKJHKGFDM88DA,吉祥段,116.82,都市：其他:住宅區,1,1,全筆移轉,07730021
RPRNMLPLKHKGFDM98DA,初鄉段,165.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,01060000
RPRNMLPLKHKGFDM98DA,初鄉段,5734.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,06580000
RPQNMLOLKHKGFCM68DA,仁愛段,81.62,都市：其他:商業區,1,1,全筆移轉,03140000
RPQNMLOLKHKGFCM68DA,仁愛段,59.57,都市：其他:商業區,1,1,全筆移轉,03150000
RPUNMLKLKHKGFCM68DA,東池段,1104.97,都市：其他:農業區,1,1,全筆移轉,04640003
RPRNMLKLKHKGFCM38DA,石門段,2341.16,都市：其他:農業區,1,1,全筆移轉,00630000
RPTNMLOLKHKGFCM98DA,仁愛段,144.86,都市：其他:商業區,1,1,全筆移轉,03130000
RPSNMLOLKHKGFCM88DA,仁愛段,574.01,都市：其他:商業區,1,1,全筆移轉,03200000
RPPNMLLLKHKGFCM28DA,北港溪段,95.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,00030007
RPQNMLLLKHKGFCM38DA,光明段,28.06,都市：其他:商業區,1,1,全筆移轉,03900001
RPQNMLLLKHKGFCM38DA,光明段,16.53,都市：其他:商業區,1,1,全筆移轉,03910001
RPQNMLLLKHKGFCM38DA,光明段,18.53,都市：其他:商業區,1,1,全筆移轉,03920001
RPTNMLKLKHKGFCM58DA,忠孝段,127.72,都市：其他:住宅區,1,1,全筆移轉,02260001
RPQNMLSKKHKGFDM09DA,坪林段,77551.89,非都市：森林區 ; 非都市編定：林業用地,1,1,全筆移轉,02670000
RPSNMLNJKHKGFAM38DA,永興段,69.80,都市：其他:農業區,15720,838,持分移轉,00180000
RPSNMLNJKHKGFAM38DA,永興段,86.31,都市：其他:農業區,1,1,全筆移轉,00340000
RPSNMLNJKHKGFAM38DA,永興段,9.38,都市：其他:農業區,15720,838,持分移轉,01060000
RPSNMLNJKHKGFAM38DA,永興段,1.04,都市：其他:道路用地,15720,838,持分移轉,01070000
RPRNMLKLKHKGFDM48DA,大坑段頂林小段,2590.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,01030682
RPSNMLKLKHKGFCM48DA,和平段,48.38,都市：其他:商業區,20000,418,持分移轉,08250000
RPQNMLMKKHKGFCM38DA,大瑪璘段,30.25,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03740000
RPQNMLMKKHKGFCM38DA,大瑪璘段,30.27,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03750000
RPRNMLSKKHKGFAM88DA,大崗段,18.50,非都市：工業區 ; 非都市編定：丁種建築用地,100000,9297,持分移轉,00050004
