編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLOJKHKGFAM18DA,坡道平面,0,,地下一樓
RPTNMLKKJHKGFAM18DA,坡道機械,0,,地下二樓
RPSNMLSJKHKGFAM88DA,坡道平面,1200000,30.67,地下一樓
RPSNMLSJKHKGFAM88DA,坡道平面,1200000,30.67,地下一樓
RPSNMLSJKHKGFAM88DA,坡道平面,1050000,30.67,地下二樓
RPPPMLLKKHKGFAM18DA,坡道平面,1200000,30.67,地下一樓
RPQPMLKKKHKGFAM18DA,坡道平面,1100000,30.67,地下二樓
RPOOMLLKKHKGFAM97DA,坡道平面,1200000,30.67,地下一樓
RPQNMLSJKHKGFAM68DA,坡道平面,1100000,30.67,地下二樓
RPUOMLLKKHKGFAM58DA,坡道平面,1200000,30.67,地下一樓
RPVPMLLKKHKGFAM78DA,坡道平面,1200000,30.67,地下一樓
RPVPMLLKKHKGFAM78DA,坡道平面,1200000,30.67,地下一樓
RPVOMLKKKHKGFAM58DA,坡道平面,1100000,30.67,地下二樓
RPVOMLKKKHKGFAM58DA,坡道平面,1100000,30.67,地下二樓
RPPOMLLKKHKGFAM08DA,坡道平面,1200000,30.67,地下一樓
RPPOMLLKKHKGFAM08DA,坡道平面,1200000,30.67,地下一樓
RPSPMLLKKHKGFAM48DA,坡道平面,1100000,30.67,地下二樓
RPTQMLKKKHKGFAM58DA,坡道平面,1100000,30.67,地下二樓
RPQPMLLKKHKGFAM28DA,坡道平面,1100000,30.67,地下二樓
RPOPMLLKKHKGFAM08DA,坡道平面,1100000,30.67,地下二樓
RPTPMLLKKHKGFAM58DA,坡道平面,1100000,30.67,地下二樓
RPUPMLLKKHKGFAM68DA,坡道平面,1200000,30.67,地下一樓
RPVNMLOLJHKGFAM88DA,坡道平面,1100000,19.17,地下一樓
RPTNMLSJKHKGFAM98DA,坡道平面,1100000,30.67,地下二樓
RPVNMLSJKHKGFAM56DA,坡道平面,1200000,30.67,地下一樓
RPOPMLKKKHKGFAM97DA,坡道平面,1100000,30.67,地下二樓
RPPNMLKKKHKGFAM87DA,坡道平面,1100000,30.67,地下二樓
RPVOMLLKKHKGFAM68DA,坡道平面,1100000,30.67,地下二樓
RPRPMLLKKHKGFAM38DA,坡道平面,1200000,30.67,地下一樓
