編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRNMLOJKHKGFDM68CB,大統段,43.81,都市：住,100000,1564,持分移轉,02720002
RPPNMLPLJHKGFBM48CB,新富功段,11.37,都市：住,100000,516,持分移轉,01940000
RPPNMLPLJHKGFBM48CB,新富功段,9.78,都市：住,100000,516,持分移轉,01950000
RPPNMLPLJHKGFBM48CB,新富功段,4.61,都市：住,100000,516,持分移轉,01960000
RPPNMLQJKHKGFBM48CB,頂園段,83.50,都市：農,1,1,全筆移轉,03730022
RPPNMLQJKHKGFBM48CB,頂園段,7.50,都市：農,1,1,全筆移轉,03730029
RPPNMLQJKHKGFBM48CB,頂園段,14.90,都市：農,14,1,持分移轉,03730031
RPQNMLTKKHKGFCM09CB,忠良段,26.56,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,3151,持分移轉,08160001
RPPNMLRLJHKGFAM58CB,新豐段,50.87,都市：住,100000,964,持分移轉,07720000
RPPNMLRLJHKGFAM58CB,新豐段,17.10,都市：住,100000,6575,持分移轉,07740000
