鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
彰化市,房地(土地+建物),彰化縣彰化市一心南街２２４巷４１號,147.0,,特定專用區,特定目的事業用地,1140206,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0700831,85.69,5,5,5,有,無,6500000,75855,,0.0,0,本件為母女間買賣部分價金於過戶後再自行支付親友、員工、共有人或其他特殊關係間之交易；,RPQNMLSKKHKGFAN88DA,85.69,0.0,0.0,無,001
鹿港鎮,土地,鹿海段31-107地號,3483.78,,工業區,丁種建築用地,1140206,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,66120751,18980,,0.0,0,,RPPNMLTKKHKGFCN09DA,0.0,0.0,0.0,無,
北斗鎮,房地(土地+建物),彰化縣北斗鎮地政路２９５巷６號,79.0,住,,,1140208,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0630701,83.2,2,2,2,有,無,3800000,45673,,0.0,0,房屋修繕費由買方負擔,RPSNMLSKKHKGFFN96DA,83.2,0.0,0.0,無,
彰化市,房地(土地+建物),彰化縣彰化市永樂街１２號二樓之十一,3.28,住,,,1140203,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),辦公用,鋼筋混凝土造,0800514,25.4,0,0,0,無,無,700000,27559,,0.0,0,,RPTOMLKKKHKGFAN48DA,9.86,0.0,0.0,有,
和美鎮,土地,中寮北段246地號,113.69,,特定農業區,農牧用地,1140207,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,340000,2991,,0.0,0,含土地增值稅或其他稅費1278元；,RPTNMLSKKHKGFBN66DA,0.0,0.0,0.0,無,002
北斗鎮,房地(土地+建物)+車位,彰化縣北斗鎮中和路１４１號三樓之２,25.87,,鄉村區,乙種建築用地,1140211,土地1建物1車位1,三層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1121122,85.75,2,2,2,有,有,6000000,69971,一樓平面,0.0,0,,RPQNMLNKKHKGFFN88DA,55.65,0.0,6.74,有,
芳苑鄉,土地,芳墘段205地號,1877.19,,一般農業區,農牧用地,1140204,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1360000,724,,0.0,0,土地為持分共有且地形狹長,RPPNMLKLKHKGFGN68DA,0.0,0.0,0.0,無,
彰化市,房地(土地+建物),彰化縣彰化市中山路二段９２０巷１００號,35.5,住,,,1140212,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0621205,43.72,4,4,3,有,無,4200000,96066,,0.0,0,頂樓加蓋；,RPVNMLSJKHKGFAN66DA,43.72,0.0,0.0,無,
芬園鄉,房地(土地+建物),彰化縣芬園鄉光華路３４６巷２０３弄１２７號,148.96,,特定農業區,甲種建築用地,1140209,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0840509,136.54,4,2,2,有,無,6000000,43943,,0.0,0,,RPSNMLMKKHKGFAN48DA,122.09,7.2,7.25,無,
和美鎮,土地,忠孝段272-6地號,1.0,,鄉村區,乙種建築用地,1140205,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,46887,0,,0.0,0,畸零地或有合併使用效益；,RPPNMLOKKHKGFBN48DA,0.0,0.0,0.0,無,
