編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLNKKHKGFFN88DA,中圳段,25.87,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,525,持分移轉,03030000
RPSNMLSKKHKGFFN96DA,光復段,79.00,都市：其他:住宅區,1,1,全筆移轉,16140000
RPSNMLMKKHKGFAN48DA,嘉北段,9.96,非都市：特定農業區 ; 非都市編定：甲種建築用地,169,9,持分移轉,10610007
RPSNMLMKKHKGFAN48DA,嘉北段,139.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,10610014
RPTNMLSKKHKGFBN66DA,中寮北段,113.69,非都市：特定農業區 ; 非都市編定：農牧用地,30,1,持分移轉,02460000
RPQNMLSKKHKGFAN88DA,聯興段,147.00,非都市：特定專用區 ; 非都市編定：特定目的事業用地,1,1,全筆移轉,06200000
RPVNMLSJKHKGFAN66DA,牛稠子段牛稠子小段,35.50,都市：其他:住宅區,2,1,持分移轉,01990035
RPRNMLRKKHKGFFN76DA,中華段,7.00,都市：其他:農業區,3,1,持分移轉,17090013
RPTOMLKKKHKGFAN48DA,民權段,3.28,都市：其他:住宅區,10000,42,持分移轉,00780000
RPPNMLOKKHKGFBN48DA,忠孝段,1.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,02720006
RPPNMLKLKHKGFGN68DA,芳墘段,397.68,非都市：一般農業區 ; 非都市編定：農牧用地,1500,189,持分移轉,02040000
RPPNMLKLKHKGFGN68DA,芳墘段,1479.51,非都市：一般農業區 ; 非都市編定：農牧用地,1500,189,持分移轉,02050000
RPQNMLLLKHKGFGN88DA,儒林段,144.66,都市：其他:機關用地,1,1,全筆移轉,05560000
RPTNMLTKKHKGFEN07DA,東源段,176.92,都市：其他:住宅區,1,1,全筆移轉,05800000
RPXNMLTKKHKGFFN57DA,西斗段,119.30,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,10970002
RPSNMLTKKHKGFAN56DA,南口段,23.94,都市：其他:乙種工業區,1,1,全筆移轉,03340004
RPUNMLTKKHKGFHN47DA,大溪段,58.00,都市：其他:住宅區,1,1,全筆移轉,04600001
RPTNMLRKKHKGFCN66DA,新生段,120.49,非都市：鄉村區 ; 非都市編定：乙種建築用地,2000,425,持分移轉,06520000
RPPNMLTKKHKGFCN09DA,鹿海段,3483.78,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,00310107
RPQNMLLLKHKGFCN48DA,鹿海段,3483.78,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,00310109
RPRNMLLLKHKGFCN58DA,鹿海段,10143.08,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,00310070
RPQNMLSKKHKGFCN09DA,玉順段,13.23,都市：其他:住宅區,1,1,全筆移轉,03740002
RPUNMLLLKHKGFCN88DA,鹿海段,5411.26,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,00310098
RPUNMLLLKHKGFCN88DA,鹿海段,5411.26,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,00310099
RPRNMLOLKHKGFCN88DA,元興段,2018.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,22310000
