編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQNMLNKKHKGFFN88DA,一樓平面,0,,一樓
RPQNMLTKKHKGFEN76DA,一樓平面,0,,一樓
RPOOMLTKKHKGFFN76DA,一樓平面,0,,一樓
RPQNMLKLKHKGFAN18DA,坡道平面,0,,地下二樓
RPRNMLMKKHKGFAN38DA,坡道機械,0,19.85,地下二樓
RPPNMLSKKHKGFAN78DA,坡道平面,0,,地下一樓
RPPNMLSKKHKGFAN78DA,坡道平面,0,,地下一樓
RPPNMLSKKHKGFAN78DA,坡道平面,0,,地下一樓
RPUNMLPJKHKGFGN86DA,坡道平面,0,,地下一樓
RPSNMLRKKHKGFFN86DA,其他,0,19.85,一樓
RPXNMLOKKHKGFDN86DA,坡道平面,1100000,15.67,地下一樓
RPQNMLNKKIJGFBN48DA,坡道平面,1200000,32.04,地下一樓
RPWNMLRKKHKGFDN07DA,升降機械,0,,一樓
RPOOMLRKKHKGFDN98DA,升降機械,0,,一樓
RPQOMLRKKHKGFDN56DA,升降機械,0,,一樓
RPSOMLRKKHKGFDN76DA,升降機械,0,,一樓
RPTNMLLKKHKGFHN56DA,坡道機械,0,,地下一樓
RPVNMLOKKHKGFDN66DA,升降機械,0,,地下一樓
RPPNMLTKKHKGFHN96DA,升降機械,550000,12.00,一樓
RPQNMLTKKHKGFHN07DA,一樓平面,1200000,22.00,一樓
RPQOMLPJKHKGFBN68DA,坡道平面,0,,地下二樓
RPQOMLPJKHKGFBN68DA,坡道平面,0,,地下二樓
RPROMLPJKHKGFBN78DA,坡道平面,0,,地下一樓
RPVSMLLKOHJGFBN96DA,坡道平面,0,,地下二樓
RPRSMLLKOHJGFBN56DA,坡道平面,0,,地下二樓
RPPWMLLKOHJGFBN76DA,坡道平面,0,,地下一樓
RPVTMLLKOHJGFBN07DA,坡道平面,0,,地下一樓
RPUSMLLKOHJGFBN86DA,坡道平面,0,,地下一樓
RPORMLMKOHJGFBN88DA,坡道平面,0,,地下二樓
RPSWMLMKOHJGFBN17DA,坡道平面,0,,地下一樓
RPSWMLMKOHJGFBN17DA,坡道平面,0,,地下一樓
RPUNMLOJJHKGFBN78DA,坡道平面,0,,地下一樓
RPTNMLOJJHKGFBN68DA,坡道平面,0,,地下二樓
RPSVMLMKOHJGFBN07DA,坡道平面,0,,地下二樓
RPRQMLLKOHJGFBN98DA,坡道平面,0,,地下二樓
RPPVMLLKOHJGFBN66DA,坡道平面,0,,地下二樓
RPPVMLLKOHJGFBN66DA,坡道平面,0,,地下二樓
RPOSMLMKOHJGFBN98DA,坡道平面,0,,地下二樓
RPURMLMKOHJGFBN86DA,坡道平面,0,,地下一樓
