編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLOJKHKGFAN38DB,東芳段,31.79,都市：住,1000000,11913,持分移轉,07180000
RPROMLOLJHKGFAN68CB,花壇段,108.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,04770025
RPROMLOLJHKGFAN68CB,花壇段,15.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,5869,60,持分移轉,04770020
RPPNMLQJKHKGFGN09CB,儒興段,41.67,都市：住,100000,476,持分移轉,00060000
RPPOMLOLJHKGFAN48CB,延和段,16.95,都市：住,100000,1955,持分移轉,02540000
RPPOMLOLJHKGFAN48CB,延和段,.13,都市：住,100000,1955,持分移轉,02550000
RPPOMLOLJHKGFAN48CB,延和段,11.55,都市：住,100000,1955,持分移轉,02610000
RPPOMLOLJHKGFAN48CB,延和段,1.90,都市：住,100000,1955,持分移轉,02590000
RPPOMLOLJHKGFAN48CB,延和段,2.07,都市：住,100000,1955,持分移轉,03110000
RPPOMLOLJHKGFAN48CB,延和段,.24,都市：住,100000,1955,持分移轉,03100175
RPPNMLQJKHKGFAN48CB,延平段,22.62,都市：住,10000,78,持分移轉,09790000
RPPNMLNKKHKGFHN98CB,大庭段,19.92,都市：住,100000,5757,持分移轉,09910008
RPPNMLNKKHKGFHN98CB,大庭段,63.92,都市：住,1,1,全筆移轉,09910012
RPPNMLNKKHKGFHN98CB,大庭段,2.79,都市：住,100000,5757,持分移轉,09920008
RPPNMLNKKHKGFHN98CB,大庭段,4.95,都市：住,100000,5757,持分移轉,09980000
RPPNMLNKKHKGFHN98CB,大庭段,3.55,都市：住,100000,5757,持分移轉,09990000
RPPNMLNKKHKGFHN98CB,大庭段,.25,都市：住,100000,5757,持分移轉,09990001
RPPNMLNKKHKGFHN98CB,大庭段,19.40,都市：住,100000,5757,持分移轉,10000000
RPSNMLOKKHKGFHN76CB,中東段,77.36,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,4989,持分移轉,05480000
RPTNMLOKKHKGFHN86CB,中東段,77.71,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,5011,持分移轉,05480000
RPQNMLOJKHKGFAN48DB,東芳段,31.79,都市：住,1000000,11913,持分移轉,07180000
RPPNMLKKKHKGFAN08DB,竹林段,95.03,都市：住,90009,11492,持分移轉,07090000
RPPNMLKKKHKGFAN08DB,竹林段,19.89,都市：住,90009,11492,持分移轉,07100000
RPPNMLRKKHKGFHN76CB,成功段,100.00,都市：住,1,1,全筆移轉,16380001
RPOPMLNLJHKGFAN38CB,秀水段,30.87,都市：住,10000,110,持分移轉,01880000
RPSNMLLKKHKGFFN88CB,中華段,19.34,都市：住,38200,1934,持分移轉,06590000
RPSNMLLKKHKGFFN88CB,中華段,18.13,都市：住,35800,1813,持分移轉,06600000
RPPNMLSKKHKGFDN09CB,大明段,23.54,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,151,持分移轉,08320000
RPRNMLMLJHKGFDN68CB,橋愛段,26.99,都市：住,100000,1002,持分移轉,13040000
RPPNMLRKKHKGFDN98CB,五汴段,13.90,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,4426,持分移轉,10320000
RPPNMLRKKHKGFDN98CB,五汴段,14.68,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,4426,持分移轉,10320001
RPQNMLSKKHKGFDN56CB,大明段,22.91,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,147,持分移轉,08320000
RPTNMLMLJHKGFDN88CB,橋愛段,23.13,都市：住,100000,859,持分移轉,13040000
RPUNMLMLJHKGFDN98CB,橋愛段,23.13,都市：住,100000,859,持分移轉,13040000
RPPNMLNKKHKGFAN28CB,華南段,21.05,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,422,持分移轉,05630000
RPPNMLMKKHKGFBN28CB,竹園段,19.79,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,3186,持分移轉,07710000
RPPNMLMKKHKGFBN28CB,竹園段,31.58,非都市：鄉村區 ; 非都市編定：乙種建築用地,12,1,持分移轉,07010000
RPPNMLTKKHKGFCN09CB,振興段,20.13,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,247,持分移轉,18120000
RPPNMLTKKHKGFCN09CB,振興段,1.68,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,247,持分移轉,18120001
