編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLOJKHKGFAN38DB,坡道平面,1350000,30.74,地下二樓
RPPOMLOLJHKGFAN48CB,坡道平面,1750000,26.50,地下二樓
RPPNMLQJKHKGFAN48CB,坡道平面,1850000,31.19,地下一樓
RPSNMLOKKHKGFHN76CB,一樓平面,0,,一樓
RPTNMLOKKHKGFHN86CB,一樓平面,0,,一樓
RPQNMLOJKHKGFAN48DB,坡道平面,1350000,30.74,地下二樓
RPOPMLNLJHKGFAN38CB,坡道平面,1350000,22.28,地下二樓
RPSNMLLKKHKGFFN88CB,一樓平面,0,17.36,一樓
RPPNMLSKKHKGFDN09CB,坡道平面,1700000,25.44,地下一樓
RPRNMLMLJHKGFDN68CB,坡道平面,1700000,43.57,地下一樓
RPQNMLSKKHKGFDN56CB,坡道平面,1500000,25.44,地下二樓
RPTNMLMLJHKGFDN88CB,坡道機械,830000,21.42,地下二樓
RPUNMLMLJHKGFDN98CB,坡道平面,1800000,43.57,地下一樓
RPPNMLNKKHKGFAN28CB,坡道平面,1600000,23.80,地下一樓
RPPNMLTKKHKGFCN09CB,坡道平面,1300000,31.00,地下二樓
