鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
彰化市,租賃房屋,彰化縣彰化市中山路一段５５６巷５７號（C１室）,0.0,,,,1140121,土地0建物0車位0,全,2,透天厝,住商用,鋼筋混凝土加強磚造,0670629,23.14,11,0,11,有,無,有,6000,259,,0.0,0,未登記建物,RPPNMLNLJHKGFAN38CC,分租套房,無,1140201~1140430,無,冷氣、熱水器、洗衣機、冰箱,一般代管
彰化市,租賃房屋,彰化縣彰化市中山路一段５５６巷５７號３樓（C２室）,0.0,,,,1140121,土地0建物0車位0,全,2,透天厝,住商用,鋼筋混凝土加強磚造,0670629,23.14,11,0,11,有,無,有,6500,281,,0.0,0,未登記建物,RPQNMLNLJHKGFAN48CC,分租套房,無,1140201~1140430,無,冷氣、熱水器、電視機、冰箱,一般代管
彰化市,租賃房屋,彰化縣彰化市民族路５２２號七樓之二,0.0,,,,1140121,土地0建物1車位0,七層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860226,29.11,1,0,1,有,有,有,5500,189,,0.0,0,續租案件；,RPRNMLNLJHKGFAN58CC,獨立套房,有,1140201~1150131,有,冷氣、熱水器、電視機、冰箱,社會住宅包租轉租
彰化市,租賃房屋,彰化縣彰化市景宗街４８號,0.0,,,,1140123,土地0建物1車位0,見其他登記事項,12,住宅大樓(11層含以上有電梯),住商用,鋼骨鋼筋混凝土造,0830112,212.70000000000002,3,2,2,有,有,無,17600,83,,0.0,0,,RPSNMLNLJHKGFAN68CC,整棟(戶)出租,有,1140201~1170131,有,熱水器、瓦斯或天然氣,社會住宅包租轉租
員林市,租賃房屋,彰化縣員林市永昌街８８巷１５號１１樓,0.0,,,,1140123,土地0建物1車位0,十一層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850212,141.07999999999998,3,2,2,有,有,無,9800,69,,0.0,0,此為國家住宅及都市更新中心社會住宅包租代管計畫之物件。管理費1200元由出租人負擔。,RPPNMLPJKHKGFDN78CC,整棟(戶)出租,有,1140201~1150131,有,冷氣、熱水器、洗衣機、瓦斯或天然氣,社會住宅代管
大村鄉,租賃房屋,彰化縣大村鄉仁愛街１１１號,0.0,,,,1140122,土地0建物1車位0,全,3,透天厝,住宅,鋼筋混凝土造,1100607,169.37,4,2,3,有,無,有,19800,117,,0.0,0,此為國家住宅及都市更新中心社會住宅包租代管計畫之物件。,RPQNMLPJKHKGFDN88CC,整棟(戶)出租,無,1140201~1150131,無,冷氣、熱水器、洗衣機、電視機、瓦斯或天然氣,社會住宅代管
員林市,租賃房屋,彰化縣員林市新義街３５０號,0.0,,,,1140123,土地0建物0車位0,全,5,透天厝,人行道、店舖、停車空間、住宅,鋼筋混凝土造,1020430,19.79,14,0,14,有,無,有,6800,344,,0.0,0,租金總額含網路費；其他網路電視；續租案件；,RPPNMLQJKHKGFDN88CC,分租套房,無,1140226~1140325,無,冷氣、熱水器、電視機、冰箱、有線電視、網路,一般代管
鹿港鎮,租賃房屋,彰化縣鹿港鎮工業西七路１-３３號,3024.0,,工業區,丁種建築用地,1140124,土地1建物2車位0,見其他登記事項,1,工廠,廠房、廠房附屬宿舍,鋼骨造、鋼筋混凝土造,1131113,1808.37,0,0,0,無,無,無,367500,,,0.0,0,租金總額含稅；,RPPNMLLKKHKGFCN38CC,,無,1140401~1190331,無,,
員林市,租賃房屋,彰化縣員林市中正路５６７號一樓,0.0,,,,1140129,土地0建物1車位0,一層,4,店面(店鋪),住工用,鋼筋混凝土造,0710709,50.02,0,1,1,有,無,無,25000,500,,0.0,0,本件只租一樓店鋪。租金總額含稅；,RPPNMLRKKHKGFDN09CC,,無,1140215~1150214,無,,
溪湖鎮,租賃房屋,彰化縣溪湖鎮員鹿路三段１８２號,0.0,,,,1140126,土地0建物1車位0,全,2,透天厝,住家用,木石磚造（磚石造）,0250101,86.9,2,2,3,有,無,有,17000,196,,0.0,0,,RPPNMLRKKHKGFHN86CC,整棟(戶)出租,無,1140201~1150131,無,冷氣、熱水器、洗衣機、冰箱,社會住宅代管
彰化市,租賃房屋,彰化縣彰化市中正路二段４１２號３-１室,0.0,,,,1140123,土地0建物0車位0,全,5,透天厝,診所，停車空間，住宅，樓梯間,鋼筋混凝土造,0660919,19.83,10,1,10,有,無,有,12000,605,,0.0,0,,RPPNMLSKKHKGFAN88CC,分租套房,無,1140123~1140722,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
北斗鎮,租賃房屋,彰化縣北斗鎮興農路二段１４１巷２１弄２１號,0.0,,,,1140123,土地0建物1車位0,全,3,透天厝,住宅,鋼筋混凝土造,1130104,114.44,4,2,3,有,有,無,19800,173,,0.0,0,,RPPNMLKLKHKGFFN68CC,整棟(戶)出租,無,1140201~1150131,無,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
彰化市,租賃房屋,彰化縣彰化市民生路３２０號,111.0,住,,,1140123,土地3建物1車位0,全,2,透天厝,住商用,鋼筋混凝土加強磚造,0420211,116.66,0,0,0,無,無,無,20000,171,,0.0,0,租賃期間有約定不同租金前二個月為裝修期免付租金。；,RPSNMLLLKHKGFAN58CC,,無,1140215~1190214,無,,
