編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLPJKHKGFDN78CC,29,84.32,住家用,鋼筋混凝土造,85年2月12日,十三層,,
RPPNMLPJKHKGFDN78CC,29,56.76,陽台、水塔、車道、機械室、梯間、機房、電梯、樓梯、受電室,鋼筋混凝土造,85年2月12日,十三層,,
RPPNMLQJKHKGFDN88CC,12,19.79,人行道、店舖、停車空間、住宅,鋼筋混凝土造,102年4月30日,五層,,
RPPNMLRKKHKGFHN86CC,89,86.90,住家用,木石磚造（磚石造）,25年1月1日,二層,,
RPPNMLKLKHKGFFN68CC,1,114.44,住宅,鋼筋混凝土造,113年1月4日,三層,,
RPQNMLPJKHKGFDN88CC,4,169.37,住宅,鋼筋混凝土造,110年6月7日,三層,,
RPPNMLSKKHKGFAN88CC,47,19.83,診所，停車空間，住宅，樓梯間,鋼筋混凝土造,66年9月19日,四層,,
RPPNMLNLJHKGFAN38CC,47,23.14,住商用,鋼筋混凝土加強磚造,67年6月29日,二層,,
RPQNMLNLJHKGFAN48CC,47,23.14,住商用,鋼筋混凝土加強磚造,67年6月29日,二層,,
RPSNMLNLJHKGFAN68CC,31,174.93,住商用,鋼骨鋼筋混凝土造,83年1月12日,十二層,,
RPSNMLLLKHKGFAN58CC,72,116.66,住商用,鋼筋混凝土加強磚造,42年2月11日,二層,,
RPSNMLNLJHKGFAN68CC,31,37.77,避難室兼停車空間、梯間、門廳、蓄水池、機械室、車道、管理員室,鋼骨混凝土造,83年1月12日,十二層,,
RPRNMLNLJHKGFAN58CC,28,18.30,住家用,鋼筋混凝土造,86年2月26日,九層,,
RPRNMLNLJHKGFAN58CC,28,10.81,防空避難室、停車場、梯間、門廳、汽車昇降機走道,鋼筋混凝土造,86年2月26日,九層,,
RPPNMLRKKHKGFDN09CC,43,50.02,住工用,鋼筋混凝土造,71年7月9日,四層,,
RPPNMLLKKHKGFCN38CC,,1773.02,廠房、廠房附屬宿舍,鋼骨造、鋼筋混凝土造,113年11月13日,一層,,
RPPNMLLKKHKGFCN38CC,,35.35,台電配電室、發電機消防室,鋼骨造、鋼筋混凝土造,113年11月13日,一層,,
