鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
新竹市,房地(土地+建物),新竹市新竹市建中路４１號　　,26.2,住,,,1140203,土地1建物1車位0,一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870410,126.16,3,2,2,有,有,15000000,118906,,0.0,0,,RPXNMLOJKHKGFAO56DA,78.21,0.0,7.37,有,001
新竹市,房地(土地+建物),新竹市新竹市大湖路５２巷３８號,132.45,住,,,1140210,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1131213,247.18,4,2,4,有,無,15800000,63921,,0.0,0,,RPROMLMKKHKGFAO58DA,222.43,0.0,24.75,無,
新竹市,房地(土地+建物),新竹市新竹市成功路１９２巷９０弄２３號　　　,91.72,,鄉村區,乙種建築用地,1140212,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0670912,103.5,3,3,3,有,無,9000000,86957,,0.0,0,頂樓加蓋；,RPVNMLRKKHKGFAO76DA,103.5,0.0,0.0,無,002
新竹市,房地(土地+建物),新竹市新竹市四維路６３號五樓之１、之２,6.01,商,,,1140204,土地1建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850521,68.92,3,1,1,有,有,8020000,116367,,0.0,0,陽台外推；,RPVPMLOKKHKGFAO66DA,49.35,0.0,3.12,有,003
新竹市,房地(土地+建物)+車位,新竹市新竹市高翠路６７號六樓之５,8.63,住,,,1140208,土地1建物1車位1,六層,六層,華廈(10層含以下有電梯),辦公用,鋼筋混凝土造,0960331,36.06,1,1,1,有,有,2600000,72102,坡道平面,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPPMLTKKHKGFAO56DA,13.0,0.0,0.0,有,004
新竹市,土地,新莊段414地號,318.79,住,,,1140203,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,20250000,63521,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLRKKHKGFAO98EA,0.0,0.0,0.0,無,
新竹市,土地,西濱段451地號,6.62,住,,,1140214,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,600000,90634,,0.0,0,,RPOOMLOKKHKGFAO48DA,0.0,0.0,0.0,無,005
新竹市,土地,港北段24-6地號,113.66,都市：其他:第一之一種住宅區,,,1140207,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,11689200,102844,,0.0,0,,RPTPMLTKKHKGFAO96DA,0.0,0.0,0.0,無,
新竹市,車位,新竹市新竹市大學路５６號地下２樓　,1.31,住,,,1140207,土地2建物1車位1,地下二層,二十一層,其他,商業用,鋼筋混凝土造,0851114,31.4,0,0,0,無,有,750000,,坡道平面,0.0,750000,僅車位交易；,RPRNMLTKKHKGFAO66EA,0.0,0.0,0.0,有,006
新竹市,土地,西濱段437地號,9.92,住,,,1140204,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,665400,67077,,0.0,0,,RPUNMLPJKHKGFAO98DA,0.0,0.0,0.0,無,007
新竹市,土地,西濱段452地號,2.85,住,,,1140214,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,90735,31837,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPROMLOKKHKGFAO78DA,0.0,0.0,0.0,無,005
新竹市,土地,西濱段452地號,19.24,住,,,1140214,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1746000,90748,,0.0,0,,RPSPMLOKKHKGFAO98DA,0.0,0.0,0.0,無,005
新竹市,房地(土地+建物)+車位,新竹市新竹市中華路三段１０號３樓之１９,7.22,商,,,1140214,土地1建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890417,77.13,1,1,1,有,有,5000000,64826,坡道機械,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLLLKHKGFAO38EA,43.69,0.0,6.75,有,
新竹市,土地,竹蓮段1910-13地號,26.0,住,,,1140213,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2895100,111350,,0.0,0,政府機關標讓售；,RPRNMLLLKHKGFAO58EA,0.0,0.0,0.0,無,
新竹市,土地,湖港段1348地號,21.24,,一般農業區,甲種建築用地,1140212,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,274045,12902,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLOLKHKGFAO68DA,0.0,0.0,0.0,無,010
新竹市,土地,雅溪段23地號,138.94,,山坡地保育區,丙種建築用地,1140109,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2976095,21420,,0.0,0,,RPUNMLKKJHKGFAO48DA,0.0,0.0,0.0,無,
新竹市,房地(土地+建物),新竹市新竹市柏川三路３號,161.01,,山坡地保育區,丙種建築用地,1140115,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0860124,265.44,4,3,5,有,有,25500000,96067,,0.0,0,其他增建；,RPRNMLKKKHKGFAO28DA,231.27,34.17,0.0,無,011
新竹市,房地(土地+建物),新竹市新竹市中山路６４０巷４４７號,92.86,住,,,1140104,土地2建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土造,0981210,257.1,4,2,6,有,無,28000000,108907,,0.0,0,一樓採光罩陽台外推；,RPPNMLPKKHKGFAO58DA,221.01,9.93,26.16,無,012
新竹市,房地(土地+建物)+車位,新竹市新竹市虎林街１８５巷２號四樓之２,20.76,,特定農業區,甲種建築用地,1140103,土地1建物1車位1,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1100105,85.73,2,2,1,有,有,10800000,125977,一樓平面,16.49,0,,RPPNMLQKKHKGFAO68DA,45.72,0.0,6.59,有,013
新竹市,土地,中寮段490地號,354.62,都市：其他:道路用地,,,1140114,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,14854114,41887,,0.0,0,包含公共設施保留地用地；,RPRNMLRKKHKGFAO98DA,0.0,0.0,0.0,無,014
新竹市,房地(土地+建物)+車位,新竹市新竹市東竹路１５號八樓,13.69,都市：其他:住商混合區,,,1140107,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101007,110.72,2,2,1,有,有,21000000,189685,坡道平面,0.0,0,,RPXNMLRKKHKGFAO96DA,52.61,0.0,4.31,有,015
新竹市,房地(土地+建物),新竹市新竹市水田街５０巷１９之６號,9.75,住,,,1140123,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0801230,35.15,1,1,1,有,有,2500000,71124,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLRKKHKGFAO88EA,22.61,2.55,0.0,無,016
新竹市,房地(土地+建物),新竹市新竹市建中路５６號六樓,28.66,住,,,1140113,土地1建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890930,141.6,3,2,2,有,有,19000000,134181,,0.0,0,,RPSRMLOKJHKGFAO09DA,86.01,0.0,11.06,有,
新竹市,房地(土地+建物),新竹市新竹市元培街８號２Ｆ之３,17.67,商,,,1140108,土地2建物1車位0,二層,八層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0831123,129.5,4,0,1,有,有,7900000,61004,,0.0,0,,RPOOMLRKJHKGFAO68DA,99.84,0.0,2.54,有,017
新竹市,土地,千甲段400地號,776.52,農,,,1140108,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,28880000,37192,,0.0,0,未登記建物；,RPRPMLRKKHKGFAO56DA,0.0,0.0,0.0,無,018
新竹市,房地(土地+建物),新竹市新竹市經國路二段５０１巷３５號,110.0,住,,,1140107,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0640926,124.66,4,2,3,有,無,18500000,148404,,0.0,0,增建：頂樓、防火巷、一樓增建沿著加蓋、懸空增建、一樓空地、遮雨棚陽台外推；其他增建；,RPSNMLSKKHKGFAO56DA,110.08,10.31,4.27,有,019
新竹市,房地(土地+建物),新竹市新竹市忠孝路１６５巷２５號４樓,21.49,住,,,1140105,土地1建物1車位0,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840927,94.08999999999999,2,2,2,有,有,11300000,120098,,0.0,0,,RPOOMLQJJHKGFAO48DA,64.11,0.0,7.85,有,
新竹市,土地,東橋段4-1地號,11.88,都市：其他:道路用地,,,1140108,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1260000,106061,,0.0,0,包含公共設施保留地用地；,RPWNMLTJJHKGFAO86DA,0.0,0.0,0.0,無,
新竹市,土地,東濱段52地號,179.34,住,,,1140107,土地5建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6527814,36399,,0.0,0,包含公共設施保留地用地；,RPOPMLNJKHKGFAO38DA,0.0,0.0,0.0,無,020
新竹市,土地,千甲段445-10地號,864.37,農,,,1140113,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,40000000,46276,,0.0,0,,RPTPMLOKKHKGFAO09DA,0.0,0.0,0.0,無,021
新竹市,房地(土地+建物)+車位,新竹市新竹市明湖路２４３巷１７８號二樓,53.65,住,,,1140115,土地1建物1車位1,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1130416,199.84,3,2,2,有,有,26000000,130104,坡道平面,47.25,0,,RPPNMLTKKHKGFAO98DA,97.4,0.0,8.58,有,022
新竹市,房地(土地+建物)+車位,新竹市新竹市武陵路７３巷２１號六樓,59.71,住,,,1140105,土地1建物1車位1,六層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0930210,193.0,4,2,2,有,有,21800000,112953,坡道平面,0.0,0,,RPUNMLTKKHKGFAO86DA,114.18,0.0,12.16,有,
新竹市,房地(土地+建物)+車位,新竹市新竹市北大路３３８號１８樓之１,9.57,商,,,1140105,土地1建物1車位1,十八層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860530,142.95,3,2,2,有,有,15800000,110528,坡道平面,0.0,0,其他增建；,RPXNMLTKKHKGFAO17DA,82.18,0.0,10.41,有,023
新竹市,房地(土地+建物)+車位,新竹市新竹市西濱路一段４３７號六樓之１,20.16,住,,,1140119,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1130129,117.05,2,2,2,有,有,12950000,110636,坡道機械,22.73,0,增建：隔間其他增建；,RPWOMLTKKHKGFAO17DA,61.32,0.0,4.56,有,024
新竹市,房地(土地+建物),新竹市新竹市民主路８３號三樓之５,12.64,都市：其他:第二種住宅區,,,1140113,土地2建物1車位0,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0951022,44.64,1,0,1,有,有,3040000,68100,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPUOMLPKJHKGFAO09DA,28.42,1.05,0.0,有,
新竹市,房地(土地+建物)+車位,新竹市新竹市光復路一段４０３巷８弄１２號三樓之５,25.75,住,,,1140116,土地1建物1車位1,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1040623,91.92,2,2,2,有,有,15600000,169713,升降機械,4.43,0,,RPVOMLLLJHKGFAO88DA,52.88,5.44,3.74,有,025
新竹市,房地(土地+建物),新竹市新竹市北新街１３１號九樓之２５,6.66,住,,,1140124,土地2建物1車位0,九層,十層,華廈(10層含以下有電梯),辦公用,鋼筋混凝土造,0980319,51.36,2,1,1,有,有,6300000,122664,,0.0,0,夾層；急買急賣；,RPTNMLNJKHKGFAO68DA,27.51,1.75,3.3,有,
新竹市,土地,水源段1105地號,99.18,,特定農業區,農牧用地,1140105,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5550000,55959,,0.0,0,,RPQNMLNKKHKGFAO48DA,0.0,0.0,0.0,無,026
新竹市,土地,南華段217地號,124.15,住,,,1140105,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,12000000,96657,,0.0,0,,RPROMLRKKHKGFAO09DA,0.0,0.0,0.0,無,
新竹市,土地,千甲段423地號,389.97,農,,,1140117,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,14750000,37823,,0.0,0,,RPVNMLSKKHKGFAO86DA,0.0,0.0,0.0,無,027
