編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPROMLMKKHKGFAO58DA,,247.18,集合住宅、停車空間,鋼筋混凝土造,113年12月13日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPXNMLOJKHKGFAO56DA,27,85.11,住宅,鋼筋混凝土造,87年4月10日,十二層,一層 陽台,全筆移轉
RPXNMLOJKHKGFAO56DA,27,.28,店舖,鋼筋混凝土造,87年4月10日,十二層,一層 陽台,持分移轉
RPXNMLOJKHKGFAO56DA,27,.18,店舖,鋼筋混凝土造,87年4月10日,十二層,一層 陽台,持分移轉
RPXNMLOJKHKGFAO56DA,27,18.06,住家用、突出物、梯間,鋼筋混凝土造,87年4月10日,十二層,,持分移轉
RPXNMLOJKHKGFAO56DA,27,.06,住家用、突出物、梯間,鋼筋混凝土造,87年4月10日,十二層,,持分移轉
RPXNMLOJKHKGFAO56DA,27,.04,住家用、突出物、梯間,鋼筋混凝土造,87年4月10日,十二層,,持分移轉
RPXNMLOJKHKGFAO56DA,27,22.29,住家用、地下室、夾層,鋼筋混凝土造,87年4月10日,十二層,,持分移轉
RPXNMLOJKHKGFAO56DA,27,.05,住家用、地下室、夾層,鋼筋混凝土造,87年4月10日,十二層,,持分移轉
RPXNMLOJKHKGFAO56DA,27,.08,住家用、地下室、夾層,鋼筋混凝土造,87年4月10日,十二層,,持分移轉
RPRNMLTKKHKGFAO66EA,28,.75,商業用,鋼筋混凝土造,85年11月14日,二十一層,地下二層,持分移轉
RPRNMLTKKHKGFAO66EA,28,.00,共有部分,鋼筋混凝土造,85年11月14日,二十一層,,持分移轉
RPRNMLTKKHKGFAO66EA,28,.16,共有部分,鋼筋混凝土造,85年11月14日,二十一層,,持分移轉
RPRNMLTKKHKGFAO66EA,28,30.43,共有部分,鋼筋混凝土造,85年11月14日,二十一層,,持分移轉
RPRNMLTKKHKGFAO66EA,28,.00,共有部分,鋼筋混凝土造,85年11月14日,二十一層,,持分移轉
RPRNMLTKKHKGFAO66EA,28,.06,共有部分,鋼筋混凝土造,85年11月14日,二十一層,,持分移轉
RPPNMLLLKHKGFAO38EA,25,50.40,住家用,鋼筋混凝土造,89年4月17日,十四層,三層 陽台,全筆移轉
