編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPROMLMKKHKGFAO58DA,朝山段,132.45,都市：其他:第二之一種住宅區,1,1,全筆移轉,04620003
RPQNMLRKKHKGFAO98EA,新莊段,318.79,都市：其他:第二之一種住宅區,1,1,全筆移轉,04140000
RPXNMLOJKHKGFAO56DA,東明段,26.20,都市：其他:第一種住宅區,100000000,67396,持分移轉,00490000
RPOOMLOKKHKGFAO48DA,西濱段,6.62,都市：其他:第一之一種住宅區,36000,1694,持分移轉,04510000
RPROMLOKKHKGFAO78DA,西濱段,1.20,都市：其他:第一之一種住宅區,36000,306,持分移轉,04510000
RPROMLOKKHKGFAO78DA,西濱段,1.65,都市：其他:第一之一種住宅區,180000,729,持分移轉,04520000
RPSPMLOKKHKGFAO98DA,西濱段,3.91,都市：其他:第一之一種住宅區,36000,1000,持分移轉,04510000
RPSPMLOKKHKGFAO98DA,西濱段,15.33,都市：其他:第一之一種住宅區,180000,6771,持分移轉,04520000
RPQNMLOLKHKGFAO68DA,湖港段,21.24,非都市：一般農業區 ; 非都市編定：甲種建築用地,1920,9,持分移轉,13480000
RPRNMLLLKHKGFAO58EA,竹蓮段,26.00,都市：其他:第二種住宅區,1,1,全筆移轉,19100013
RPRNMLTKKHKGFAO66EA,成功段,1.29,都市：其他:第二種住宅區,100000,10,持分移轉,00260000
RPRNMLTKKHKGFAO66EA,大學段,.02,都市：其他:第二種住宅區,100000,10,持分移轉,04950000
RPPNMLLLKHKGFAO38EA,聚吉段,7.22,都市：其他:第二種商業區,100000,360,持分移轉,00550000
RPTPMLTKKHKGFAO96DA,港北段,113.66,都市：其他:第一之一種住宅區,1,1,全筆移轉,00240006
RPVNMLRKKHKGFAO76DA,新雅段,91.72,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,02750000
RPVPMLOKKHKGFAO66DA,聚吉段,6.01,都市：其他:第二種商業區,100000,705,持分移轉,00120000
RPPNMLRKKHKGFAO88EA,北門段,9.75,都市：其他:第二種住宅區,57000,975,持分移轉,22720000
RPRNMLRKKHKGFAO98DA,中寮段,354.62,都市：其他:道路用地,216000,115868,持分移轉,04900000
RPPPMLTKKHKGFAO56DA,科學段一小段,8.63,都市：其他:第一種住宅區,2000000,7948,持分移轉,03340000
RPRPMLRKKHKGFAO56DA,千甲段,776.52,都市：其他:農業區,40,21,持分移轉,04000000
RPSNMLSKKHKGFAO56DA,民富段,110.00,都市：其他:第二種住宅區,1,1,全筆移轉,30130000
RPRNMLKKKHKGFAO28DA,明湖段,161.01,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,06270010
RPOOMLRKJHKGFAO68DA,香中段,2.93,都市：其他:第一種商業區,10000,362,持分移轉,07980000
RPOOMLRKJHKGFAO68DA,香中段,14.74,都市：其他:第一種商業區,10000,362,持分移轉,08070001
RPTPMLOKKHKGFAO09DA,千甲段,238.52,都市：其他:農業區,10,2,持分移轉,04450000
RPTPMLOKKHKGFAO09DA,千甲段,312.92,都市：其他:農業區,1,1,全筆移轉,04450009
RPTPMLOKKHKGFAO09DA,千甲段,312.93,都市：其他:農業區,1,1,全筆移轉,04450010
RPSRMLOKJHKGFAO09DA,光復段,28.66,都市：其他:第一種住宅區,100000000,119448,持分移轉,13160000
RPXNMLRKKHKGFAO96DA,東光段,13.69,都市：其他:住商混合區,100000,163,持分移轉,02380002
RPOPMLNJKHKGFAO38DA,東濱段,123.94,都市：其他:機關用地,9,3,持分移轉,00520000
RPOPMLNJKHKGFAO38DA,東濱段,.40,都市：其他:第一之一種住宅區,9,3,持分移轉,00520001
RPOPMLNJKHKGFAO38DA,東濱段,1.73,都市：其他:道路用地,9,3,持分移轉,00520002
RPOPMLNJKHKGFAO38DA,東濱段,40.90,都市：其他:道路用地,9,3,持分移轉,00530003
RPOPMLNJKHKGFAO38DA,東濱段,12.37,都市：其他:停車場用地,9,1,持分移轉,02970000
RPWNMLTJJHKGFAO86DA,東橋段,11.88,都市：其他:道路用地,1,1,全筆移轉,00040001
RPWOMLTKKHKGFAO17DA,竹港段,20.16,都市：其他:第一之一種住宅區,100000,1108,持分移轉,07770000
RPUOMLPKJHKGFAO09DA,中央段,12.51,都市：其他:第二種住宅區,10000,303,持分移轉,01890000
RPUOMLPKJHKGFAO09DA,中央段,.12,都市：其他:道路用地,30000,909,持分移轉,01920001
RPTNMLNJKHKGFAO68DA,中雅段,6.45,都市：其他:第二種住宅區,100000,265,持分移轉,00960002
RPTNMLNJKHKGFAO68DA,崙子段,.21,都市：其他:第二種住宅區,100000,265,持分移轉,20680005
RPUNMLPJKHKGFAO98DA,西濱段,9.92,都市：其他:第一之一種住宅區,43892,300,持分移轉,04370000
RPROMLRKKHKGFAO09DA,南華段,124.15,都市：其他:第一種住宅區,1,1,全筆移轉,02170000
RPVNMLSKKHKGFAO86DA,千甲段,389.97,都市：其他:農業區,1,1,全筆移轉,04230000
RPUOMLTKKHKGFAO96DA,仙水段,55.83,都市：其他:第一種商業區,100000,3916,持分移轉,06610001
RPVOMLTKKHKGFAO07DA,仙水段,52.42,都市：其他:第一種商業區,100000,3677,持分移轉,06610001
RPPNMLTKKHKGFAO98DA,育賢段,53.65,都市：其他:第一種住宅區,100000,1571,持分移轉,00040001
RPRNMLKLKHKGFAO38DA,東濱段,85.00,都市：其他:農業區,1,1,全筆移轉,08780000
RPRNMLKLKHKGFAO38DA,東濱段,85.35,都市：其他:農業區,1,1,全筆移轉,08790000
RPQNMLNKKHKGFAO48DA,水源段,99.18,非都市：特定農業區 ; 非都市編定：農牧用地,300000,13220,持分移轉,11050000
RPTNMLSKKHKGFAO76EA,光復段,7.45,都市：其他:第一種住宅區,10000,6,持分移轉,09440000
RPTNMLSKKHKGFAO76EA,光復段,.10,都市：其他:綠地用地,10000,6,持分移轉,09440004
RPTNMLSKKHKGFAO76EA,光復段,.01,都市：其他:綠地用地,10000,6,持分移轉,09440005
RPTNMLSKKHKGFAO76EA,光復段,.55,都市：其他:第一種住宅區,10000,6,持分移轉,09450000
RPTNMLSKKHKGFAO76EA,光復段,.03,都市：其他:第一種住宅區,10000,6,持分移轉,09450001
RPTNMLSKKHKGFAO76EA,光復段,2.04,都市：其他:第一種住宅區,10000,6,持分移轉,09460000
RPOOMLQJJHKGFAO48DA,東明段,21.49,都市：其他:第一種住宅區,10000,419,持分移轉,08400000
RPUNMLTKKHKGFAO86DA,武陵段,59.71,都市：其他:第一種住宅區,50000,431,持分移轉,11410033
RPXNMLTKKHKGFAO17DA,民富段,9.57,都市：其他:第二種商業區,100000,677,持分移轉,26610000
RPUNMLKKJHKGFAO48DA,雅溪段,50.28,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,887040,161280,持分移轉,00220000
RPUNMLKKJHKGFAO48DA,雅溪段,88.66,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,887040,161280,持分移轉,00230000
RPOPMLRKKHKGFAO88DA,復中段,38.07,都市：其他:第二種住宅區,100000,4202,持分移轉,07930000
RPOOMLOJKHKGFAO38DA,東濱段,16.66,都市：其他:第一之一種住宅區,21,1,持分移轉,05750000
RPOOMLOJKHKGFAO38DA,東濱段,.79,都市：其他:第一之一種住宅區,57,1,持分移轉,05750011
RPOOMLOJKHKGFAO38DA,東濱段,44.44,都市：其他:第一之一種住宅區,1,1,全筆移轉,05750032
RPOOMLOJKHKGFAO38DA,東濱段,.13,都市：其他:第一之一種住宅區,57,1,持分移轉,05750063
RPSOMLRKKHKGFAO56DA,香中段,33.01,都市：其他:第一種住宅區,10000,483,持分移轉,12410000
RPQNMLSKKHKGFAO09EA,東明段,6.75,都市：其他:第一種商業區,10000,32,持分移轉,00770000
RPUNMLLLKHKGFAO78DA,西門段三小段,6.51,都市：其他:第二種商業區,10000,63,持分移轉,00180000
RPVOMLLLJHKGFAO88DA,介壽段,25.75,都市：其他:第二種住宅區,100000,6362,持分移轉,05660000
RPUNMLOKKHKGFAO98DA,柴橋段,14.10,都市：其他:甲之三種風景區,100000,102,持分移轉,08260000
RPWNMLNKKHKGFAO09DA,茄苳段,37.37,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,51,持分移轉,01590000
RPWNMLNKKHKGFAO09DA,茄苳段,9.25,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,51,持分移轉,01590003
RPRPMLTKKHKGFAO76DA,光華段,1.57,都市：其他:第二種住宅區,100000,345,持分移轉,12370000
RPRPMLTKKHKGFAO76DA,光華段,.07,都市：其他:第二種商業區,100000,345,持分移轉,12370001
RPRPMLTKKHKGFAO76DA,光華段,5.18,都市：其他:第二種商業區,100000,345,持分移轉,12390000
RPRPMLTKKHKGFAO76DA,光華段,.06,都市：其他:第二種商業區,100000,345,持分移轉,12390008
RPUOMLTKKIJGFAO96DA,東山段一小段,3.96,都市：其他:第二種住宅區,10000,24,持分移轉,09060000
RPSNMLTKKHKGFAO66DA,東明段,34.41,都市：其他:第一種住宅區,100000000,88519,持分移轉,00490000
RPUPMLTKKHKGFAO07DA,聚吉段,23.11,都市：其他:第二種商業區,100000,3196,持分移轉,00490003
RPPOMLKLKHKGFAO28DA,大學段,7.11,都市：其他:第二種住宅區,10000,195,持分移轉,06450000
RPQOMLKLKHKGFAO38DA,關東段,2.24,都市：其他:第一種住宅區,10000,63,持分移轉,07700000
RPQOMLKLKHKGFAO38DA,長春段,49.06,都市：其他:第一種住宅區,10000,63,持分移轉,16310000
RPTOMLRKJHKGFAO56DA,長春段,22.35,都市：其他:第一種住宅區,10000,236,持分移轉,14520000
RPOOMLLLKHKGFAO28DA,東山段一小段,31.25,都市：其他:第二種住宅區,40,2,持分移轉,08300000
RPPNMLPKKHKGFAO58DA,唐高段,23.86,都市：其他:第一種住宅區,7,1,持分移轉,06500000
RPPNMLPKKHKGFAO58DA,唐高段,69.00,都市：其他:第一種住宅區,1,1,全筆移轉,06500001
RPPNMLQKKHKGFAO68DA,虎林段,20.76,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,751,持分移轉,00950000
RPRPMLMKKHKGFAO68DA,南湖段,1.99,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,100000,255,持分移轉,00070000
RPRPMLMKKHKGFAO68DA,南湖段,.27,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,100000,255,持分移轉,00070002
RPRPMLMKKHKGFAO68DA,南湖段,.31,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,100000,255,持分移轉,00070023
RPRPMLMKKHKGFAO68DA,南湖段,3.06,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,200000,2066,持分移轉,00070039
RPRPMLMKKHKGFAO68DA,南湖段,11.37,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,200000,2066,持分移轉,00080003
RPRPNLOKJHKGFAO88DA,東光段,14.00,都市：其他:第一種商業區,1,1,全筆移轉,04270000
RPRPNLOKJHKGFAO88DA,東光段,3.00,都市：其他:道路用地,1,1,全筆移轉,04270001
RPRPNLOKJHKGFAO88DA,東光段,48.00,都市：其他:第一種商業區,1,1,全筆移轉,04280000
RPRPNLOKJHKGFAO88DA,東光段,6.00,都市：其他:道路用地,1,1,全筆移轉,04280001
RPTOMLRKKHKGFAO66DA,竹蓮段,4.12,都市：其他:第一種住宅區,100000,3407,持分移轉,27500000
RPTOMLRKKHKGFAO66DA,竹蓮段,2.69,都市：其他:第一種住宅區,100000,3407,持分移轉,27510000
RPPNMLRKKHKGFAO78DA,民主段一小段,10.85,都市：其他:第二種商業區,10000,51,持分移轉,00140000
RPQNMLTKKHKGFAO56EA,聚吉段,5.85,都市：其他:第二種商業區,10000,114,持分移轉,00520001
RPQOMLKKJHKGFAO18DA,和平段,13.45,都市：其他:第二種住宅區,10000,15,持分移轉,04500000
RPRNMLQJJHKGFAO68DA,西門段三小段,5.93,都市：其他:第二種商業區,100000,574,持分移轉,00180000
RPOPMLQJJHKGFAO58DA,光武段,24.54,都市：其他:第一種住宅區,10000,59,持分移轉,11730000
RPRNMLMKKHKGFAO48DA,古賢段,158.03,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,03890003
RPSNMLLLKHKGFAO58DA,五福段,.24,都市：其他:乙種工業區,1,1,全筆移轉,08730000
RPSNMLLLKHKGFAO58DA,五福段,94.73,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,08790000
RPQOMLKKKHKGFAO28DA,光華段,116.00,都市：其他:第二種住宅區,1,1,全筆移轉,15450000
RPSOMLTKKHKGFAO76DA,自由段,26.00,都市：其他:第一種住宅區,5,1,持分移轉,06440000
