編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPRNMLTKKHKGFAO66EA,坡道平面,750000,,地下二樓
RPPNMLLLKHKGFAO38EA,坡道機械,0,,地下二樓
RPPPMLTKKHKGFAO56DA,坡道平面,0,,地下二樓
RPXNMLRKKHKGFAO96DA,坡道平面,0,,地下二樓
RPWOMLTKKHKGFAO17DA,坡道機械,0,22.73,地下二樓
RPUOMLTKKHKGFAO96DA,坡道平面,1550000,,地下一樓
RPVOMLTKKHKGFAO07DA,坡道平面,1500000,,地下一樓
RPPNMLTKKHKGFAO98DA,坡道平面,0,47.25,地下一樓
RPUNMLTKKHKGFAO86DA,坡道平面,0,,地下一樓
RPXNMLTKKHKGFAO17DA,坡道平面,0,,地下三樓
RPOPMLRKKHKGFAO88DA,坡道平面,0,45.01,地下三樓
RPOPMLRKKHKGFAO88DA,坡道平面,0,45.01,地下三樓
RPVOMLLLJHKGFAO88DA,升降機械,0,4.43,一樓
RPRPMLTKKHKGFAO76DA,坡道機械,700000,16.27,地下五樓含以下
RPUPMLTKKHKGFAO07DA,坡道平面,0,14.60,地下二樓
RPQOMLKLKHKGFAO38DA,坡道平面,0,,地下二樓
RPQOMLKLKHKGFAO38DA,坡道平面,0,,地下二樓
RPTOMLRKJHKGFAO56DA,坡道機械,0,,地下一樓
RPOOMLLLKHKGFAO28DA,坡道平面,0,,地下一樓
RPPNMLQKKHKGFAO68DA,一樓平面,0,16.49,一樓
RPRPMLMKKHKGFAO68DA,坡道平面,0,24.94,地下二樓
RPPNMLRKKHKGFAO78DA,坡道平面,0,18.85,地下三樓
RPQOMLKKJHKGFAO18DA,坡道平面,0,32.72,地下一樓
RPOPMLQJJHKGFAO58DA,坡道平面,1200000,,地下一樓
RPOPMLQJJHKGFAO58DA,坡道平面,1200000,,地下一樓
RPXNMLKKKHKGFAO88DA,坡道平面,0,28.10,地下二樓
RPOOMLSKKHKGFAO88DA,坡道機械,0,,地下三樓
RPSVMLOLJHKGFAO96DA,坡道平面,2500000,33.76,地下四樓
RPOQMLOLJHKGFAO68DA,坡道平面,3100000,33.76,地下一樓
RPWWMLOLJHKGFAO47DA,坡道平面,2900000,33.76,地下二樓
RPUPMLOLJHKGFAO56DA,坡道平面,2900000,33.76,地下二樓
RPXPMLOLJHKGFAO86DA,坡道平面,3100000,33.76,地下一樓
RPUQMLOLJHKGFAO66DA,坡道平面,2500000,33.76,地下四樓
RPXRMLOLJHKGFAO07DA,坡道平面,2500000,33.76,地下四樓
RPWPNLOLJHKGFAO86DA,坡道平面,2500000,33.76,地下四樓
RPUPNLOLJHKGFAO66DA,坡道平面,2500000,33.76,地下四樓
RPRQMLOLJHKGFAO98DA,坡道平面,2300000,33.76,地下四樓
RPUNMLRJKHKGFAO56DA,坡道平面,2900000,33.76,地下二樓
RPTOMLOLJHKGFAO98DA,坡道平面,1900000,33.76,地下四樓
RPVNMLMLJHKGFAO88DA,坡道機械,0,,地下一樓
RPRPMLOLJHKGFAO88DA,坡道平面,2000000,33.76,地下三樓
RPQRMLOLJHKGFAO98DA,坡道平面,1900000,33.76,地下四樓
RPRRMLOLJHKGFAO09DA,坡道平面,1900000,33.76,地下四樓
RPWQMLOLJHKGFAO86DA,坡道平面,1900000,33.76,地下四樓
RPPSMLOLJHKGFAO98DA,坡道平面,1900000,33.76,地下四樓
RPURMLOLJHKGFAO76DA,坡道平面,2100000,33.76,地下三樓
RPRVMLOLJHKGFAO86DA,坡道平面,2700000,33.76,地下三樓
RPXONLOLJHKGFAO86DA,坡道平面,3100000,33.76,地下一樓
RPRSMLOLJHKGFAO56DA,坡道平面,2700000,33.76,地下三樓
RPUTMLOLJHKGFAO96DA,坡道平面,2000000,33.76,地下三樓
RPRTMLOLJHKGFAO66DA,坡道平面,2000000,33.76,地下三樓
RPVTMLOLJHKGFAO07DA,坡道平面,2100000,33.76,地下二樓
RPPVMLOLJHKGFAO66DA,坡道平面,1900000,33.76,地下四樓
RPOWMLOLJHKGFAO66DA,坡道平面,1900000,33.76,地下四樓
RPWVMLOLJHKGFAO37DA,坡道平面,1900000,33.76,地下四樓
RPSWMLOLJHKGFAO07DA,坡道平面,2000000,33.76,地下三樓
RPTWMLOLJHKGFAO17DA,坡道平面,1900000,34.45,地下四樓
RPSNNLOLJHKGFAO88DA,坡道平面,2000000,33.76,地下三樓
RPQNNLOLJHKGFAO68DA,坡道平面,2000000,34.45,地下三樓
RPWUMLOLJHKGFAO27DA,坡道平面,1900000,33.76,地下四樓
RPVNNLOLJHKGFAO56DA,坡道平面,2200000,34.45,地下二樓
RPPSNLOLJHKGFAO09DA,坡道平面,2500000,33.76,地下四樓
RPWQNLOLJHKGFAO96DA,坡道平面,1900000,33.76,地下四樓
RPUOMLOLJHKGFAO09DA,坡道平面,2000000,33.76,地下三樓
RPVQNLOLJHKGFAO86DA,坡道平面,2000000,33.76,地下三樓
RPQSNLOLJHKGFAO56DA,坡道平面,2000000,33.76,地下三樓
RPTRMLOLJHKGFAO66DA,坡道平面,2000000,33.76,地下三樓
RPOSNLOLJHKGFAO98DA,坡道平面,2000000,33.76,地下三樓
RPOUMLOLJHKGFAO09DA,坡道平面,2100000,33.76,地下二樓
RPSSMLOLJHKGFAO66DA,坡道平面,2050000,33.07,地下二樓
RPPNNLOLJHKGFAO58DA,坡道平面,2100000,33.76,地下二樓
RPRNNLOLJHKGFAO78DA,坡道平面,2100000,33.76,地下二樓
RPTNNLOLJHKGFAO98DA,坡道平面,2100000,33.76,地下二樓
RPTPNLOLJHKGFAO56DA,坡道平面,1900000,33.76,地下四樓
RPTNMLRJKHKGFAO09DA,坡道平面,1900000,33.76,地下四樓
RPRUMLOLJHKGFAO76DA,坡道平面,2200000,33.76,地下一樓
RPPQMLOKKHKGFAO78DA,坡道平面,2400000,31.78,地下一樓
RPPQMLOKKHKGFAO78DA,坡道平面,2400000,31.78,地下一樓
RPXNNLOLJHKGFAO76DA,坡道平面,2100000,33.76,地下二樓
RPUSMLOLJHKGFAO86DA,坡道平面,2000000,33.76,地下三樓
RPWSMLOLJHKGFAO07DA,坡道平面,2000000,33.76,地下三樓
RPVSMLOLJHKGFAO96DA,坡道平面,2100000,33.76,地下二樓
RPTSMLOLJHKGFAO76DA,坡道平面,2100000,33.76,地下二樓
RPTTNLOLJHKGFAO96DA,坡道平面,2100000,33.76,地下二樓
RPRONLOLJHKGFAO88DA,坡道平面,2100000,33.76,地下二樓
RPWSNLOLJHKGFAO17DA,坡道平面,2100000,33.76,地下二樓
