編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSNMLQJKHKGFAO88CB,金山段,19.53,都市：住,100000,10979,持分移轉,06500000
RPRNMLKKKHKGFAO28CB,虎山段,23.97,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,539,持分移轉,05360000
RPPNMLKKKHKGFAO08CB,金雅段,29.81,非都市：鄉村區 ; 非都市編定：乙種建築用地,465353,7898,持分移轉,03820000
RPPNMLTJKHKGFAO88CB,西濱段,35.40,都市：住,10000,412,持分移轉,05980001
RPRNMLQJKHKGFAO78CB,金山段,20.18,都市：住,100000,11345,持分移轉,06500000
RPPNMLSKKHKGFAO98DB,成德段,5.05,都市：住,10000,955,持分移轉,03970002
RPPNMLSKKHKGFAO98DB,成德段,1.39,都市：住,10000,955,持分移轉,04020000
RPPNMLSKKHKGFAO98DB,成德段,3.77,都市：住,10000,955,持分移轉,04020003
RPPNMLSKKHKGFAO98DB,成德段,4.52,都市：住,10000,955,持分移轉,04050000
RPPNMLSKKHKGFAO98DB,成德段,.91,都市：住,10000,955,持分移轉,04060000
RPPNMLSKKHKGFAO98DB,成德段,18.52,都市：住,10000,955,持分移轉,04070000
