鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
新竹市,租賃房屋,新竹市新竹市中華路三段１０號９樓之２３,0.0,,,,1140123,土地0建物1車位0,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890417,44.25,1,0,1,有,有,有,9000,203,,0.0,0,續租案件；,RPUOMLNLJHKGFAO09CC,獨立套房,有,1140201~1150131,有,冷氣、熱水器、電視機、冰箱,社會住宅代管
新竹市,租賃房屋,新竹市新竹市四維路８９巷２之１號８樓之２,0.0,,,,1140122,土地0建物1車位0,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870302,101.08,3,2,2,有,有,有,15000,148,,0.0,0,續租案件；,RPVOMLNLJHKGFAO56CC,整棟(戶)出租,有,1140215~1150214,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
新竹市,租賃房屋,新竹市新竹市成功路６５巷２４號４樓之１５,0.0,,,,1140123,土地0建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850729,56.97,1,1,1,有,有,有,12500,219,,0.0,0,,RPWOMLNLJHKGFAO66CC,獨立套房,有,1140201~1150131,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
新竹市,租賃房屋,新竹市新竹市經國路二段１６０號５樓之８,0.0,,,,1140122,土地0建物1車位0,五層,10,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,0970730,43.6,1,0,1,有,有,有,15000,344,,0.0,0,租金總額含管理費；,RPTNMLOLJHKGFAO98CC,獨立套房,有,1140225~1150224,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
新竹市,租賃房屋,新竹市新竹市中山路４２號１８樓之３,0.0,,,,1140126,土地0建物1車位0,十八層,24,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1041030,145.20999999999998,3,2,2,有,有,無,59000,406,,0.0,0,租金含稅租金總額含管理費；續租案件；,RPPNMLNJKHKGFAO38CC,整棟(戶)出租,有,1140126~1150125,有,熱水器,一般轉租
新竹市,租賃房屋,新竹市新竹市西大路７０９巷１１號４樓之６,0.0,,,,1140124,土地0建物1車位0,四層,12,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0810129,44.900000000000006,1,0,1,有,有,有,9000,200,,0.0,0,,RPTNMLNJKHKGFAO78CC,獨立套房,有,1140125~1140929,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視,社會住宅包租轉租
新竹市,租賃房屋,新竹市新竹市忠山路４２號１６樓之３,0.0,,,,1140121,土地0建物1車位0,十六層,24,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1041030,145.20999999999998,3,2,2,有,有,無,57000,393,,0.0,0,租金含稅租金總額含管理費；續租案件；,RPUNMLNJKHKGFAO88CC,整棟(戶)出租,有,1140121~1150120,有,熱水器,一般轉租
新竹市,租賃房屋,新竹市新竹市自由路９５巷３８弄１０號４樓之３,0.0,,,,1140124,土地0建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800523,44.6,1,0,1,有,有,有,7500,168,,0.0,0,管理費500元由出租人負擔。,RPVNMLNJKHKGFAO98CC,獨立套房,有,1140125~1150124,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
新竹市,租賃房屋,新竹市新竹市光復路二段２７４號５樓之６,0.0,,,,1140124,土地0建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870211,43.870000000000005,1,0,1,有,有,有,14800,337,,0.0,0,租金總額含管理費；水費；電費；,RPWNMLNJKHKGFAO09CC,獨立套房,有,1140124~1150123,有,冷氣、電視機、冰箱,社會住宅代管
