編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPTNMLOJKHKGFAO88CC,,68.00,住家用,鋼筋混凝土造,,四層,,
RPTNMLOJKHKGFAO88CC,,17.25,共有部分,鋼筋混凝土造,,四層,,
RPUOMLNLJHKGFAO09CC,25,34.30,住家用,鋼筋混凝土造,89年4月17日,十四層,,
RPVOMLNLJHKGFAO56CC,27,81.82,住家用,鋼筋混凝土造,87年3月2日,十四層,,
RPUNMLNJKHKGFAO88CC,9,98.05,集合住宅,鋼筋混凝土造,104年10月30日,二十四層,,
RPUOMLNLJHKGFAO09CC,25,9.95,共有部分,鋼筋混凝土造,89年4月17日,十四層,,
RPWNMLNJKHKGFAO09CC,27,25.12,住家用,鋼筋混凝土造,87年2月11日,七層,,
RPVOMLNLJHKGFAO56CC,27,11.35,住家用,鋼筋混凝土造,87年3月2日,十四層,,
RPUNMLNJKHKGFAO88CC,9,17.42,共有部分,鋼筋混凝土造,104年10月30日,二十四層,,
RPWNMLNJKHKGFAO09CC,27,8.32,防空避難室兼停車空間、騎樓,鋼筋混凝土造,87年2月11日,七層,,
RPUNMLNJKHKGFAO88CC,9,29.74,共有部分,鋼筋混凝土造,104年10月30日,二十四層,,
RPVOMLNLJHKGFAO56CC,27,7.91,避難室、停車空間,鋼筋混凝土造,87年3月2日,十四層,,
RPWNMLNJKHKGFAO09CC,27,4.62,電梯樓梯間、機械室、水箱,鋼筋混凝土造,87年2月11日,七層,,
RPWNMLNJKHKGFAO09CC,27,5.81,通道間,鋼筋混凝土造,87年2月11日,七層,,
RPVNMLNJKHKGFAO98CC,34,32.42,住家用,鋼筋混凝土造,80年5月23日,七層,,
RPVNMLNJKHKGFAO98CC,34,12.18,共有部分,鋼筋混凝土造,80年5月23日,七層,,
RPTNMLNJKHKGFAO78CC,33,32.74,商業用,鋼筋混凝土造,81年1月29日,十二層,,
RPTNMLNJKHKGFAO78CC,33,3.51,共有部分,鋼筋混凝土造,81年1月29日,000,,
RPTNMLNJKHKGFAO78CC,33,8.65,共有部分,鋼筋混凝土造,81年1月29日,十二層,,
RPPNMLNJKHKGFAO38CC,9,98.05,集合住宅,鋼筋混凝土造,104年10月30日,二十四層,,
RPPNMLNJKHKGFAO38CC,9,17.42,共有部分,鋼筋混凝土造,104年10月30日,二十四層,,
RPPNMLNJKHKGFAO38CC,9,29.74,共有部分,鋼筋混凝土造,104年10月30日,二十四層,,
RPUNMLOJKHKGFAO98CC,31,34.94,住家用,鋼筋混凝土造,82年11月4日,九層,,
RPWOMLNLJHKGFAO66CC,28,36.72,住家用,鋼筋混凝土造,85年7月29日,五層,,
RPUNMLOJKHKGFAO98CC,31,15.47,共有部分,鋼筋混凝土造,82年11月4日,九層,,
RPWOMLNLJHKGFAO66CC,28,20.25,梯間走道停車空間機械室等公共設備,鋼筋混凝土造,85年7月29日,五層,,
RPTNMLOLJHKGFAO98CC,16,27.42,辦公室,鋼筋混凝土造,97年7月30日,十層,,
RPTNMLOLJHKGFAO98CC,16,16.18,防空避難室、停車空間、水箱、梯間、機械室,鋼筋混凝土造,97年7月30日,十層,,
RPWNMLOJKHKGFAO56CC,18,27.89,機電空間、辦公室,鋼筋混凝土造,96年6月6日,十層,,
RPWNMLOJKHKGFAO56CC,18,13.41,防空避難室兼停車空間、車道、梯間、機械室、水箱,鋼筋混凝土造,96年6月6日,十層,,
RPRNMLPJKHKGFAO78CC,41,75.90,住家用,鋼筋混凝土造,73年5月23日,五層,,
RPQNMLPJKHKGFAO68CC,2,74.96,集合住宅,鋼筋混凝土造,112年5月30日,二十九層,,
RPQNMLPJKHKGFAO68CC,2,39.56,共有部分,鋼筋混凝土造,112年5月30日,二十九層,,
RPRNMLQJKHKGFAO88CC,,77.35,住家用,鋼筋混凝土造,,四層,,
RPQNMLQJKHKGFAO78CC,31,74.73,住家用,鋼筋混凝土造,83年1月31日,九層,,
RPQNMLSKKHKGFAO09CC,,31.60,住家用,加強磚造,,二層,,
RPQNMLQJKHKGFAO78CC,31,14.86,見使用執照,鋼筋混凝土造,83年1月31日,九層,,
RPSNMLQJKHKGFAO98CC,10,22.55,集合住宅,鋼筋混凝土造,103年10月20日,十一層,,
RPQNMLQJKHKGFAO78CC,31,12.66,共有部分,鋼筋混凝土造,83年1月31日,九層,,
RPSNMLQJKHKGFAO98CC,10,27.96,共有部分,鋼筋混凝土造,103年10月20日,十一層,,
RPUNMLPJKHKGFAO09CC,,74.71,住家用,加強磚造,,四層,,
RPRNMLSKKHKGFAO56CC,,12.70,住家用,加強磚造,,二層,,
RPTNMLPJKHKGFAO98CC,6,91.64,集合住宅,鋼筋混凝土造,108年4月26日,二十八層,,
RPTNMLPJKHKGFAO98CC,6,78.98,共有部分,鋼筋混凝土造,108年4月26日,二十八層,,
