鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
西螺鎮,土地,社西段588-3地號,0.16,農,,,1140206,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2000,0,,0.0,0,,RPPNMLSKKHKGFCP56DA,0.0,0.0,0.0,無,001
土庫鎮,土地,菜園段844-3地號,283.37,住,,,1140210,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,11743557,41442,,0.0,0,,RPQNMLTKKHKGFDP86DA,0.0,0.0,0.0,無,002
褒忠鄉,土地,有才段302地號,1566.69,,特定農業區,農牧用地,1140205,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1600000,1021,,0.0,0,,RPTNMLTKKHKGFDP17DA,0.0,0.0,0.0,無,
口湖鄉,土地,外埔段100地號,6140.0,,一般農業區,農牧用地,1140203,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3684000,600,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTNMLSKKHKGFEP17DA,0.0,0.0,0.0,無,
元長鄉,房地(土地+建物),雲林縣元長鄉元東路３巷３之７號,86.5,住,,,1140211,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1090428,169.2,4,2,4,有,無,8700000,51418,,0.0,0,,RPPNMLTKKHKGFEP86DA,155.94,0.0,13.26,無,003
台西鄉,土地,海口段668地號,99.0,住,,,1140208,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1467060,14819,,0.0,0,,RPQNMLSKKHKGFFP96DA,0.0,0.0,0.0,無,004
台西鄉,土地,海口段668地號,159.31,住,,,1140208,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2360820,14819,,0.0,0,,RPRNMLSKKHKGFFP07DA,0.0,0.0,0.0,無,004
台西鄉,土地,海口段668地號,159.31,住,,,1140208,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2360820,14819,,0.0,0,,RPSNMLSKKHKGFFP17DA,0.0,0.0,0.0,無,004
斗六市,房地(土地+建物)+車位,雲林縣斗六市武陵街４９巷４號九樓,7.15,住,,,1140206,土地1建物1車位1,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831115,56.07,1,1,1,有,有,2800000,49938,坡道機械,0.0,0,,RPPNMLTKKHKGFAP09DA,35.74,0.0,5.58,有,
斗南鎮,土地,中天段93-1地號,23.0,商,,,1140214,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,800000,34783,,0.0,0,,RPQNMLRKKHKGFBP09DA,0.0,0.0,0.0,無,
虎尾鎮,土地,新吉段154-2地號,183.24,都市：其他:住宅區,,,1140217,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2882317,15730,,0.0,0,畸零地或有合併使用效益；包含公共設施保留地用地；,RPUNMLRKKHKGFDP07DA,0.0,0.0,0.0,無,007
東勢鄉,土地,東南段978-9地號,82.0,農,,,1140213,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,400980,4890,,0.0,0,政府機關標讓售；,RPPNMLKLKHKGFFP88EA,0.0,0.0,0.0,無,
斗六市,房地(土地+建物),雲林縣斗六市文生路２６之７號,113.78,,鄉村區,乙種建築用地,1140208,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0931205,164.54,5,2,3,有,無,10500000,63814,,0.0,0,,RPPNMLKLKHKGFAP28DA,136.52,12.26,15.76,無,008
古坑鄉,土地,苦苓腳段158-59地號,870.0,,山坡地保育區,農牧用地,1140217,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1842225,2118,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPXNMLLLKHKGFAP56DA,0.0,0.0,0.0,無,
古坑鄉,土地,苦苓腳段158-371地號,16.0,,山坡地保育區,農牧用地,1140217,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,24000,1500,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPOOMLLLKHKGFAP38DA,0.0,0.0,0.0,無,
水林鄉,土地,大興段771地號,985.0,,特定農業區,農牧用地,1140207,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1030000,1046,,0.0,0,買賣價款含地下水井、電力設施及抽水馬達。親友、員工、共有人或其他特殊關係間之交易；,RPQNMLTKKHKGFEP96DA,0.0,0.0,0.0,無,009
口湖鄉,土地,水井段678-1地號,1981.0,,一般農業區,農牧用地,1140220,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,990500,500,,0.0,0,,RPRNMLKLKHKGFEP88DA,0.0,0.0,0.0,無,
口湖鄉,土地,梧北段614地號,3033.93,,一般農業區,農牧用地,1140213,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2100000,692,,0.0,0,,RPRNMLLLKHKGFEP98DA,0.0,0.0,0.0,無,
北港鎮,土地,福德段166-1地號,2437.19,,特定農業區,農牧用地,1140206,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5000000,2052,,0.0,0,,RPRNMLOLKHKGFEP66DA,0.0,0.0,0.0,無,
麥寮鄉,房地(土地+建物),雲林縣麥寮鄉平和５０之１２０號,5208.17,,一般農業區,養殖用地,1140214,土地2建物1車位0,見其他登記事項,一層,農舍,工業用,磚木造、ＦＲＰ,1080724,1826.63,0,0,0,無,無,17000000,,,0.0,0,農業用地畜牧場交易建物為畜舍,RPQNMLKLKHKGFFP88DA,1826.63,0.0,0.0,無,
麥寮鄉,土地,後安段857地號,5389.6,,一般農業區,養殖用地,1140214,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,7000000,1299,,0.0,0,,RPRNMLKLKHKGFFP98DA,0.0,0.0,0.0,無,010
東勢鄉,土地,東南段978-15地號,53.0,農,,,1140207,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,259170,4890,,0.0,0,政府機關標讓售；,RPPNMLLLKHKGFFP88DA,0.0,0.0,0.0,無,
東勢鄉,土地,東南段978-16地號,51.0,農,,,1140207,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,249390,4890,,0.0,0,政府機關標讓售；,RPQNMLLLKHKGFFP98DA,0.0,0.0,0.0,無,
東勢鄉,土地,東南段978-14地號,36.0,農,,,1140205,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,176040,4890,,0.0,0,政府機關標讓售；,RPPNMLOLKHKGFFP56DA,0.0,0.0,0.0,無,
古坑鄉,土地,東陽段1160地號,108.0,,鄉村區,乙種建築用地,1140213,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,400000,3704,,0.0,0,賣方賣清，土地增值稅187015元由買方負擔。,RPQNMLKLKHKGFAP48EA,0.0,0.0,0.0,無,
二崙鄉,土地,新港後段475地號,230.92,,鄉村區,乙種建築用地,1140214,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,800000,3464,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLLLKHKGFCP78EA,0.0,0.0,0.0,無,
二崙鄉,土地,新港後段475地號,238.34,,鄉村區,乙種建築用地,1140214,土地4建物0車位0,,,其他,,,,0.0,0,0,0,無,無,800000,3357,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLLLKHKGFCP88EA,0.0,0.0,0.0,無,
斗六市,房地(土地+建物)+車位,雲林縣斗六市鎮北路３１３號四樓之３,40.91,住,,,1140209,土地1建物1車位2,四層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1100218,162.27,3,1,2,有,有,11350000,69945,坡道平面,53.38,0,序號1停車位編號地下一層60號為共有車位。含傢俱設備費；,RPXNMLTKKHKGFAP27DA,87.15,0.0,8.08,有,011
西螺鎮,土地,社西段588-3地號,0.16,農,,,1140214,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2000,0,,0.0,0,,RPQNMLSKKHKGFCP66DA,0.0,0.0,0.0,無,001
西螺鎮,土地,廣興段453地號,539.89,,鄉村區,乙種建築用地,1140214,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6000000,11113,,0.0,0,,RPPNMLTKKHKGFCP66DA,0.0,0.0,0.0,無,013
二崙鄉,土地,湳仔段396地號,500.95,,特定農業區,農牧用地,1140217,土地5建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2000000,3992,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；農作物；,RPPNMLKLKHKGFCP48DA,0.0,0.0,0.0,無,014
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮北平路２５０之３號九樓,20.04,都市：其他:住宅區,,,1140209,土地2建物1車位0,九層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831128,135.46,3,2,2,有,有,6000000,44294,,0.0,0,,RPPNMLTKKHKGFDP76DA,94.19,0.9,11.93,有,
口湖鄉,土地,梧庄段67地號,360.49,,一般農業區,甲種建築用地,1140203,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2153497,5974,,0.0,0,,RPPNMLLLKHKGFEP78DA,0.0,0.0,0.0,無,
北港鎮,土地,復興段790地號,100.44,,鄉村區,乙種建築用地,1140218,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,605000,6023,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPQNMLLLKHKGFEP88DA,0.0,0.0,0.0,無,
元長鄉,土地,山茂段105地號,3627.0,,特定農業區,農牧用地,1140212,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6000000,1654,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLOLKHKGFEP09DA,0.0,0.0,0.0,無,
東勢鄉,土地,港底段130地號,2943.0,,特定農業區,農牧用地,1140205,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1736370,590,,0.0,0,,RPPNMLTKKHKGFFP96DA,0.0,0.0,0.0,無,
東勢鄉,土地,東南段978-17地號,22.0,農,,,1140207,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,107580,4890,,0.0,0,,RPRNMLLLKHKGFFP09DA,0.0,0.0,0.0,無,
