編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLTKKHKGFEP86DA,5,169.20,住家用,鋼筋混凝土造,109年4月28日,三層,一層 二層 三層 陽台,全筆移轉
RPQNMLKLKHKGFFP88DA,6,1826.63,豬舍、管理室、倉儲設施、堆肥舍、汙水處理設施,磚木造、ＦＲＰ,108年7月24日,一層,見其他登記事項,全筆移轉
RPPNMLKLKHKGFAP28DA,20,164.54,住家用,鋼筋混凝土造,93年12月5日,三層,一層 二層 三層 陽台 平台 雨遮,全筆移轉
RPPNMLTKKHKGFAP09DA,30,41.32,住家用,鋼筋混凝土造,83年11月15日,十二層,九層 陽台,全筆移轉
RPPNMLTKKHKGFAP09DA,30,7.26,共有部份,鋼筋混凝土造,83年11月15日,十二層,,持分移轉
RPPNMLTKKHKGFAP09DA,30,7.48,共有部份,鋼筋混凝土造,83年11月15日,十二層,,持分移轉
RPXNMLTKKHKGFAP27DA,4,95.23,集合住宅,鋼筋混凝土造,110年2月18日,九層,四層 陽台,全筆移轉
RPXNMLTKKHKGFAP27DA,4,52.18,防空避難室、地下停車空間、機電設備管道間、水箱、安全梯、電梯、梯廳、管委會空間、機電梯間,鋼筋混凝土造,110年2月18日,九層,,持分移轉
RPXNMLTKKHKGFAP27DA,4,14.86,樓電梯間、梯廳、電梯設備管道間,鋼筋混凝土造,110年2月18日,九層,,持分移轉
RPPNMLTKKHKGFDP76DA,30,107.02,住家用,鋼筋混凝土造,83年11月28日,十層,九層 陽台 露台,全筆移轉
RPPNMLTKKHKGFDP76DA,30,18.10,共有部份,鋼筋混凝土造,83年11月28日,十層,,持分移轉
RPPNMLTKKHKGFDP76DA,30,9.21,共有部份,鋼筋混凝土造,83年11月28日,十層,,持分移轉
RPPNMLTKKHKGFDP76DA,30,1.14,共有部份,鋼筋混凝土造,83年11月28日,十層,,持分移轉
RPQNMLPLKHKGFAP98EA,31,87.10,住家用,鋼筋混凝土造,82年11月26日,十層,三層 陽台,全筆移轉
RPQNMLPLKHKGFAP98EA,,8.79,共有部份,鋼筋混凝土造,,十層,,持分移轉
RPQNMLPLKHKGFAP98EA,31,13.96,共有部份,鋼筋混凝土造,82年11月26日,十層,,持分移轉
RPWNMLPLKHKGFAP86DA,1,22.38,集合住宅,鋼筋混凝土造,113年7月2日,四層,四層 陽台,全筆移轉
RPWNMLPLKHKGFAP86DA,1,5.89,電信室、停車空間（一）、停車空間（二）、電樓梯間、機電設備空間、門廳、樓梯間等７項,鋼筋混凝土造,113年7月2日,四層,,持分移轉
RPXNMLPLKHKGFAP96DA,1,23.96,集合住宅,鋼筋混凝土造,113年7月2日,四層,四層 陽台,全筆移轉
RPXNMLPLKHKGFAP96DA,1,6.31,電信室、停車空間（一）、停車空間（二）、電樓梯間、機電設備空間、門廳、樓梯間等７項,鋼筋混凝土造,113年7月2日,四層,,持分移轉
RPRNMLNKKHKGFBP78DA,5,178.27,住家用,鋼筋混凝土造,109年6月22日,三層,一層 二層 三層 陽台,全筆移轉
RPSNMLSKKHKGFAP66DA,43,105.41,住商用,加強磚造,70年8月30日,二層,一層 二層 騎樓 電梯樓梯間,全筆移轉
RPRNMLKLKHKGFAP48DA,6,78.49,集合住宅,鋼筋混凝土造,107年8月15日,五層,四層 陽台,全筆移轉
RPRNMLKLKHKGFAP48DA,6,30.64,停車空間、機電、水箱、梯間、梯廳、樓梯間、電梯間、管委會使用空間、外廊、機械室,鋼筋混凝土造,107年8月15日,五層,,持分移轉
RPQNMLTKKHKGFCP86EA,43,320.80,住商用,ＲＣ構架造,70年10月14日,三層,一層 二層 三層 騎樓 電梯樓梯間,全筆移轉
RPPNMLOLKHKGFBP78DA,35,483.12,住家用,鋼筋混凝土造,79年1月11日,三層,一層 二層 三層 電梯樓梯間,全筆移轉
RPRNMLPLKHKGFAP98DA,44,90.18,住家用,加強磚造,69年11月4日,二層,一層 二層 電梯樓梯間,全筆移轉
RPPNMLSJKHKGFCP09DA,1,81.26,集合住宅,鋼筋混凝土造,113年6月3日,十一層,九層 陽台,全筆移轉
RPPNMLSJKHKGFCP09DA,1,55.97,本共有部分之項目有台電配電室、管道間、水箱、樓電梯間、消防機械室、機械室、防空避難室兼地下停車空間、管委會空間、機電設備管道間、排煙室、樓梯間電梯間、門廊、停車空間、梯廳、升降梯、電梯間等十六項,鋼筋混凝土造,113年6月3日,十一層,,持分移轉
RPQNMLLLKHKGFAP58EA,20,188.44,住家用,鋼筋混凝土造,94年2月25日,四層,一層 二層 三層 四層 見其他登記事項,全筆移轉
RPRNMLOLKHKGFFP76DA,2,187.25,住宅,ＲＣ造,111年10月14日,三層,陽台 見其他登記事項,全筆移轉
RPRNMLLLKHKGFAP68EA,19,352.86,住家用,鋼筋混凝土造,94年7月19日,四層,一層 二層 三層 四層 騎樓,全筆移轉
RPRNMLTKKHKGFCP96EA,42,105.24,住商用,Ｒ．Ｃ構架磚造,71年8月26日,二層,一層 二層 騎樓,全筆移轉
RPTNMLLLKHKGFAP78DA,25,99.94,住家用,鋼筋混凝土造,88年9月26日,五層,二層 三層 陽台,全筆移轉
RPTNMLLLKHKGFAP78DA,25,19.15,停車空間,鋼筋混凝土造,88年9月26日,五層,,持分移轉
