編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPTNMLTKKHKGFDP17DA,有才段,1566.69,非都市：特定農業區 ; 非都市編定：農牧用地,3,2,持分移轉,03020000
RPQNMLTKKHKGFDP86DA,菜園段,283.37,都市：其他:住宅區,1,1,全筆移轉,08440003
RPQNMLSKKHKGFFP96DA,海口段,32.73,都市：其他:住宅區,352,10,持分移轉,03240001
RPQNMLSKKHKGFFP96DA,海口段,66.28,都市：其他:住宅區,42000,2410,持分移轉,06680000
RPRNMLSKKHKGFFP07DA,海口段,32.73,都市：其他:住宅區,704,20,持分移轉,03240001
RPRNMLSKKHKGFFP07DA,海口段,126.58,都市：其他:住宅區,168000,18412,持分移轉,06680000
RPSNMLSKKHKGFFP17DA,海口段,32.73,都市：其他:住宅區,1056,30,持分移轉,03240001
RPSNMLSKKHKGFFP17DA,海口段,126.58,都市：其他:住宅區,252000,27618,持分移轉,06680000
RPUNMLRKKHKGFDP07DA,新吉段,21.18,都市：其他:住宅區,3897,256,持分移轉,01540001
RPUNMLRKKHKGFDP07DA,新吉段,162.06,都市：其他:公共設施保留地(綠地),1,1,全筆移轉,01540002
RPQNMLTKKHKGFEP96DA,大興段,985.00,非都市：特定農業區 ; 非都市編定：農牧用地,2,1,持分移轉,07710000
RPPNMLTKKHKGFEP86DA,長興段,86.50,都市：其他:住宅區,1,1,全筆移轉,04960005
RPTNMLSKKHKGFEP17DA,外埔段,6140.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01000000
RPRNMLKLKHKGFEP88DA,水井段,1981.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06780001
RPRNMLLLKHKGFEP98DA,梧北段,3033.93,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06140000
RPRNMLOLKHKGFEP66DA,福德段,812.40,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01660001
RPRNMLOLKHKGFEP66DA,福德段,812.40,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01670000
RPRNMLOLKHKGFEP66DA,福德段,812.39,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01670001
RPQNMLKLKHKGFFP88DA,後安段,3208.17,非都市：一般農業區 ; 非都市編定：養殖用地,1,1,全筆移轉,08560000
