鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
斗六市,房地(土地+建物)+車位,雲林縣斗六市中正路,11.74,商,,,1140124,土地1建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,109.43,2,1,2,有,無,10680000,109254,坡道機械,17.9,680000,,RPPNMLOLJHKGFAP58CB,品風華,14FA棟6號,
斗六市,房地(土地+建物)+車位,雲林縣斗六市萬年路141巷,28.71,,鄉村區,乙種建築用地,1140123,土地1建物1車位1,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,113.45,3,2,2,有,無,7700000,72504,一樓平面,23.8,1200000,,RPQNMLOLJHKGFAP68CB,沐森II,2E號,
西螺鎮,房地(土地+建物)+車位,雲林縣西螺鎮大橋路,30.97,住,,,1140121,土地1建物1車位1,十層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,140.76,3,2,2,有,無,11100000,81967,坡道平面,21.2,1300000,,RPPNMLOJKHKGFCP68CB,高峰?,1棟10B號,
斗南鎮,房地(土地+建物)+車位,雲林縣斗南鎮大同路20巷,52.45,商,,,1140125,土地1建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,124.28,3,2,2,有,無,9830000,79096,一樓平面,0.0,0,一、每戶皆配置一車位，車位不另計價。二、本車位為自設車位，無獨立所有權狀。,RPPNMLKKKHKGFBP38DB,好心情,2A號,
斗六市,房地(土地+建物)+車位,雲林縣斗六市民主街,33.83,住,,,1140123,土地1建物1車位2,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,198.75,3,2,2,有,無,18450000,96780,坡道平面,37.56,2850000,,RPQNMLMKKHKGFAP48CB,聖德淳風八期（NO.57),A3號,
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮永興北二街與虎興北路交叉路口,96.19,住,,,1140124,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,151.23,4,1,3,有,無,12900000,85301,,0.0,0,,RPRNMLMKKHKGFDP88CB,禾楓君悅-高鐵綻8期,B棟2號,
虎尾鎮,房地(土地+建物)+車位,雲林縣虎尾鎮五間段422-1，422-2地號,32.25,住,,,1140123,土地2建物1車位1,二層,10,華廈(10層含以下有電梯),見使用執照,鋼筋混凝土造,,109.24,2,2,2,有,無,8900000,84124,一樓平面,16.52,1100000,,RPSNMLMKKHKGFDP98CB,樂邑Ｉ,A棟1號,
斗南鎮,房地(土地+建物)+車位,雲林縣斗南鎮大同路20巷,52.45,商,,,1140129,土地1建物1車位1,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,124.28,3,2,2,有,無,9850000,79257,一樓平面,0.0,0,一、每戶皆配置一車位，車位不另計價。二、本車位為自設車位，無獨立所有權狀。,RPPNMLNKKHKGFBP68DB,好心情,3A號,
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮永興北二街與虎興北路交叉路口,124.56,住,,,1140125,土地3建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,149.77,3,2,2,有,無,14500000,96815,,0.0,0,,RPRNMLRKKHKGFDP76CB,禾楓君悅-高鐵綻8期,F棟7號,
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮清雲路,174.11,住,,,1140124,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,296.67,6,3,7,有,無,33680000,113527,,0.0,0,,RPPNMLRKKHKGFDP66DB,清雲永聖2,A1棟0號,
