編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRNMLMKKHKGFDP88CB,高北段,75.25,都市：住,798761,7525,持分移轉,02100000
RPRNMLMKKHKGFDP88CB,高北段,20.49,都市：住,798761,2049,持分移轉,02100000
RPRNMLMKKHKGFDP88CB,高北段,.45,都市：住,798761,45,持分移轉,02100000
RPPNMLKKKHKGFBP38DB,西岐段,52.45,都市：商,100000,20409,持分移轉,13060000
RPPNMLNKKHKGFBP68DB,西岐段,52.45,都市：商,100000,20409,持分移轉,13060000
RPQNMLOLJHKGFAP68CB,明德段,28.71,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,3677,持分移轉,02120000
RPPNMLOLJHKGFAP58CB,雲林溪段,11.74,都市：商,202785,1174,持分移轉,01590000
RPQNMLMKKHKGFAP48CB,雲林溪段,33.83,都市：住,1000000,19555,持分移轉,01280000
RPPNMLRKKHKGFDP66DB,大學段,174.11,都市：住,1,1,全筆移轉,00360004
RPSNMLMKKHKGFDP98CB,五間段,28.98,都市：住,10000,198,持分移轉,04220001
RPSNMLMKKHKGFDP98CB,五間段,3.28,都市：住,10000,198,持分移轉,04220002
RPRNMLRKKHKGFDP76CB,高北段,100.70,都市：住,798761,10070,持分移轉,02100000
RPRNMLRKKHKGFDP76CB,高北段,23.31,都市：住,798761,2331,持分移轉,02100000
RPRNMLRKKHKGFDP76CB,高北段,.55,都市：住,798761,55,持分移轉,02100000
RPPNMLOJKHKGFCP68CB,西螺段,30.97,都市：住,100000,1163,持分移轉,10670000
