鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
斗六市,租賃房屋,雲林縣斗六市斗工十路９８號４樓之２,0.0,,,,1140121,土地0建物1車位0,四層,5,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1080213,77.3,2,1,2,有,有,有,12700,164,,0.0,0,管理費300元由出租人負擔。,RPPNMLNLJHKGFAP58CC,整棟(戶)出租,無,1140221~1150220,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管
元長鄉,租賃房屋,雲林縣元長鄉下寮村東興路３７５號,161.0,,特定農業區,甲種建築用地,1140126,土地1建物0車位0,全,3,透天厝,住家用,木石磚造（磚石造）；加強磚造,0630115,18.0,7,0,7,有,無,有,3500,194,,0.0,0,含增建或未登記建物；,RPPNMLMJKHKGFEP78CC,分租套房,無,1140126~1150325,無,冷氣、熱水器、洗衣機、電視機、冰箱、網路,社會住宅包租轉租
莿桐鄉,租賃房屋,雲林縣莿桐鄉和平路５１之１６號２樓之５,0.0,,,,1140121,土地0建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830723,113.75,3,2,2,有,有,有,10000,88,,0.0,0,,RPPNMLNJKHKGFAP48CC,整棟(戶)出租,無,1140201~1170131,有,熱水器、冰箱、瓦斯或天然氣,一般代管
斗六市,租賃房屋,雲林縣斗六市樂利街５３號六樓之１１,0.0,,,,1140121,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,0990223,19.799999999999997,1,0,1,有,有,有,4200,212,,0.0,0,含增建或未登記建物；續租案件；,RPQNMLNJKHKGFAP58CC,獨立套房,有,1140201~1140731,有,冷氣、熱水器、電視機、冰箱、網路,一般代管
斗南鎮,租賃房屋,雲林縣斗南鎮光復街３６號２F之７２,0.0,,,,1140124,土地0建物1車位0,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880412,49.940000000000005,1,0,1,有,有,有,5500,110,,0.0,0,,RPPNMLOJKHKGFBP68CC,獨立套房,無,1140201~1150131,有,冷氣、熱水器、電視機、冰箱,社會住宅代管
斗南鎮,租賃房屋+車位,雲林縣斗南鎮建國三路２８１號５F之３,0.0,,,,1140124,土地0建物1車位1,五層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1130516,95.53,2,1,2,有,有,有,17000,178,一樓平面,0.0,2000,多人共同承租2；,RPPNMLPJKHKGFBP78CC,整棟(戶)出租,有,1140201~1150131,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
斗六市,租賃房屋,雲林縣斗六市中山路１９６號５樓之３,0.0,,,,1140124,土地0建物1車位0,五層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840903,33.61,1,0,1,有,有,有,7170,213,,0.0,0,管理費330元由出租人負擔。,RPPNMLLKKHKGFAP38CC,獨立套房,無,1140125~1150124,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
口湖鄉,租賃房屋,雲林縣口湖鄉中興路二段４８巷７號,0.0,,,,1140129,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0730927,111.84,3,2,1,有,無,無,5000,45,,0.0,0,,RPPNMLLKKHKGFEP78CC,整棟(戶)出租,無,1140315~1190314,無,冷氣、熱水器、洗衣機,
斗六市,租賃房屋,雲林縣斗六市鎮北路１０７號４樓,0.0,,,,1140124,土地0建物1車位0,四層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831020,124.66,3,2,2,有,有,有,15000,120,,0.0,0,,RPPNMLMKKHKGFAP48CC,整棟(戶)出租,有,1140307~1150306,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管
