編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLNJKHKGFAP58CC,15,9.79,辦公室,鋼筋混凝土造,99年2月23日,七層,,
RPQNMLNJKHKGFAP58CC,15,3.85,台電配電室、停車空間、水箱、緊急發電機及消幫浦室〈共有部份〉,鋼筋混凝土造,99年2月23日,七層,,
RPQNMLNJKHKGFAP58CC,15,6.16,公設梯廳、走道、機械室、水箱、樓梯間、電信室、停車空間（共有部份）,鋼筋混凝土造,99年2月23日,七層,,
RPPNMLMJKHKGFEP78CC,51,18.00,住家用,木石磚造（磚石造）；加強磚造,63年1月15日,二層,,
RPPNMLLKKHKGFAP38CC,29,23.42,住家用,鋼筋混凝土造,84年9月3日,九層,,
RPPNMLLKKHKGFAP38CC,29,5.41,共有部份,鋼筋混凝土造,84年9月3日,九層,,
RPPNMLLKKHKGFAP38CC,29,4.78,共有部份,鋼筋混凝土造,84年9月3日,九層,,
RPPNMLNJKHKGFAP48CC,30,86.21,住家用,鋼筋混凝土造,83年7月23日,五層,,
RPPNMLNJKHKGFAP48CC,30,9.09,共有部份,鋼筋混凝土造,83年7月23日,五層,,
RPPNMLNJKHKGFAP48CC,30,18.45,共有部份,鋼筋混凝土造,83年7月23日,五層,,
RPPNMLNLJHKGFAP58CC,6,65.42,集合住宅,鋼筋混凝土造,108年2月13日,五層,,
RPPNMLMKKHKGFAP48CC,30,89.81,住家用,鋼筋混凝土造,83年10月20日,八層,,
RPPNMLNLJHKGFAP58CC,6,11.88,通廊、梯間、機械房,鋼筋混凝土造,108年2月13日,五層,,
RPPNMLMKKHKGFAP48CC,30,7.76,共有部份,鋼筋混凝土造,83年10月20日,八層,,
RPPNMLMKKHKGFAP48CC,30,27.09,共有部份,鋼筋混凝土造,83年10月20日,八層,,
RPPNMLLKKHKGFEP78CC,40,111.84,住家用,加強磚造,73年9月27日,二層,,
RPQNMLMKKHKGFBP68CC,43,154.86,住家用,加強磚造,71年3月20日,二層,,
RPPNMLPJKHKGFBP78CC,1,66.75,集合住宅,鋼筋混凝土造,113年5月16日,七層,,
RPPNMLPJKHKGFBP78CC,1,10.85,樓梯間電梯間、梯廳、電梯機房、水箱、消防水塔室,鋼筋混凝土造,113年5月16日,七層,,
RPPNMLPJKHKGFBP78CC,1,17.93,停車空間、消防幫浦室及緊急發電機室、電信室、台電配電室,鋼筋混凝土造,113年5月16日,七層,,
RPPNMLOJKHKGFBP68CC,26,32.02,住家用,鋼筋混凝土造,88年4月12日,十二層,,
RPPNMLOJKHKGFBP68CC,26,8.63,共有部份,鋼筋混凝土造,88年4月12日,十二層,,
RPPNMLOJKHKGFBP68CC,26,9.29,共有部份,鋼筋混凝土造,88年4月12日,十二層,,
RPPNMLMKKHKGFBP58CC,1,64.97,集合住宅,鋼筋混凝土造,113年5月16日,七層,,
RPPNMLMKKHKGFBP58CC,1,10.46,樓梯間電梯間、梯廳、電梯機房、水箱、消防水塔室,鋼筋混凝土造,113年5月16日,七層,,
RPPNMLMKKHKGFBP58CC,1,17.83,停車空間、消防幫浦室及緊急發電機室、電信室、台電配電室,鋼筋混凝土造,113年5月16日,七層,,
RPPNMLTKKHKGFAP56CC,18,12.08,住家用,鋼筋混凝土造,96年2月8日,三層,,
RPQNMLTKKHKGFAP66CC,18,16.60,住家用,鋼筋混凝土造,96年2月8日,三層,,
RPUNMLNKKHKGFAP09CC,27,15.00,住商用,鋼筋混凝土造,86年7月25日,四層,,
RPSNMLOKKHKGFAP98CC,22,15.00,住家用,鋼筋混凝土造,92年3月8日,三層,,
RPPNMLRKKHKGFBP09CC,32,181.86,住家用,鋼筋混凝土造,81年11月24日,三層,,
