鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
梅山鄉,土地,梅北段196-4地號,113.0,住,,,1140209,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2380000,21062,,0.0,0,,RPQNMLSKKHKGFEQ96DA,0.0,0.0,0.0,無,001
梅山鄉,土地,梅北段196-5地號,154.0,住,,,1140209,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3220000,20909,,0.0,0,,RPRNMLSKKHKGFEQ07DA,0.0,0.0,0.0,無,
鹿草鄉,房地(土地+建物),嘉義縣鹿草鄉西井村鹿草路３３２巷１０號,87.59,住,,,1140209,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0831015,126.33,3,2,2,有,無,7900000,62535,,0.0,0,,RPPNMLSKKHKGFDQ86EA,118.22,0.0,8.11,無,
太保市,土地,溪南段溪南小段322地號,2330.0,,特定農業區,農牧用地,1140204,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3914500,1680,,0.0,0,地清或未辦繼承標售；,RPQNMLSKKHKGFDQ96EA,0.0,0.0,0.0,無,
布袋鎮,建物,嘉義縣布袋鎮光復里九龍二街１９號,0.0,,,,1140208,土地0建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土加強磚造,0700902,151.2,0,0,0,無,無,500000,3307,,0.0,0,建物坐落地號：復興段1253地號；親友、員工、共有人或其他特殊關係間之交易；瑕疵物件；,RPQNMLSKKHKGFBQ66DA,151.2,0.0,0.0,無,
義竹鄉,土地,角帶圍段帶圍小段180地號,3778.0,,特定農業區,農牧用地,1140210,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3589000,950,,0.0,0,,RPPNMLTKKHKGFBQ66DA,0.0,0.0,0.0,無,002
六腳鄉,土地,六興段423-1地號,30.15,住,,,1140207,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,660315,21901,,0.0,0,,RPQNMLKLKHKGFBQ58DA,0.0,0.0,0.0,無,
溪口鄉,土地,溪東段733-1地號,68.84,都市：其他:商,,,1140210,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,934455,13574,,0.0,0,,RPVNMLKKKHKGFCQ09DA,0.0,0.0,0.0,無,
布袋鎮,土地,建興段113-25地號,80.0,,鄉村區,乙種建築用地,1140208,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,738000,9225,,0.0,0,土地增值稅由承買人負擔，但土地增值稅為0元親友、員工、共有人或其他特殊關係間之交易；,RPPNMLQKKHKGFBQ98DA,0.0,0.0,0.0,無,
水上鄉,土地,寬士段1060地號,2.23,,鄉村區,乙種建築用地,1140211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,200000,89686,,0.0,0,畸零地或有合併使用效益；,RPRQMLMKKHKGFDQ66DA,0.0,0.0,0.0,無,
太保市,土地,茄苳段春珠小段375地號,2092.0,,特定農業區,農牧用地,1140206,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,10560000,5048,,0.0,0,,RPPNMLPKKHKGFDQ09DA,0.0,0.0,0.0,無,
番路鄉,土地,番路段400-1地號,5736.0,,一般農業區,農牧用地,1140203,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,17940000,3128,,0.0,0,,RPPNMLNJKHKGFEQ88DA,0.0,0.0,0.0,無,
