編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPSNMLLLKHKGFBQ88DA,30,133.47,住家用,鋼筋混凝土造,84年5月31日,三層,一層 二層 三層 陽台,全筆移轉
RPQNMLSKKHKGFBQ66DA,43,151.20,住商用,鋼筋混凝土加強磚造,70年9月2日,三層,一層 二層 三層,全筆移轉
RPPNMLSKKHKGFDQ86EA,30,126.33,住家用,鋼筋混凝土造,83年10月15日,三層,一層 二層 三層 陽台,全筆移轉
RPQNMLOKKHKGFEQ56DA,32,37.23,住家用,鋼筋混凝土造,82年4月1日,十八層,十八層 陽台,全筆移轉
RPQNMLOKKHKGFEQ56DA,32,7.34,梯間,鋼筋混凝土造,82年4月1日,十八層,,持分移轉
RPQNMLOKKHKGFEQ56DA,32,1.75,守衛室．健身房．游泳池．防空避難室兼停車場,鋼筋混凝土造,82年4月1日,,,持分移轉
RPPNMLTKKHKGFEQ96DA,32,162.97,住商用,鋼筋混凝土造,82年5月12日,三層,一層 二層 三層 電梯樓梯間,全筆移轉
RPPNMLTKKHKGFDQ86DA,44,136.41,住家用,鋼筋混凝土加強磚造,70年6月20日,二層,一層 二層 陽台 平台 電梯樓梯間,全筆移轉
RPRNMLMLKHKGFBQ88DA,34,119.16,住商用,鋼筋混凝土造,79年10月5日,三層,一層 二層 三層 騎樓,全筆移轉
RPPNMLMLKHKGFBQ68DA,34,210.85,住商用,鋼筋混凝土造,79年10月5日,三層,一層 二層 三層 騎樓,全筆移轉
RPPNMLOLKHKGFBQ88DA,31,229.94,住家用,鋼筋混凝土造,83年6月21日,三層,一層 二層 三層 陽台 電梯樓梯間,全筆移轉
RPRNMLSKKHKGFDQ96DA,8,72.69,集合住宅,鋼筋混凝土造,106年4月21日,十六層,十二層 陽台,全筆移轉
RPRNMLSKKHKGFDQ96DA,8,11.39,本共有之項目有公共服務空間、管委會使用空間、防災中心、大廳、迴廊、頂蓋型開放空間、車道、機車停車空間、台電配電室﹝一﹞﹝二﹞﹝三﹞、排風機房、守衛室、垃圾儲藏室、垃圾車暫停區、緊急發電機室、泳池機房、泳池水箱、公共水箱、雨水蓄留機房、儲藏室、消防泵浦、汙水機房、採光井﹝上方投影﹞、電信室、地下一層車位﹝２３１、２３２﹞等２６項　,鋼筋混凝土造,106年4月21日,十六層,,持分移轉
RPRNMLSKKHKGFDQ96DA,8,20.24,本共有之項目有梯廳、梯廳兼排煙室、排煙室、Ｂ棟水箱、水錶室、電錶室、垃圾暫存、樓梯間、電梯機房、水箱、消防水箱等１１項。,鋼筋混凝土造,106年4月21日,十六層,,持分移轉
RPRNMLSKKHKGFDQ96DA,8,29.87,本共有之項目有車道、防空避難室兼停車空間、停車空間等３項,鋼筋混凝土造,106年4月21日,十六層,,持分移轉
RPUNMLRKKHKGFDQ17DA,27,150.03,住家用,鋼筋混凝土造,86年10月8日,三層,一層 二層 三層 見其他登記事項,全筆移轉
RPRNMLSKKHKGFBQ76DA,8,33.12,本共有部分之主要用途計有：停車空間、機電設備空間、貯藏室、大廳、管委會空間等５項,鋼筋混凝土造,106年4月18日,五層,,持分移轉
RPRNMLSKKHKGFBQ76DA,8,51.40,集合住宅,鋼筋混凝土造,106年4月18日,五層,三層 雨遮,全筆移轉
RPVOMLKLKHKGFDQ76DA,47,55.58,住家用,鋼筋混凝土加強磚造,67年3月1日,一層,一層,全筆移轉
RPQNMLNKKHKGFCQ88DA,31,74.64,住家用,鋼筋混凝土造,82年12月14日,七層,三層 陽台 花台,全筆移轉
RPQNMLNKKHKGFCQ88DA,31,7.89,共有部分,鋼筋混凝土造,82年12月14日,七層,,持分移轉
RPQNMLNKKHKGFCQ88DA,31,5.68,共有部分,鋼筋混凝土造,82年12月14日,七層,,持分移轉
RPRNMLTKKHKGFBQ86DA,50,33.88,住家用,磚造,63年12月9日,一層,一層,全筆移轉
RPRNMLSKKHKGFCQ86DA,30,176.39,住家用,鋼筋混凝土造,83年9月8日,三層,一層 二層 三層 電梯樓梯間 夾層 見其他登記事項,全筆移轉
RPTNMLTKKHKGFCQ17DA,8,261.42,住宅、樓梯間,鋼筋混凝土造,105年10月5日,三層,一層 二層 三層 見其他登記事項 見其他登記事項,全筆移轉
RPTNMLOLKHKGFBQ66DA,40,131.87,住家用,鋼筋混凝土加強磚造,74年5月4日,二層,一層 二層 電梯樓梯間,全筆移轉
RPOOMLNKKHKGFDQ88DA,8,72.69,集合住宅,鋼筋混凝土造,106年4月21日,十六層,七層 陽台,全筆移轉
RPOOMLNKKHKGFDQ88DA,8,11.39,本共有之項目有公共服務空間、管委會使用空間、防災中心、大廳、迴廊、頂蓋型開放空間、車道、機車停車空間、台電配電室﹝一﹞﹝二﹞﹝三﹞、排風機房、守衛室、垃圾儲藏室、垃圾車暫停區、緊急發電機室、泳池機房、泳池水箱、公共水箱、雨水蓄留機房、儲藏室、消防泵浦、汙水機房、採光井﹝上方投影﹞、電信室、地下一層車位﹝２３１、２３２﹞等２６項　,鋼筋混凝土造,106年4月21日,十六層,,持分移轉
RPOOMLNKKHKGFDQ88DA,8,20.24,本共有之項目有梯廳、梯廳兼排煙室、排煙室、Ｂ棟水箱、水錶室、電錶室、垃圾暫存、樓梯間、電梯機房、水箱、消防水箱等１１項。,鋼筋混凝土造,106年4月21日,十六層,,持分移轉
RPOOMLNKKHKGFDQ88DA,8,29.87,本共有之項目有車道、防空避難室兼停車空間、停車空間等３項,鋼筋混凝土造,106年4月21日,十六層,,持分移轉
RPVQMLLKKHKGFDQ96DA,,144.76,住家用,鋼筋混凝土加強磚造,72年6月0日,一層,一層 騎樓,全筆移轉
RPRNMLLLJHKGFDQ88DA,1,73.89,集合住宅,鋼筋混凝土造,113年5月14日,六層,六層 陽台,全筆移轉
RPRNMLLLJHKGFDQ88DA,1,46.28,本建號共有部分之項目有停車空間、管理委員會使用空間、昇降機、管道間、戶外安全梯、梯廳、電信室、消防機房等８項,鋼筋混凝土造,113年5月14日,六層,,持分移轉
RPQNMLTKKHKGFCQ86DA,31,162.33,住家用,鋼筋混凝土造,82年12月16日,三層,一層 二層 三層 電梯樓梯間 見其他登記事項,全筆移轉
RPPNMLKLKHKGFDQ68DA,16,159.21,住宅、停車空間,鋼筋混凝土造,97年9月3日,三層,一層 二層 三層 陽台,全筆移轉
RPPNMLKLKHKGFEQ88EA,39,53.08,住家用,鋼筋混凝土加強磚造,74年12月30日,二層,一層 二層 電梯樓梯間,持分移轉
RPPNMLQJJHKGFCQ88DA,18,491.95,停車空間、住宅、店舖,鋼筋混凝土造,96年6月11日,四層,一層 二層 三層 四層 見其他登記事項,全筆移轉
RPTPMLOJKHKGFDQ86DA,,63.80,集合住宅,鋼筋混凝土造,113年8月21日,十一層,三層 陽台,全筆移轉
RPTPMLOJKHKGFDQ86DA,,54.49,本共有部分之項目有停車空間、停車空間兼防空避難室、管理委員會使用空間、車道、梯廳、安全梯間、一般昇降機機道、緊急昇降機機道、緊急昇降機排煙室、機電管道、公共陽台、消防設備間、樓梯間、水錶室、電信室、電錶室、台電配電場所、發電機室、電梯機房及水箱等２０項,鋼筋混凝土造,113年8月21日,十一層,,持分移轉
RPTSMLOKKHKGFDQ27DA,,63.80,集合住宅,鋼筋混凝土造,113年8月21日,十一層,二層 陽台,全筆移轉
RPTSMLOKKHKGFDQ27DA,,37.66,本共有部分之項目有停車空間、停車空間兼防空避難室、管理委員會使用空間、車道、梯廳、安全梯間、一般昇降機機道、緊急昇降機機道、緊急昇降機排煙室、機電管道、公共陽台、消防設備間、樓梯間、水錶室、電信室、電錶室、台電配電場所、發電機室、電梯機房及水箱等２０項,鋼筋混凝土造,113年8月21日,十一層,,持分移轉
RPXPMLNJKHKGFDQ17DA,,180.60,住宅,鋼筋混凝土造,113年10月14日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
RPTPMLNJKHKGFDQ76DA,,164.76,住宅、停車空間,鋼筋混凝土造,113年10月14日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
RPUPMLNJKHKGFDQ86DA,,166.65,住宅,鋼筋混凝土造,113年10月14日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
RPXNMLOJKHKGFDQ07DA,,69.79,集合住宅,鋼筋混凝土造,113年8月21日,十一層,三層 陽台,全筆移轉
RPXNMLOJKHKGFDQ07DA,,57.78,本共有部分之項目有停車空間、停車空間兼防空避難室、管理委員會使用空間、車道、梯廳、安全梯間、一般昇降機機道、緊急昇降機機道、緊急昇降機排煙室、機電管道、公共陽台、消防設備間、樓梯間、水錶室、電信室、電錶室、台電配電場所、發電機室、電梯機房及水箱等２０項,鋼筋混凝土造,113年8月21日,十一層,,持分移轉
RPSPMLNJKHKGFDQ66DA,,166.78,住宅、停車空間,鋼筋混凝土造,113年10月14日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
RPROMLOJKHKGFDQ56DA,,69.79,集合住宅,鋼筋混凝土造,113年8月21日,十一層,五層 陽台,全筆移轉
RPROMLOJKHKGFDQ56DA,,57.78,本共有部分之項目有停車空間、停車空間兼防空避難室、管理委員會使用空間、車道、梯廳、安全梯間、一般昇降機機道、緊急昇降機機道、緊急昇降機排煙室、機電管道、公共陽台、消防設備間、樓梯間、水錶室、電信室、電錶室、台電配電場所、發電機室、電梯機房及水箱等２０項,鋼筋混凝土造,113年8月21日,十一層,,持分移轉
RPUPMLOJKHKGFDQ96DA,,46.23,集合住宅,鋼筋混凝土造,113年8月21日,十一層,四層 陽台,全筆移轉
RPUPMLOJKHKGFDQ96DA,,44.98,本共有部分之項目有停車空間、停車空間兼防空避難室、管理委員會使用空間、車道、梯廳、安全梯間、一般昇降機機道、緊急昇降機機道、緊急昇降機排煙室、機電管道、公共陽台、消防設備間、樓梯間、水錶室、電信室、電錶室、台電配電場所、發電機室、電梯機房及水箱等２０項,鋼筋混凝土造,113年8月21日,十一層,,持分移轉
RPUSMLOKKHKGFDQ37DA,,46.23,集合住宅,鋼筋混凝土造,113年8月21日,十一層,五層 陽台,全筆移轉
RPUSMLOKKHKGFDQ37DA,,42.42,本共有部分之項目有停車空間、停車空間兼防空避難室、管理委員會使用空間、車道、梯廳、安全梯間、一般昇降機機道、緊急昇降機機道、緊急昇降機排煙室、機電管道、公共陽台、消防設備間、樓梯間、水錶室、電信室、電錶室、台電配電場所、發電機室、電梯機房及水箱等２０項,鋼筋混凝土造,113年8月21日,十一層,,持分移轉
RPOOMLOJKHKGFDQ88DA,,46.23,集合住宅,鋼筋混凝土造,113年8月21日,十一層,十層 陽台,全筆移轉
RPOOMLOJKHKGFDQ88DA,,28.16,本共有部分之項目有停車空間、停車空間兼防空避難室、管理委員會使用空間、車道、梯廳、安全梯間、一般昇降機機道、緊急昇降機機道、緊急昇降機排煙室、機電管道、公共陽台、消防設備間、樓梯間、水錶室、電信室、電錶室、台電配電場所、發電機室、電梯機房及水箱等２０項,鋼筋混凝土造,113年8月21日,十一層,,持分移轉
RPVOMLOJKHKGFDQ96DA,,64.35,集合住宅,鋼筋混凝土造,113年8月21日,十一層,七層 陽台,全筆移轉
RPVOMLOJKHKGFDQ96DA,,54.85,本共有部分之項目有停車空間、停車空間兼防空避難室、管理委員會使用空間、車道、梯廳、安全梯間、一般昇降機機道、緊急昇降機機道、緊急昇降機排煙室、機電管道、公共陽台、消防設備間、樓梯間、水錶室、電信室、電錶室、台電配電場所、發電機室、電梯機房及水箱等２０項,鋼筋混凝土造,113年8月21日,十一層,,持分移轉
RPPNMLOLKHKGFCQ98DA,,170.90,店舖、住宅,鋼筋混凝土造,113年8月28日,三層,一層 二層 三層 見其他登記事項,全筆移轉
RPUQMLNJKHKGFDQ96DA,,64.35,集合住宅,鋼筋混凝土造,113年8月21日,十一層,五層 陽台,全筆移轉
RPUQMLNJKHKGFDQ96DA,,54.85,本共有部分之項目有停車空間、停車空間兼防空避難室、管理委員會使用空間、車道、梯廳、安全梯間、一般昇降機機道、緊急昇降機機道、緊急昇降機排煙室、機電管道、公共陽台、消防設備間、樓梯間、水錶室、電信室、電錶室、台電配電場所、發電機室、電梯機房及水箱等２０項,鋼筋混凝土造,113年8月21日,十一層,,持分移轉
RPTQMLNJKHKGFDQ86DA,,189.85,住宅,鋼筋混凝土造,113年10月14日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
RPWOMLOJKHKGFDQ07DA,,63.80,集合住宅,鋼筋混凝土造,113年8月21日,十一層,九層 陽台,全筆移轉
RPWOMLOJKHKGFDQ07DA,,37.66,本共有部分之項目有停車空間、停車空間兼防空避難室、管理委員會使用空間、車道、梯廳、安全梯間、一般昇降機機道、緊急昇降機機道、緊急昇降機排煙室、機電管道、公共陽台、消防設備間、樓梯間、水錶室、電信室、電錶室、台電配電場所、發電機室、電梯機房及水箱等２０項,鋼筋混凝土造,113年8月21日,十一層,,持分移轉
RPVSMLOKKHKGFDQ47DA,,48.51,集合住宅,鋼筋混凝土造,113年8月21日,十一層,七層 陽台,全筆移轉
RPVSMLOKKHKGFDQ47DA,,46.08,本共有部分之項目有停車空間、停車空間兼防空避難室、管理委員會使用空間、車道、梯廳、安全梯間、一般昇降機機道、緊急昇降機機道、緊急昇降機排煙室、機電管道、公共陽台、消防設備間、樓梯間、水錶室、電信室、電錶室、台電配電場所、發電機室、電梯機房及水箱等２０項,鋼筋混凝土造,113年8月21日,十一層,,持分移轉
RPXOMLOJKHKGFDQ17DA,,63.80,集合住宅,鋼筋混凝土造,113年8月21日,十一層,十層 陽台,全筆移轉
RPXOMLOJKHKGFDQ17DA,,37.66,本共有部分之項目有停車空間、停車空間兼防空避難室、管理委員會使用空間、車道、梯廳、安全梯間、一般昇降機機道、緊急昇降機機道、緊急昇降機排煙室、機電管道、公共陽台、消防設備間、樓梯間、水錶室、電信室、電錶室、台電配電場所、發電機室、電梯機房及水箱等２０項,鋼筋混凝土造,113年8月21日,十一層,,持分移轉
RPVNMLOJKHKGFDQ86DA,,48.51,集合住宅,鋼筋混凝土造,113年8月21日,十一層,四層 陽台,全筆移轉
RPVNMLOJKHKGFDQ86DA,,46.08,本共有部分之項目有停車空間、停車空間兼防空避難室、管理委員會使用空間、車道、梯廳、安全梯間、一般昇降機機道、緊急昇降機機道、緊急昇降機排煙室、機電管道、公共陽台、消防設備間、樓梯間、水錶室、電信室、電錶室、台電配電場所、發電機室、電梯機房及水箱等２０項,鋼筋混凝土造,113年8月21日,十一層,,持分移轉
RPSPMLLKKHKGFDQ56DA,,69.79,集合住宅,鋼筋混凝土造,113年8月21日,十一層,三層 陽台,全筆移轉
RPSPMLLKKHKGFDQ56DA,,74.60,本共有部分之項目有停車空間、停車空間兼防空避難室、管理委員會使用空間、車道、梯廳、安全梯間、一般昇降機機道、緊急昇降機機道、緊急昇降機排煙室、機電管道、公共陽台、消防設備間、樓梯間、水錶室、電信室、電錶室、台電配電場所、發電機室、電梯機房及水箱等２０項,鋼筋混凝土造,113年8月21日,十一層,,持分移轉
RPUNMLLLKHKGFCQ56DA,,171.13,店舖、住宅,鋼筋混凝土造,113年8月28日,三層,一層 二層 三層 見其他登記事項,全筆移轉
RPPPMLOJKHKGFDQ09DA,,64.35,集合住宅,鋼筋混凝土造,113年8月21日,十一層,三層 陽台,全筆移轉
RPPPMLOJKHKGFDQ09DA,,54.85,本共有部分之項目有停車空間、停車空間兼防空避難室、管理委員會使用空間、車道、梯廳、安全梯間、一般昇降機機道、緊急昇降機機道、緊急昇降機排煙室、機電管道、公共陽台、消防設備間、樓梯間、水錶室、電信室、電錶室、台電配電場所、發電機室、電梯機房及水箱等２０項,鋼筋混凝土造,113年8月21日,十一層,,持分移轉
RPUNMLNKKHKGFDQ76DA,,48.51,集合住宅,鋼筋混凝土造,113年8月21日,十一層,九層 陽台,全筆移轉
