編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRQMLMKKHKGFDQ66DA,寬士段,2.23,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,10600000
RPVNMLKKKHKGFCQ09DA,溪東段,57.38,都市：其他:商,16,4,持分移轉,07330001
RPVNMLKKKHKGFCQ09DA,溪東段,9.20,都市：其他:商,16,4,持分移轉,07350000
RPVNMLKKKHKGFCQ09DA,溪東段,2.26,都市：其他:商,16,4,持分移轉,07360004
RPPNMLNJKHKGFEQ88DA,番路段,5668.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04000001
RPPNMLNJKHKGFEQ88DA,番路段,68.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04010004
RPQNMLSKKHKGFEQ96DA,梅北段,113.00,都市：其他:第二種住宅區,1,1,全筆移轉,01960004
RPRNMLSKKHKGFEQ07DA,梅北段,154.00,都市：其他:第二種住宅區,1,1,全筆移轉,01960005
RPPNMLMKKHKGFEQ88DA,新福段,6732.01,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01790000
RPQNMLNJKHKGFEQ98DA,番路段,20.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04010003
RPRNMLTKKHKGFEQ17DA,番子潭段,596.80,非都市：一般農業區 ; 非都市編定：農牧用地,180,12,持分移轉,04490000
SPQNMLRKKHKGFBQ76EA,新庄段大館小段,2284.00,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,00060011
RPPNMLRKKHKGFBQ56EA,新庄段大館小段,7085.00,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,00060013
RPQNMLRKKHKGFBQ66EA,新庄段新庄小段,4726.00,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,00070017
RPQNMLTKKHKGFCQ96EA,福興段,87.06,非都市：一般農業區 ; 非都市編定：交通用地,1,1,全筆移轉,05890002
RPPNMLTKKHKGFCQ86EA,田中央段,79.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05730000
RPPNMLPKKHKGFDQ09DA,茄苳脚段春珠小段,2092.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03750000
RPQNMLNKKHKGFBQ88EA,新庄段大館小段,3440.00,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,00010010
RPPNMLQKKHKGFBQ98DA,建興段,80.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01130025
RPPNMLTKKHKGFBQ66DA,角帶圍段帶圍小段,3778.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01800000
RPSNMLLLKHKGFBQ88DA,溪墘厝段,81.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01960015
RPQNMLKLKHKGFBQ58DA,六興段,30.15,都市：其他:住宅區,1,1,全筆移轉,04230001
RPRNMLNKKHKGFBQ98EA,新庄段大館小段,3556.00,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,00060014
RPRNMLLLKHKGFBQ78DA,布鹽段,1749.42,都市：其他:農業區,1,1,全筆移轉,00220001
RPRNMLLLKHKGFBQ78DA,布鹽段,85.00,都市：其他:農業區,1,1,全筆移轉,00230001
RPWNMLKLKHKGFDQ76DA,忠和段,60.40,非都市：鄉村區 ; 非都市編定：交通用地,450,49,持分移轉,10620000
RPXNMLKLKHKGFDQ86DA,忠和段,60.40,非都市：鄉村區 ; 非都市編定：交通用地,450,49,持分移轉,10620000
RPQOMLKLKHKGFDQ88DA,忠和段,181.20,非都市：鄉村區 ; 非都市編定：交通用地,900,294,持分移轉,10620000
RPOOMLKLKHKGFDQ68DA,忠和段,30.20,非都市：鄉村區 ; 非都市編定：交通用地,900,49,持分移轉,10620000
RPPOMLKLKHKGFDQ78DA,忠和段,41.29,非都市：鄉村區 ; 非都市編定：交通用地,900,67,持分移轉,10620000
RPVNMLKLKHKGFDQ66DA,忠和段,60.40,非都市：鄉村區 ; 非都市編定：交通用地,450,49,持分移轉,10620000
RPSOMLKLKHKGFDQ09DA,忠和段,30.20,非都市：鄉村區 ; 非都市編定：交通用地,900,49,持分移轉,10620000
RPROMLKLKHKGFDQ98DA,忠和段,30.20,非都市：鄉村區 ; 非都市編定：交通用地,900,49,持分移轉,10620000
RPPNMLOLKHKGFEQ56DA,番路段,232.00,非都市：山坡地保育區 ; 非都市編定：林業用地,724,232,持分移轉,00020081
RPPNMLOLKHKGFBQ98EA,新庄段大館小段,1773.00,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,00010007
RPPNMLOLKHKGFBQ98EA,新庄段新庄小段,1669.00,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,00070025
RPTOMLKLKHKGFDQ56DA,忠和段,30.20,非都市：鄉村區 ; 非都市編定：交通用地,900,49,持分移轉,10620000
RPQNMLOLKHKGFCQ56EA,板頭段,39.11,非都市：鄉村區 ; 非都市編定：乙種建築用地,16,4,持分移轉,10290000
RPPNMLSKKHKGFDQ86EA,鹿西段,87.59,都市：其他:住宅區,1,1,全筆移轉,06810000
RPQNMLSKKHKGFDQ96EA,溪南段溪南小段,2330.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03220000
RPPNMLLLKHKGFDQ88EA,嘉太段,25.68,都市：其他:住宅區,2,1,持分移轉,01000000
RPQNMLOKKHKGFEQ56DA,內甕段,5.08,都市：其他:住宅區,10000,9,持分移轉,00970009
RPQNMLOKKHKGFEQ56DA,內甕段,.24,都市：其他:保護區,10000,9,持分移轉,00970043
RPPNMLTKKHKGFEQ96DA,真武段,81.59,都市：其他:住宅區,1,1,全筆移轉,05180003
RPTNMLPJKHKGFBQ56DA,崙子段崙陽小段,1145.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03990001
RPTNMLPJKHKGFBQ56DA,崙子段崙陽小段,2576.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04000000
RPXNMLNKKHKGFDQ07DA,後潭段後潭小段,3226.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03260000
RPPNMLKLJHKGFCQ58EA,番子段番子小段,40.27,非都市：鄉村區 ; 非都市編定：乙種建築用地,120,4,持分移轉,10040000
RPPNMLKLJHKGFCQ58EA,番子段番子小段,.53,非都市：鄉村區 ; 非都市編定：乙種建築用地,120,4,持分移轉,10370000
RPPNMLTKKHKGFDQ86DA,中庄段,176.63,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,05500000
RPRNMLMLKHKGFBQ88DA,新生段,96.00,都市：其他:住宅區,1,1,全筆移轉,00440001
RPPNMLMLKHKGFBQ68DA,新生段,168.00,都市：其他:住宅區,1,1,全筆移轉,00440000
RPPNMLOLKHKGFBQ88DA,六斗尾段六斗小段,17.70,非都市：特定農業區 ; 非都市編定：甲種建築用地,40,1,持分移轉,03520021
RPPNMLOLKHKGFBQ88DA,六斗尾段六斗小段,121.31,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,03520041
RPPNMLOLKHKGFBQ88DA,六斗尾段六斗小段,1.78,非都市：特定農業區 ; 非都市編定：甲種建築用地,40,1,持分移轉,03520042
RPRNMLSKKHKGFDQ96DA,太頂珠段,29.34,都市：其他:住宅區,100000,209,持分移轉,00240004
RPUNMLRKKHKGFDQ17DA,和雲段,.04,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,153,持分移轉,10180000
RPUNMLRKKHKGFDQ17DA,和雲段,.10,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,153,持分移轉,10190000
RPUNMLRKKHKGFDQ17DA,和雲段,.04,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,153,持分移轉,10200000
RPUNMLRKKHKGFDQ17DA,和雲段,66.93,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,10250000
RPUNMLRKKHKGFDQ17DA,和雲段,13.91,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,153,持分移轉,10370000
RPUNMLRKKHKGFDQ17DA,和雲段,1.92,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,153,持分移轉,12010000
RPUNMLRKKHKGFDQ17DA,和雲段,.12,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,153,持分移轉,12060000
RPTNMLLLKHKGFBQ98DA,菜舖廍段新吉小段,3888.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02350000
RPPNMLNJKHKGFDQ88EA,大崙段重劃小段,400.00,非都市：特定農業區 ; 非都市編定：農牧用地,5,1,持分移轉,00950000
RPQNMLNJKHKGFDQ98EA,大崙段重劃小段,189.80,非都市：特定農業區 ; 非都市編定：農牧用地,5,1,持分移轉,08030000
RPRNMLSKKHKGFBQ76DA,嘉朴段,27.95,都市：其他:第二種住宅區,10000,53,持分移轉,01730000
RPPNMLLLKHKGFDQ78DA,嘉新段,68.16,都市：其他:住宅區,9,7,持分移轉,08140040
RPQNMLLLKHKGFDQ88DA,田尾段田尾小段,1769.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03630000
RPUOMLKLKHKGFDQ66DA,忠和段,30.20,非都市：鄉村區 ; 非都市編定：交通用地,900,49,持分移轉,10620000
RPVOMLKLKHKGFDQ76DA,柳新段,99.88,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,08060000
RPSNMLSKKHKGFBQ86DA,新掌潭段,152.33,非都市：一般農業區 ; 非都市編定：養殖用地,2,1,持分移轉,06700000
RPSNMLSKKHKGFBQ86DA,新掌潭段,66.92,非都市：一般農業區 ; 非都市編定：水利用地,36,1,持分移轉,06710000
RPSNMLSKKHKGFBQ86DA,新掌潭段,2726.23,非都市：一般農業區 ; 非都市編定：養殖用地,1,1,全筆移轉,06800001
RPQNMLNKKHKGFCQ88DA,頭橋段工業小段,15.71,都市：其他:住宅區,10000,62,持分移轉,00350001
RPQNMLNKKHKGFCQ88DA,世興段,.00,都市：其他:住宅區,10000,62,持分移轉,08500000
RPQNMLNKKHKGFCQ88DA,世興段,2.04,都市：其他:住宅區,10000,62,持分移轉,08510000
RPRNMLTKKHKGFBQ86DA,文明段,122.36,都市：其他:住宅區,1,1,全筆移轉,01750000
RPPNMLSKKHKGFCQ66DA,新大埔美段,52.16,非都市：鄉村區 ; 非都市編定：乙種建築用地,48,3,持分移轉,16730000
RPRNMLSKKHKGFCQ86DA,建國段,80.00,都市：其他:農業區,1,1,全筆移轉,12660026
RPRNMLSKKHKGFCQ86DA,建國段,21.00,都市：其他:農業區,11,1,持分移轉,12660046
RPTNMLTKKHKGFCQ17DA,頂林頭段,21.95,非都市：鄉村區 ; 非都市編定：乙種建築用地,23150,1036,持分移轉,06280000
RPTNMLTKKHKGFCQ17DA,頂林頭段,140.89,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,06370000
RPTNMLOLKHKGFBQ66DA,北港子段北華小段,140.00,非都市：特定專用區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,01200012
RPQNMLSKKHKGFCQ76DA,埤頭段共和小段,278.67,都市：其他:農業區,6,1,持分移轉,00760000
RPQNMLSKKHKGFCQ76DA,埤頭段共和小段,344.00,都市：其他:農業區,6,1,持分移轉,01180000
RPQNMLRKKHKGFCQ66DA,育英段,36.00,,133620,53448,持分移轉,00110000
RPOOMLNKKHKGFDQ88DA,太頂珠段,29.34,都市：其他:住宅區,100000,209,持分移轉,00240004
RPVQMLLKKHKGFDQ96DA,下潭新段,52.01,非都市：鄉村區 ; 非都市編定：乙種建築用地,16,1,持分移轉,03700000
RPVQMLLKKHKGFDQ96DA,下潭新段,228.02,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03710000
RPVQMLLKKHKGFDQ96DA,頂潭新段,21.52,非都市：一般農業區 ; 非都市編定：水利用地,8,1,持分移轉,14700000
RPPNMLOKKHKGFEQ09DA,內埔子段,84.11,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,9,1,持分移轉,02270000
RPQNMLLLKHKGFEQ98DA,昇平段,4724.87,非都市：一般農業區 ; 非都市編定：農牧用地,4,2,持分移轉,02890000
RPPNMLOLKHKGFCQ09EA,平和段,2878.50,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04680000
RPVNMLRJJHKGFDQ07DA,崙子頂段崙頂小段,1134.00,都市：其他:住宅區,6,2,持分移轉,02600000
RPVNMLRJJHKGFDQ07DA,崙子頂段崙頂小段,85.00,,6,2,持分移轉,02600001
RPRNMLNLJHKGFDQ09DA,東勢寮段東勢小段,286.65,都市：其他:住宅區,20,9,持分移轉,03270000
RPRNMLNLJHKGFDQ09DA,東勢寮段東勢小段,73.35,都市：其他:綠道用地,20,9,持分移轉,03270001
RPRNMLNLJHKGFDQ09DA,東勢寮段東勢小段,587.70,都市：其他:公園用地,20,9,持分移轉,03270002
RPRNMLLLJHKGFDQ88DA,水東段,38.07,都市：其他:住宅區,100000,5496,持分移轉,04280000
RPQNMLNLJHKGFDQ98DA,東勢寮段東勢小段,1219.95,都市：其他:公園用地,20,9,持分移轉,03270003
RPWOMLKLKHKGFDQ86DA,三界埔段,4967.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,05260002
RPQNMLTKKHKGFCQ86DA,福南段,75.91,都市：其他:住宅區,1,1,全筆移轉,03200023
RPPNMLKLKHKGFDQ68DA,過溝段過溝小段,15.95,都市：其他:住宅區,44,1,持分移轉,05110002
RPPNMLKLKHKGFDQ68DA,過溝段過溝小段,84.00,都市：其他:住宅區,1,1,全筆移轉,05110063
RPSNMLPJKHKGFCQ56DA,內林段內林小段,1567.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04770000
RPXNMLKLQHJGFCQ27DA,中洋子段,135.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03280007
RPXNMLKLQHJGFCQ27DA,中洋子段,1047.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03280011
RPXNMLKLQHJGFCQ27DA,中洋子段,1622.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03280012
RPXNMLKLQHJGFCQ27DA,中洋子段,186.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03280013
RPXNMLKLQHJGFCQ27DA,中洋子段,252.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03280014
RPXNMLKLQHJGFCQ27DA,中洋子段,156.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03280015
RPXNMLKLQHJGFCQ27DA,中洋子段,177.00,非都市：鄉村區 ; 非都市編定：水利用地,1,1,全筆移轉,03280016
RPXNMLKLQHJGFCQ27DA,中洋子段,74.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03280018
RPXNMLKLQHJGFCQ27DA,中洋子段,32.00,非都市：鄉村區 ; 非都市編定：交通用地,1,1,全筆移轉,03290011
RPPNMLNLKHKGFCQ88DA,北斗段,5019.09,都市：其他:農業區,1,1,全筆移轉,02300002
RPQNMLKLKHKGFEQ98EA,昇平段,23.08,非都市：一般農業區 ; 非都市編定：丙種建築用地,9,1,持分移轉,03370000
RPQNMLKLKHKGFEQ98EA,昇平段,21.76,非都市：一般農業區 ; 非都市編定：丙種建築用地,6,1,持分移轉,03410000
