編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPRNMLSKKHKGFDQ96DA,坡道平面,0,29.87,地下一樓
RPOOMLNKKHKGFDQ88DA,坡道平面,0,29.87,地下一樓
RPRNMLLLJHKGFDQ88DA,其他,0,23.05,一樓
RPTPMLOJKHKGFDQ86DA,坡道平面,1450000,16.82,地下二樓
RPXNMLOJKHKGFDQ07DA,坡道平面,1300000,16.82,地下二樓
RPROMLOJKHKGFDQ56DA,坡道平面,1350000,16.82,地下二樓
RPUPMLOJKHKGFDQ96DA,坡道平面,1350000,16.82,地下二樓
RPUSMLOKKHKGFDQ37DA,坡道平面,1200000,14.26,地下二樓
RPVOMLOJKHKGFDQ96DA,坡道平面,1250000,16.82,地下二樓
RPUQMLNJKHKGFDQ96DA,坡道平面,1300000,16.82,地下一樓
RPVSMLOKKHKGFDQ47DA,坡道平面,1200000,16.82,地下二樓
RPVNMLOJKHKGFDQ86DA,坡道平面,1200000,16.82,地下二樓
RPSPMLLKKHKGFDQ56DA,坡道平面,0,16.82,地下二樓
RPSPMLLKKHKGFDQ56DA,坡道平面,0,16.82,地下二樓
RPPPMLOJKHKGFDQ09DA,坡道平面,1350000,16.82,地下二樓
RPUNMLNKKHKGFDQ76DA,坡道平面,1200000,16.82,地下二樓
RPOTMLOKKHKGFDQ86DA,坡道平面,1250000,16.82,地下一樓
RPUOMLOJKHKGFDQ86DA,坡道平面,1250000,16.82,地下一樓
RPQOMLOJKHKGFDQ09DA,坡道平面,1300000,16.82,地下一樓
RPOPMLOJKHKGFDQ98DA,坡道平面,1200000,18.28,地下二樓
RPQPMLOJKHKGFDQ56DA,坡道平面,1200000,16.82,地下二樓
RPPOMLNKKHKGFDQ98DA,坡道平面,1250000,16.82,地下一樓
RPRPMLOJKHKGFDQ66DA,坡道平面,1250000,16.82,地下一樓
RPQPMLLKKHKGFDQ98DA,坡道平面,1200000,16.82,地下二樓
RPWQMLLKKHKGFDQ07DA,坡道平面,1300000,16.82,地下一樓
RPQOMLNKKHKGFDQ09DA,坡道平面,1250000,16.82,地下一樓
RPUPMLLKKHKGFDQ76DA,坡道平面,1250000,16.82,地下一樓
RPSSMLOKKHKGFDQ17DA,坡道平面,1250000,16.82,地下一樓
RPTOMLOJKHKGFDQ76DA,坡道平面,1400000,16.82,地下二樓
RPSOMLOJKHKGFDQ66DA,坡道平面,1400000,16.82,地下一樓
RPWSMLOKKHKGFDQ57DA,坡道平面,1250000,16.82,地下一樓
RPORMLKKKHKGFDQ88DA,坡道平面,1250000,16.82,地下一樓
RPPRMLKKKHKGFDQ98DA,坡道平面,1250000,16.82,地下一樓
RPWQMLKKKHKGFDQ96DA,坡道平面,1250000,16.82,地下一樓
RPUSMLKKKHKGFDQ96DA,坡道平面,1200000,16.82,地下二樓
