鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
梅山鄉,房地(土地+建物),嘉義縣梅山鄉民生街60巷及92巷,128.69,住,,,1140123,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,,167.85,4,3,4,有,無,14380000,85672,,0.0,0,,RPPNMLOLJHKGFEQ09CB,梅山大境II,E棟0號,
太保市,房地(土地+建物)+車位,嘉義縣太保市嘉朴公路上,23.95,住,,,1140123,土地3建物1車位1,三層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,94.91,2,2,1,有,無,8680000,99146,升降機械,16.44,900000,,RPPNMLNJKHKGFDQ78CB,上荷院11,B棟9號,
太保市,房地(土地+建物)+車位,嘉義縣太保市嘉朴公路上,31.01,住,,,1140123,土地3建物1車位1,三層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,118.75,2,2,2,有,無,10280000,100781,坡道平面,31.63,1500000,,RPQNMLNJKHKGFDQ88CB,上荷院11,A棟7號,
民雄鄉,房地(土地+建物)+車位,嘉義縣民雄鄉民文段757地號,21.99,住,,,1140125,土地1建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,113.47,2,1,2,有,無,9500000,92603,坡道平面,26.0,1400000,,RPQNMLOJKHKGFCQ88CB,三貴星空樹,A5棟8F號,
朴子市,房地(土地+建物)+車位,嘉義縣朴子市應菜埔36之6巷,28.37,住,,,1140121,土地1建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,84.91,2,1,2,有,無,6850000,89812,其他,13.65,450000,,RPQNMLQJKHKGFBQ98CB,大人物二期,2B號,
朴子市,房地(土地+建物)+車位,嘉義縣朴子市應菜埔36之6巷,28.33,住,,,1140128,土地1建物1車位1,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,80.11,2,1,2,有,無,6850000,90128,其他,9.1,450000,,RPRNMLQJKHKGFBQ09CB,大人物二期,2C號,
太保市,房地(土地+建物)+車位,嘉義縣太保市祥和二路東段、文化北街與縣府三街,17.38,商,,,1140122,土地1建物1車位1,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,127.23,2,2,2,有,無,12200000,105549,坡道平面,27.75,1700000,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLMKKHKGFDQ98CB,鉑金苑,A棟10號,
太保市,房地(土地+建物)+車位,嘉義縣太保市祥和二路東段、文化北街與縣府三街,20.18,商,,,1140124,土地1建物1車位1,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,142.15,2,2,2,有,無,13930000,105887,坡道平面,26.65,1700000,,RPTNMLMKKHKGFDQ56CB,鉑金苑,B棟4號,
太保市,房地(土地+建物)+車位,嘉義縣太保市祥和二路東段、文化北街與縣府三街,19.37,商,,,1140125,土地1建物1車位1,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,138.63,2,2,2,有,無,13640000,106782,坡道平面,27.75,1800000,,RPXNMLMKKHKGFDQ96CB,鉑金苑,E棟5號,
太保市,房地(土地+建物)+車位,嘉義縣太保市祥和二路東段、文化北街與縣府三街,17.51,商,,,1140123,土地1建物1車位1,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,127.96,2,2,2,有,無,12450000,106277,坡道平面,27.75,1800000,,RPOOMLMKKHKGFDQ78CB,鉑金苑,G棟8號,
太保市,房地(土地+建物)+車位,嘉義縣太保市祥和二路東段、文化北街與縣府三街,17.51,商,,,1140123,土地1建物1車位1,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,127.96,2,2,2,有,無,12550000,108273,坡道平面,27.75,1700000,,RPPOMLMKKHKGFDQ88CB,鉑金苑,G棟10號,
太保市,房地(土地+建物)+車位,嘉義縣太保市祥和二路東段、文化北街與縣府三街,17.4,商,,,1140125,土地1建物1車位1,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,127.28,2,2,2,有,無,12490000,107405,坡道平面,27.75,1800000,,RPQOMLMKKHKGFDQ98CB,鉑金苑,I棟8號,
太保市,房地(土地+建物)+車位,嘉義縣太保市祥和二路東段、文化北街與縣府三街,17.4,商,,,1140123,土地1建物1車位1,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,127.28,2,2,2,有,無,12670000,109213,坡道平面,27.75,1800000,,RPSOMLMKKHKGFDQ56CB,鉑金苑,I棟10號,
