編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPOOMLMKKHKGFDQ78CB,嘉保段,17.51,都市：商,100000,905,持分移轉,01280000
RPPNMLNJKHKGFDQ78CB,茄苳脚段春珠小段,1.46,都市：住,100000,1191,持分移轉,00500000
RPPNMLNJKHKGFDQ78CB,茄苳脚段春珠小段,22.39,都市：住,100000,1191,持分移轉,00520000
RPPNMLNJKHKGFDQ78CB,茄苳脚段春珠小段,.10,都市：住,100000,1191,持分移轉,00790004
RPRNMLMKKHKGFDQ98CB,嘉保段,17.38,都市：商,100000,898,持分移轉,01280000
RPQNMLNJKHKGFDQ88CB,茄苳脚段春珠小段,1.90,都市：住,100000,1542,持分移轉,00500000
RPQNMLNJKHKGFDQ88CB,茄苳脚段春珠小段,28.99,都市：住,100000,1542,持分移轉,00520000
RPQNMLNJKHKGFDQ88CB,茄苳脚段春珠小段,.12,都市：住,100000,1542,持分移轉,00790004
RPXNMLMKKHKGFDQ96CB,嘉保段,19.37,都市：商,100000,1001,持分移轉,01280000
RPTNMLMKKHKGFDQ56CB,嘉保段,20.18,都市：商,100000,1043,持分移轉,01280000
RPQOMLMKKHKGFDQ98CB,嘉保段,17.40,都市：商,100000,899,持分移轉,01280000
RPPOMLMKKHKGFDQ88CB,嘉保段,17.51,都市：商,100000,905,持分移轉,01280000
RPSOMLMKKHKGFDQ56CB,嘉保段,17.40,都市：商,100000,899,持分移轉,01280000
RPRNMLQJKHKGFBQ09CB,德安段,28.33,都市：住,10000,638,持分移轉,07760000
RPQNMLQJKHKGFBQ98CB,德安段,28.37,都市：住,10000,639,持分移轉,07760000
RPPNMLOLJHKGFEQ09CB,梅北段,128.69,都市：住,26300,12869,持分移轉,20580002
RPQNMLOJKHKGFCQ88CB,民文段,21.99,都市：住,100000,743,持分移轉,07570000
