編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPOOMLMKKHKGFDQ78CB,坡道平面,1800000,27.75,地下一樓
RPPNMLNJKHKGFDQ78CB,升降機械,900000,16.44,一樓
RPRNMLMKKHKGFDQ98CB,坡道平面,1700000,27.75,地下二樓
RPQNMLNJKHKGFDQ88CB,坡道平面,1500000,31.63,地下一樓
RPXNMLMKKHKGFDQ96CB,坡道平面,1800000,27.75,地下一樓
RPTNMLMKKHKGFDQ56CB,坡道平面,1700000,26.65,地下一樓
RPQOMLMKKHKGFDQ98CB,坡道平面,1800000,27.75,地下一樓
RPPOMLMKKHKGFDQ88CB,坡道平面,1700000,27.75,地下二樓
RPSOMLMKKHKGFDQ56CB,坡道平面,1800000,27.75,地下一樓
RPRNMLQJKHKGFBQ09CB,其他,450000,9.10,一樓
RPQNMLQJKHKGFBQ98CB,其他,450000,13.65,一樓
RPQNMLOJKHKGFCQ88CB,坡道平面,1400000,26.00,地下一樓
