編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLNLJHKGFBQ78CC,18,19.72,住家用,鋼筋混凝土造,95年8月28日,八層,,
RPPNMLNLJHKGFBQ78CC,18,4.73,共有部分,鋼筋混凝土造,95年8月28日,,,
RPPNMLNLJHKGFBQ78CC,18,7.61,共有部分,鋼筋混凝土造,95年8月28日,,,
RPQNMLRKKHKGFDQ86CC,19,16.15,集合住宅,鋼筋混凝土造,94年8月15日,五層,,
RPPNMLMKKHKGFDQ88CC,28,193.63,農舍,鋼鐵造,85年7月27日,一層,,
RPQNMLNJKHKGFCQ88CC,45,19.89,住家用,鋼筋混凝土加強磚造,69年7月15日,四層,,
RPPNMLMKKHKGFDQ88CC,30,134.99,農舍,鋼鐵造,84年1月18日,一層,,
RPPNMLLKKHKGFDQ78CC,19,15.02,集合住宅,鋼筋混凝土造,94年8月15日,五層,,
RPPNMLLKKHKGFDQ78CC,19,6.69,停車空間、電信室、台電配電室、機械室、集合住宅,鋼筋混凝土造,94年8月15日,五層,,
RPPNMLPLJHKGFDQ56CC,2,16.80,住家用,鋼筋混凝土造,112年1月18日,三層,,
RPRNMLNJKHKGFCQ98CC,45,19.89,住家用,鋼筋混凝土加強磚造,69年7月15日,四層,,
RPPNMLNLJHKGFDQ98CC,31,32.58,集合住宅,鋼筋混凝土造,82年10月6日,九層,,
RPPNMLNLJHKGFDQ98CC,31,1.95,梯間,鋼筋混凝土造,82年10月6日,九層,,
RPPNMLNLJHKGFDQ98CC,31,8.94,梯間,鋼筋混凝土造,82年10月6日,九層,,
RPPNMLNLJHKGFDQ98CC,31,4.98,避難室、停車場,鋼筋混凝土造,82年10月6日,9,,
